FIPS,Admin2,Population,incidence 03/09/2023,incidence by pop
6037,Los Angeles,10039107,3710586,36961.31538
12086,Miami-Dade,2716940,1552197,57130.33781
17031,Cook,5150233,1533935,29783.79813
4013,Maricopa,4485414,1530296,34117.16288
48201,Harris,4713325,1275028,27051.56127
6073,San Diego,3338330,1067659,31981.82924
36047,Kings,2559903,963672,37644.86389
36081,Queens,2253858,904779,40143.56716
6059,Orange,3175692,788663,24834.36681
6065,Riverside,2470546,776620,31435.15644
12011,Broward,1952778,774980,39686.02678
6071,San Bernardino,2180085,745179,34181.19018
48029,Bexar,2003554,698806,34878.32122
48113,Dallas,2635516,696583,26430.61169
48439,Tarrant,2102515,687595,32703.45277
32003,Clark,2266715,671243,29613.03031
36061,New York,1628706,596334,36613.97453
36103,Suffolk,1476601,569776,38586.99811
36005,Bronx,1418207,553117,39001.14722
36059,Nassau,1356924,550940,40602.12657
53033,King,2252782,549865,24408.26498
26163,Wayne,1749343,537017,30698.2107
6085,Santa Clara,1927852,497526,25807.27151
12099,Palm Beach,1496770,481679,32181.23025
12057,Hillsborough,1471968,479640,32584.9475
12095,Orange,1393452,475796,34145.13022
25017,Middlesex,1611699,437431,27140.986
49035,Salt Lake,1160437,410508,35375.29396
6067,Sacramento,1552058,409095,26358.22888
6001,Alameda,1671329,402160,24062.28816
42101,Philadelphia,1584064,394710,24917.55384
37183,Wake,1111761,391609,35224.20736
27053,Hennepin,1265843,386090,30500.62291
26125,Oakland,1257584,385029,30616.56319
37119,Mecklenburg,1110356,368329,33172.1538
39049,Franklin,1316756,366781,27854.89491
39035,Cuyahoga,1235072,350654,28391.38123
55079,Milwaukee,945726,341679,36128.75188
42003,Allegheny,1216045,339976,27957.51802
36119,Westchester,967506,336689,34799.68083
48453,Travis,1273954,334125,26227.39911
6019,Fresno,999101,329460,32975.6451
34003,Bergen,932202,326525,35027.2795
12031,Duval,957755,319149,33322.61382
4019,Pima,1047279,317052,30273.88117
6029,Kern,900202,310792,34524.69557
26099,Macomb,873972,300709,34407.16636
6013,Contra Costa,1153526,295633,25628.63776
29189,St. Louis,994205,294789,29650.72596
47157,Shelby,937166,293983,31369.36252
34013,Essex,798975,291824,36524.7974
17043,DuPage,922921,289813,31401.71261
21111,Jefferson,766757,283708,37001.03162
44007,Providence,638931,278748,43627.24613
12103,Pinellas,974996,277006,28410.98835
48085,Collin,1034730,276773,26748.33048
13121,Fulton,1063937,276219,25961.96955
34023,Middlesex,825062,275803,33428.15449
36029,Erie,918702,271310,29531.88303
18097,Marion,964582,268696,27856.21129
25025,Suffolk,803907,268158,33356.84352
48215,Hidalgo,868707,267945,30844.1166
9001,Fairfield,943332,264399,28028.20216
15003,Honolulu,974563,264197,27109.27872
51059,Fairfax,1147532,261545,22791.957
12105,Polk,724777,260300,35914.49508
9009,New Haven,854757,257919,30174.54083
13135,Gwinnett,936250,257462,27499.27904
25009,Essex,789034,256987,32569.82589
48141,El Paso,839238,256001,30503.98099
24031,Montgomery,1050688,245966,23409.99421
48157,Fort Bend,811688,245946,30300.55884
53053,Pierce,904980,245455,27122.69884
40109,Oklahoma,797434,245039,30728.43646
12071,Lee,770577,243110,31549.08594
25027,Worcester,830622,240708,28979.24688
6111,Ventura,846006,239184,28272.13991
1073,Jefferson,658573,238727,36249.13259
34017,Hudson,672391,238646,35492.14668
39061,Hamilton,817473,238207,29139.43335
8041,El Paso,720403,237195,32925.32097
9003,Hartford,891720,237105,26589.62455
47037,Davidson,694144,235552,33934.16928
24033,Prince George's,909327,229478,25236.0262
36085,Richmond,476143,227585,47797.61542
6077,San Joaquin,762148,227031,29788.30883
49049,Utah,636235,226280,35565.47502
8031,Denver,727211,224919,30928.9876
48121,Denton,887207,224101,25259.15598
34025,Monmouth,618795,223671,36146.21967
17197,Will,690743,216951,31408.35303
13067,Cobb,760141,216663,28503.00142
34029,Ocean,607186,215999,35573.77805
40143,Tulsa,651552,212876,32672.14282
17097,Lake,696535,210403,30207.09656
6075,San Francisco,881549,209846,23804.2355
45045,Greenville,523542,207151,39567.21715
53061,Snohomish,822083,205341,24978.13481
26081,Kent,656955,201888,30730.87198
42091,Montgomery,830915,200208,24094.88335
35001,Bernalillo,679121,197256,29045.78124
8005,Arapahoe,656590,197066,30013.55488
34039,Union,556341,196497,35319.52526
6081,San Mateo,766573,194587,25384.01431
36055,Monroe,741770,193746,26119.41707
34031,Passaic,501826,193557,38570.54039
13089,DeKalb,759297,192315,25328.03369
10003,New Castle,558753,186969,33461.83376
25005,Bristol,565217,182344,32260.88387
31055,Douglas,571327,179702,31453.44085
55025,Dane,546695,179419,32818.8478
20091,Johnson,602401,178296,29597.56043
11001,District of Columbia,705749,177945,25213.63828
12009,Brevard,601942,175277,29118.58618
25021,Norfolk,706775,173673,24572.6009
24005,Baltimore,827370,172399,20836.9895
48339,Montgomery,607391,172263,28361.13805
25013,Hampden,466372,172065,36894.36759
41051,Multnomah,812855,171526,21101.6725
20173,Sedgwick,516042,171398,33213.9632
48491,Williamson,590551,170638,28894.71019
34007,Camden,506471,169517,33470.22831
6107,Tulare,466195,168754,36198.15742
6099,Stanislaus,550660,168343,30571.13282
8001,Adams,517421,166371,32153.89402
17089,Kane,532403,166146,31206.81138
34027,Morris,491845,165862,33722.41255
39113,Montgomery,531687,162583,30578.70514
45079,Richland,415759,161232,38780.1587
37081,Guilford,537174,160748,29924.75436
8059,Jefferson,582881,160677,27566.00404
16001,Ada,481587,160373,33300.94043
47093,Knox,470313,159870,33992.25622
