FIPS,Admin2,Population,Death by 03/09/2023,deaths_by_pop
6037,Los Angeles,10039107,35545,354.0653566
4013,Maricopa,4485414,18846,420.1618847
17031,Cook,5150233,15289,296.8603556
36047,Kings,2559903,14205,554.9038382
36081,Queens,2253858,13415,595.2016498
12086,Miami-Dade,2716940,12285,452.1630952
48201,Harris,4713325,11623,246.5987387
32003,Clark,2266715,9313,410.8588861
26163,Wayne,1749343,9107,520.5954464
36005,Bronx,1418207,8529,601.3931676
6071,San Bernardino,2180085,8170,374.7560302
6059,Orange,3175692,7971,251.0004119
48113,Dallas,2635516,7133,270.6490873
6065,Riverside,2470546,6853,277.3880753
12011,Broward,1952778,6770,346.6855935
48029,Bexar,2003554,6512,325.0224351
48439,Tarrant,2102515,6387,303.7790456
36061,New York,1628706,6168,378.7055491
12099,Palm Beach,1496770,6031,402.9343186
6073,San Diego,3338330,5799,173.7096093
42101,Philadelphia,1584064,5549,350.301503
36103,Suffolk,1476601,4963,336.1097548
25017,Middlesex,1611699,4822,299.1873793
26099,Macomb,873972,4613,527.8201132
26125,Oakland,1257584,4563,362.8385857
12057,Hillsborough,1471968,4409,299.5309681
36059,Nassau,1356924,4337,319.619964
4019,Pima,1047279,4301,410.6833041
39035,Cuyahoga,1235072,4130,334.3934605
12103,Pinellas,974996,4065,416.9247874
48215,Hidalgo,868707,4032,464.1380811
48141,El Paso,839238,3895,464.1114916
12031,Duval,957755,3872,404.278756
42003,Allegheny,1216045,3838,315.6133202
34013,Essex,798975,3771,471.979724
29189,St. Louis,994205,3746,376.7834602
34003,Bergen,932202,3733,400.4496879
6067,Sacramento,1552058,3719,239.6173339
47157,Shelby,937166,3677,392.3531157
53033,King,2252782,3512,155.896132
9003,Hartford,891720,3494,391.8270309
12105,Polk,724777,3450,476.0084826
12095,Orange,1393452,3301,236.8937
34029,Ocean,607186,3282,540.5262967
25009,Essex,789034,3272,414.6842848
18097,Marion,964582,3238,335.6894489
9009,New Haven,854757,3165,370.2806763
25027,Worcester,830622,3065,369.0005803
34023,Middlesex,825062,3040,368.4571584
9001,Fairfield,943332,3017,319.8237736
36119,Westchester,967506,3002,310.2823135
6019,Fresno,999101,3001,300.3700327
27053,Hennepin,1265843,2952,233.2042757
36029,Erie,918702,2922,318.0574332
34017,Hudson,672391,2855,424.6041366
39049,Franklin,1316756,2832,215.0740152
24005,Baltimore,827370,2826,341.5642337
40109,Oklahoma,797434,2735,342.9750926
6085,Santa Clara,1927852,2727,141.4527671
44007,Providence,638931,2724,426.3371162
36085,Richmond,476143,2708,568.736703
21111,Jefferson,766757,2681,349.6544538
13121,Fulton,1063937,2667,250.6727372
42091,Montgomery,830915,2657,319.7679666
