,0
0,24.62435925
1,27.18986855
2,29.74721464
3,32.28762845
4,34.81414577
5,37.32918375
6,39.83822242
7,42.35503105
8,44.89046666
9,47.45977699
10,50.07870665
11,52.76384781
12,55.53231579
13,58.39853286
14,61.37289886
15,64.46717278
16,67.68774798
17,71.04294256
18,74.5295179
19,78.14524346
20,81.88633816
21,85.7412463
22,89.70648488
23,93.7725711
24,97.93636964
25,102.1816039
26,106.4956735
27,110.8685947
28,115.2833121
29,119.7341063
30,124.209917
31,128.7070917
32,133.208647
33,137.7003789
34,142.1713929
35,146.6029536
36,150.9851499
37,155.3012502
38,159.5382798
39,163.6697927
40,167.6681576
41,171.5063243
42,175.1486922
43,178.5623059
44,181.7069075
45,184.5413684
46,187.0162302
47,189.081475
48,190.6902697
49,191.7990121
50,192.3734849
51,192.392691
52,191.852376
53,190.772976
54,189.1985209
55,187.1914471
56,184.8279185
57,182.1726124
58,179.2628572
59,176.0882059
60,172.6664925
61,169.0210676
62,165.1788777
63,161.1618311
64,156.995546
65,152.7038968
66,148.3175639
67,143.8732343
68,139.3954661
69,134.9130146
70,130.4483997
71,126.0293004
72,121.6801663
73,117.4311506
74,113.3148031
75,109.3509003
76,105.5624902
77,101.9647273
78,98.57785302
79,95.41535653
80,92.49441738
81,89.82905529
82,87.42146108
83,85.27689588
84,83.39259345
85,81.76947291
86,80.40079091
87,79.28066169
88,78.40603882
89,77.79128764
90,77.43919979
91,77.33308253
92,77.43976468
93,77.71752196
94,78.11768102
95,78.59186712
96,79.10071402
97,79.60777714
98,80.08681692
99,80.5124402
100,80.86977638
101,81.14534319
102,81.32924834
103,81.42324032
104,81.42684806
105,81.34480065
106,81.17660603
107,80.92677295
108,80.59775941
109,80.19095306
110,79.7142417
111,79.17185015
112,78.56997693
113,77.91097112
114,77.19923663
115,76.4385048
116,75.63150104
117,74.78343734
118,73.89823387
119,72.98025083
120,72.03345421
121,71.06192612
122,70.07019777
123,69.06279471
124,68.04325159
125,67.01567431
126,65.98322606
127,64.95078248
128,63.92168651
129,62.89939899
130,61.88785277
131,60.88773433
132,59.90075436
133,58.92681391
134,57.96766521
135,57.02304066
136,56.09208713
137,55.17462018
138,54.26792034
139,53.37023909
140,52.47917502
141,51.59336542
142,50.7113039
143,49.83153491
144,48.9533448
145,48.07633045
