FIPS,Admin2,Confirmed,Deaths,FIPS_1,Admin2_1,Confirmed1,Deaths_1
1001.0,Autauga,4239,50,1001.0,Autauga,4268,50
1003.0,Baldwin,13823,169,1003.0,Baldwin,13955,169
1005.0,Barbour,1517,33,1005.0,Barbour,1528,33
1007.0,Bibb,1854,46,1007.0,Bibb,1863,46
1009.0,Blount,4693,63,1009.0,Blount,4729,63
1011.0,Bullock,888,22,1011.0,Bullock,892,22
1013.0,Butler,1522,45,1013.0,Butler,1530,45
1015.0,Calhoun,9584,157,1015.0,Calhoun,9692,157
1017.0,Chambers,2366,63,1017.0,Chambers,2386,63
1019.0,Cherokee,1429,22,1019.0,Cherokee,1435,22
1021.0,Chilton,3004,54,1021.0,Chilton,3019,54
1023.0,Choctaw,491,22,1023.0,Choctaw,492,22
1025.0,Clarke,2418,26,1025.0,Clarke,2438,26
1027.0,Clay,1150,34,1027.0,Clay,1158,34
1029.0,Cleburne,1036,16,1029.0,Cleburne,1046,16
1031.0,Coffee,3643,38,1031.0,Coffee,3678,38
1033.0,Colbert,4701,60,1033.0,Colbert,4730,60
1035.0,Conecuh,839,17,1035.0,Conecuh,865,17
1037.0,Coosa,519,7,1037.0,Coosa,523,7
1039.0,Covington,2931,40,1039.0,Covington,2948,40
1041.0,Crenshaw,960,36,1041.0,Crenshaw,963,36
1043.0,Cullman,7194,78,1043.0,Cullman,7242,78
1045.0,Dale,3371,63,1045.0,Dale,3404,63
1047.0,Dallas,2821,43,1047.0,Dallas,2827,43
1049.0,DeKalb,6978,62,1049.0,DeKalb,7004,62
1051.0,Elmore,6542,83,1051.0,Elmore,6625,83
1053.0,Escambia,2682,34,1053.0,Escambia,2713,34
1055.0,Etowah,10110,96,1055.0,Etowah,10265,96
1057.0,Fayette,1441,19,1057.0,Fayette,1456,19
1059.0,Franklin,3300,37,1059.0,Franklin,3317,37
1061.0,Geneva,1691,20,1061.0,Geneva,1720,20
1063.0,Greene,679,20,1063.0,Greene,682,20
1065.0,Hale,1468,33,1065.0,Hale,1492,33
1067.0,Henry,1268,8,1067.0,Henry,1284,8
1069.0,Houston,7371,64,1069.0,Houston,7454,64
1071.0,Jackson,5183,34,1071.0,Jackson,5217,34
1073.0,Jefferson,53058,719,1073.0,Jefferson,53621,719
1075.0,Lamar,1065,15,1075.0,Lamar,1069,15
1077.0,Lauderdale,6566,70,1077.0,Lauderdale,6613,70
