dates,I,confirmed_by_pop
UID,84051640,
iso2,US,
iso3,USA,
code3,840,
FIPS,51640.0,
Admin2,Galax,
Province_State,Virginia,
Country_Region,US,
Lat,36.66601852,
Long_,-80.91703124,
Combined_Key,"Galax, Virginia, US",
Population,6347,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,1,15.755475027572082
2020-03-28,1,15.755475027572082
2020-03-29,1,15.755475027572082
2020-03-30,1,15.755475027572082
2020-03-31,1,15.755475027572082
2020-04-01,1,15.755475027572082
2020-04-02,1,15.755475027572082
2020-04-03,1,15.755475027572082
2020-04-04,1,15.755475027572082
2020-04-05,1,15.755475027572082
2020-04-06,1,15.755475027572082
2020-04-07,1,15.755475027572082
2020-04-08,1,15.755475027572082
2020-04-09,1,15.755475027572082
2020-04-10,1,15.755475027572082
2020-04-11,1,15.755475027572082
2020-04-12,1,15.755475027572082
2020-04-13,1,15.755475027572082
2020-04-14,1,15.755475027572082
2020-04-15,1,15.755475027572082
2020-04-16,1,15.755475027572082
2020-04-17,1,15.755475027572082
2020-04-18,1,15.755475027572082
2020-04-19,1,15.755475027572082
2020-04-20,1,15.755475027572082
2020-04-21,1,15.755475027572082
2020-04-22,1,15.755475027572082
2020-04-23,1,15.755475027572082
2020-04-24,1,15.755475027572082
2020-04-25,1,15.755475027572082
2020-04-26,4,63.02190011028833
2020-04-27,4,63.02190011028833
2020-04-28,4,63.02190011028833
2020-04-29,4,63.02190011028833
2020-04-30,4,63.02190011028833
2020-05-01,9,141.79927524814875
2020-05-02,10,157.5547502757208
2020-05-03,12,189.06570033086498
2020-05-04,25,393.88687568930203
2020-05-05,25,393.88687568930203
2020-05-06,31,488.4197258547345
2020-05-07,32,504.1752008823066
2020-05-08,33,519.9306759098787
2020-05-09,34,535.6861509374507
2020-05-10,45,708.9963762407436
2020-05-11,55,866.5511265164645
2020-05-12,56,882.3066015440365
2020-05-13,64,1008.3504017646133
2020-05-14,65,1024.1058767921852
2020-05-15,66,1039.8613518197574
2020-05-16,77,1213.1715771230502
2020-05-17,80,1260.4380022057665
2020-05-18,82,1291.9489522609106
2020-05-19,82,1291.9489522609106
2020-05-20,82,1291.9489522609106
2020-05-21,82,1291.9489522609106
2020-05-22,85,1339.2153773436269
2020-05-23,87,1370.726327398771
2020-05-24,88,1386.4818024263432
2020-05-25,95,1496.7701276193477
2020-05-26,104,1638.5694028674964
2020-05-27,106,1670.0803529226407
2020-05-28,107,1685.8358279502127
2020-05-29,107,1685.8358279502127
2020-05-30,112,1764.613203088073
2020-05-31,123,1937.923428391366
2020-06-01,124,1953.678903418938
2020-06-02,127,2000.9453285016543
2020-06-03,131,2063.9672286119426
2020-06-04,140,2205.7665038600912
2020-06-05,140,2205.7665038600912
2020-06-06,143,2253.0329289428078
2020-06-07,147,2316.054829053096
2020-06-08,147,2316.054829053096
2020-06-09,148,2331.810304080668
2020-06-10,154,2426.3431542461003
2020-06-11,165,2599.6533795493933
2020-06-12,171,2694.186229714826
2020-06-13,193,3040.8066803214115
2020-06-14,204,3214.1169056247045
2020-06-15,205,3229.8723806522767
2020-06-16,206,3245.627855679849
2020-06-17,208,3277.1388057349927
2020-06-18,211,3324.4052308177093
2020-06-19,217,3418.938080983142
2020-06-20,222,3497.7154561210023
2020-06-21,223,3513.470931148574
2020-06-22,224,3529.226406176146
2020-06-23,227,3576.4928312588627
2020-06-24,233,3671.025681424295
2020-06-25,238,3749.8030565621552
2020-06-26,243,3828.5804317000157
2020-06-27,244,3844.335906727588
2020-06-28,252,3970.3797069481643
2020-06-29,253,3986.1351819757365
2020-06-30,253,3986.1351819757365
2020-07-01,256,4033.401607058453
2020-07-02,261,4112.178982196313
2020-07-03,263,4143.689932251457
2020-07-04,265,4175.200882306602
2020-07-05,272,4285.489207499606
2020-07-06,276,4348.511107609895
2020-07-07,281,4427.288482747755
2020-07-08,282,4443.043957775327
2020-07-09,282,4443.043957775327
2020-07-10,283,4458.799432802899
2020-07-11,287,4521.821332913188
2020-07-12,288,4537.57680794076
2020-07-13,289,4553.332282968331
2020-07-14,290,4569.087757995903
2020-07-15,292,4600.598708051048
2020-07-16,296,4663.620608161336
2020-07-17,296,4663.620608161336
2020-07-18,299,4710.887033244052
2020-07-19,300,4726.642508271624
2020-07-20,304,4789.664408381913
2020-07-21,305,4805.419883409485
2020-07-22,305,4805.419883409485
2020-07-23,306,4821.175358437057
2020-07-24,312,4915.708208602489
2020-07-25,317,4994.48558374035
2020-07-26,322,5073.26295887821
2020-07-27,326,5136.284858988499
2020-07-28,326,5136.284858988499
2020-07-29,327,5152.040334016071
2020-07-30,329,5183.5512840712145
2020-07-31,331,5215.062234126359
2020-08-01,331,5215.062234126359
2020-08-02,331,5215.062234126359
2020-08-03,338,5325.350559319363
2020-08-04,341,5372.61698440208
2020-08-05,342,5388.372459429652
2020-08-06,342,5388.372459429652
2020-08-07,348,5482.905309595084
2020-08-08,346,5451.3943595399405
2020-08-09,347,5467.149834567512
2020-08-10,347,5467.149834567512
2020-08-11,350,5514.416259650228
2020-08-12,351,5530.1717346778005
2020-08-13,352,5545.927209705373
2020-08-14,353,5561.682684732945
2020-08-15,353,5561.682684732945
2020-08-16,353,5561.682684732945
2020-08-17,354,5577.438159760517
2020-08-18,356,5608.949109815661
2020-08-19,388,6113.124310697967
2020-08-20,388,6113.124310697967
2020-08-21,388,6113.124310697967
2020-08-22,390,6144.635260753112
2020-08-23,390,6144.635260753112
2020-08-24,394,6207.6571608634
2020-08-25,394,6207.6571608634
2020-08-26,394,6207.6571608634
2020-08-27,394,6207.6571608634
2020-08-28,394,6207.6571608634
2020-08-29,396,6239.168110918544
2020-08-30,396,6239.168110918544
2020-08-31,396,6239.168110918544
2020-09-01,397,6254.923585946116
2020-09-02,398,6270.679060973688
2020-09-03,401,6317.945486056405
2020-09-04,401,6317.945486056405
2020-09-05,401,6317.945486056405
2020-09-06,402,6333.700961083977
2020-09-07,403,6349.456436111549
2020-09-08,403,6349.456436111549
2020-09-09,403,6349.456436111549
2020-09-10,403,6349.456436111549
2020-09-11,403,6349.456436111549
2020-09-12,404,6365.211911139121
2020-09-13,405,6380.967386166693
2020-09-14,406,6396.722861194265
2020-09-15,406,6396.722861194265
2020-09-16,406,6396.722861194265
2020-09-17,406,6396.722861194265
2020-09-18,407,6412.478336221837
2020-09-19,407,6412.478336221837
2020-09-20,407,6412.478336221837
2020-09-21,408,6428.233811249409
2020-09-22,411,6475.5002363321255
2020-09-23,413,6507.01118638727
2020-09-24,413,6507.01118638727
2020-09-25,413,6507.01118638727
2020-09-26,415,6538.522136442413
2020-09-27,418,6585.78856152513
2020-09-28,418,6585.78856152513
2020-09-29,418,6585.78856152513
2020-09-30,419,6601.544036552702
2020-10-01,419,6601.544036552702
2020-10-02,420,6617.299511580274
2020-10-03,421,6633.054986607846
2020-10-04,421,6633.054986607846
2020-10-05,421,6633.054986607846
2020-10-06,421,6633.054986607846
2020-10-07,421,6633.054986607846
2020-10-08,421,6633.054986607846
2020-10-09,422,6648.8104616354185
2020-10-10,423,6664.565936662991
2020-10-11,427,6727.5878367732785
2020-10-12,427,6727.5878367732785
2020-10-13,427,6727.5878367732785
2020-10-14,427,6727.5878367732785
2020-10-15,427,6727.5878367732785
2020-10-16,427,6727.5878367732785
2020-10-17,430,6774.854261855995
2020-10-18,431,6790.609736883567
2020-10-19,431,6790.609736883567
2020-10-20,433,6822.1206869387115
2020-10-21,434,6837.876161966284
2020-10-22,436,6869.387112021427
2020-10-23,436,6869.387112021427
2020-10-24,439,6916.653537104144
2020-10-25,440,6932.409012131716
2020-10-26,443,6979.675437214432
2020-10-27,444,6995.4309122420045
2020-10-28,448,7058.452812352292
2020-10-29,453,7137.230187490153
2020-10-30,455,7168.741137545297
2020-10-31,460,7247.5185126831575
