dates,I,confirmed_by_pop
UID,84017031,
iso2,US,
iso3,USA,
code3,840,
FIPS,17031.0,
Admin2,Cook,
Province_State,Illinois,
Country_Region,US,
Lat,41.84144849,
Long_,-87.81658794,
Combined_Key,"Cook, Illinois, US",
Population,5150233,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,1,0.01941659726851193
2020-01-25,1,0.01941659726851193
2020-01-26,1,0.01941659726851193
2020-01-27,1,0.01941659726851193
2020-01-28,1,0.01941659726851193
2020-01-29,1,0.01941659726851193
2020-01-30,1,0.01941659726851193
2020-01-31,2,0.03883319453702386
2020-02-01,2,0.03883319453702386
2020-02-02,2,0.03883319453702386
2020-02-03,2,0.03883319453702386
2020-02-04,2,0.03883319453702386
2020-02-05,2,0.03883319453702386
2020-02-06,2,0.03883319453702386
2020-02-07,2,0.03883319453702386
2020-02-08,2,0.03883319453702386
2020-02-09,2,0.03883319453702386
2020-02-10,2,0.03883319453702386
2020-02-11,2,0.03883319453702386
2020-02-12,2,0.03883319453702386
2020-02-13,2,0.03883319453702386
2020-02-14,2,0.03883319453702386
2020-02-15,2,0.03883319453702386
2020-02-16,2,0.03883319453702386
2020-02-17,2,0.03883319453702386
2020-02-18,2,0.03883319453702386
2020-02-19,2,0.03883319453702386
2020-02-20,2,0.03883319453702386
2020-02-21,2,0.03883319453702386
2020-02-22,2,0.03883319453702386
2020-02-23,2,0.03883319453702386
2020-02-24,2,0.03883319453702386
2020-02-25,2,0.03883319453702386
2020-02-26,2,0.03883319453702386
2020-02-27,2,0.03883319453702386
2020-02-28,2,0.03883319453702386
2020-02-29,2,0.03883319453702386
2020-03-01,3,0.058249791805535786
2020-03-02,4,0.07766638907404771
2020-03-03,4,0.07766638907404771
2020-03-04,4,0.07766638907404771
2020-03-05,5,0.09708298634255964
2020-03-06,5,0.09708298634255964
2020-03-07,6,0.11649958361107157
2020-03-08,7,0.13591618087958351
2020-03-09,7,0.13591618087958351
2020-03-10,11,0.21358256995363123
2020-03-11,22,0.42716513990726246
2020-03-12,27,0.5242481262498221
2020-03-13,40,0.7766638907404771
2020-03-14,50,0.9708298634255965
2020-03-15,50,0.9708298634255965
2020-03-16,62,1.2038290306477397
2020-03-17,107,2.0775759077307763
2020-03-18,178,3.4561543137951234
2020-03-19,278,5.397814040646316
2020-03-20,278,5.397814040646316
2020-03-21,548,10.640295303144537
2020-03-22,805,15.630360801152102
2020-03-23,922,17.902102681568
2020-03-24,1194,23.183417138603243
2020-03-25,1418,27.532734926749917
2020-03-26,1418,27.532734926749917
2020-03-27,2239,43.47376128419821
2020-03-28,2613,50.735568662621674
2020-03-29,3445,66.8901775900236
2020-03-30,3727,72.36565801974396
2020-03-31,4496,87.29702131922963
2020-04-01,5152,100.03430912737346
2020-04-02,5575,108.247529771954
