dates,I,confirmed_by_pop
UID,84039041,
iso2,US,
iso3,USA,
code3,840,
FIPS,39041.0,
Admin2,Delaware,
Province_State,Ohio,
Country_Region,US,
Lat,40.27942393,
Long_,-83.00457058,
Combined_Key,"Delaware, Ohio, US",
Population,209177,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,1,0.4780640318964322
2020-03-19,2,0.9561280637928644
2020-03-20,2,0.9561280637928644
2020-03-21,4,1.9122561275857288
2020-03-22,6,2.8683841913785932
2020-03-23,7,3.3464482232750257
2020-03-24,11,5.2587043508607545
2020-03-25,12,5.7367683827571865
2020-03-26,15,7.170960478446483
2020-03-27,20,9.561280637928645
2020-03-28,26,12.429664829307237
2020-03-29,31,14.819984988789399
2020-03-30,38,18.166433212064423
2020-03-31,42,20.078689339650154
2020-04-01,47,22.469009499132312
2020-04-02,50,23.90320159482161
2020-04-03,61,29.161905945682363
2020-04-04,69,32.98641820085382
2020-04-05,70,33.46448223275026
2020-04-06,77,36.81093045602528
2020-04-07,77,36.81093045602528
2020-04-08,79,37.76705851981814
2020-04-09,84,40.15737867930031
2020-04-10,88,42.069634806886036
2020-04-11,89,42.547698838782466
2020-04-12,94,44.938018998264624
2020-04-13,96,45.89414706205749
2020-04-14,99,47.32833915774679
2020-04-15,108,51.630915444814676
2020-04-16,114,54.49929963619327
2020-04-17,119,56.88961979567543
2020-04-18,119,56.88961979567543
2020-04-19,123,58.801875923261164
2020-04-20,122,58.32381189136473
2020-04-21,127,60.71413205084689
2020-04-22,128,61.19219608274332
2020-04-23,132,63.10445221032905
2020-04-24,137,65.49477236981122
2020-04-25,138,65.97283640170764
2020-04-26,143,68.36315656118981
2020-04-27,148,70.75347672067197
2020-04-28,151,72.18766881636127
2020-04-29,153,73.14379688015413
2020-04-30,160,76.49024510342916
2020-05-01,163,77.92443719911844
2020-05-02,168,80.31475735860062
2020-05-03,175,83.66120558187563
2020-05-04,179,85.57346170946137
2020-05-05,184,87.96378186894353
2020-05-06,190,90.83216606032212
2020-05-07,196,93.70055025170072
2020-05-08,199,95.13474234739002
2020-05-09,211,100.8715107301472
2020-05-10,220,105.17408701721509
2020-05-11,222,106.13021508100795
2020-05-12,232,110.91085539997228
2020-05-13,234,111.86698346376514
2020-05-14,240,114.73536765514373
2020-05-15,241,115.21343168704016
2020-05-16,257,122.86245619738308
2020-05-17,258,123.3405202292795
2020-05-18,263,125.73084038876168
2020-05-19,266,127.16503248445096
2020-05-20,277,132.42373683531173
2020-05-21,280,133.85792893100103
2020-05-22,282,134.81405699479387
2020-05-23,292,139.59469731375822
2020-05-24,296,141.50695344134394
2020-05-25,300,143.41920956892966
2020-05-26,302,144.37533763272253
2020-05-27,302,144.37533763272253
2020-05-28,310,148.19984988789398
2020-05-29,320,152.98049020685832
2020-05-30,331,158.23919455771906
2020-05-31,337,161.10757874909766
2020-06-01,337,161.10757874909766
2020-06-02,340,162.54177084478695
2020-06-03,344,164.45402697237267
2020-06-04,355,169.71273132323344
2020-06-05,360,172.10305148271559
2020-06-06,366,174.97143567409418
2020-06-07,368,175.92756373788706
2020-06-08,369,176.40562776978348
2020-06-09,378,180.70820405685137
2020-06-10,384,183.57658824822997
2020-06-11,387,185.01078034391927
2020-06-12,389,185.96690840771214
2020-06-13,394,188.35722856719428
2020-06-14,398,190.26948469478003
2020-06-15,402,192.18174082236575
2020-06-16,403,192.65980485426218
2020-06-17,403,192.65980485426218
2020-06-18,410,196.0062530775372
2020-06-19,412,196.96238114133007
2020-06-20,419,200.3088293646051
2020-06-21,427,204.13334161977656
2020-06-22,433,207.00172581115515
2020-06-23,439,209.87011000253375
