dates,I,confirmed_by_pop
UID,84015007,
iso2,US,
iso3,USA,
code3,840,
FIPS,15007.0,
Admin2,Kauai,
Province_State,Hawaii,
Country_Region,US,
Lat,22.03935037,
Long_,-159.5966786,
Combined_Key,"Kauai, Hawaii, US",
Population,72293,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,2,2.7665195800423277
2020-03-15,2,2.7665195800423277
2020-03-16,2,2.7665195800423277
2020-03-17,2,2.7665195800423277
2020-03-18,2,2.7665195800423277
2020-03-19,2,2.7665195800423277
2020-03-20,3,4.1497793700634915
2020-03-21,3,4.1497793700634915
2020-03-22,3,4.1497793700634915
2020-03-23,3,4.1497793700634915
2020-03-24,1,1.3832597900211638
2020-03-25,1,1.3832597900211638
2020-03-26,2,2.7665195800423277
2020-03-27,5,6.916298950105819
2020-03-28,11,15.215857690232802
2020-03-29,11,15.215857690232802
2020-03-30,12,16.599117480253966
2020-03-31,12,16.599117480253966
2020-04-01,12,16.599117480253966
2020-04-02,12,16.599117480253966
2020-04-03,13,17.98237727027513
2020-04-04,15,20.748896850317458
2020-04-05,16,22.13215664033862
2020-04-06,17,23.515416430359785
2020-04-07,18,24.89867622038095
2020-04-08,18,24.89867622038095
2020-04-09,18,24.89867622038095
2020-04-10,18,24.89867622038095
2020-04-11,19,26.281936010402113
2020-04-12,21,29.04845559044444
2020-04-13,21,29.04845559044444
2020-04-14,21,29.04845559044444
2020-04-15,21,29.04845559044444
2020-04-16,21,29.04845559044444
2020-04-17,21,29.04845559044444
2020-04-18,21,29.04845559044444
2020-04-19,21,29.04845559044444
2020-04-20,21,29.04845559044444
2020-04-21,21,29.04845559044444
2020-04-22,21,29.04845559044444
2020-04-23,21,29.04845559044444
2020-04-24,21,29.04845559044444
2020-04-25,21,29.04845559044444
2020-04-26,21,29.04845559044444
2020-04-27,21,29.04845559044444
2020-04-28,21,29.04845559044444
2020-04-29,21,29.04845559044444
2020-04-30,21,29.04845559044444
2020-05-01,21,29.04845559044444
2020-05-02,21,29.04845559044444
2020-05-03,21,29.04845559044444
2020-05-04,21,29.04845559044444
2020-05-05,21,29.04845559044444
2020-05-06,21,29.04845559044444
2020-05-07,21,29.04845559044444
2020-05-08,21,29.04845559044444
2020-05-09,21,29.04845559044444
2020-05-10,21,29.04845559044444
2020-05-11,21,29.04845559044444
2020-05-12,21,29.04845559044444
2020-05-13,21,29.04845559044444
2020-05-14,21,29.04845559044444
2020-05-15,21,29.04845559044444
2020-05-16,21,29.04845559044444
2020-05-17,21,29.04845559044444
2020-05-18,21,29.04845559044444
2020-05-19,21,29.04845559044444
2020-05-20,21,29.04845559044444
2020-05-21,21,29.04845559044444
2020-05-22,20,27.665195800423277
2020-05-23,20,27.665195800423277
2020-05-24,20,27.665195800423277
2020-05-25,20,27.665195800423277
2020-05-26,20,27.665195800423277
2020-05-27,20,27.665195800423277
2020-05-28,20,27.665195800423277
2020-05-29,20,27.665195800423277
2020-05-30,20,27.665195800423277
2020-05-31,20,27.665195800423277
2020-06-01,20,27.665195800423277
2020-06-02,20,27.665195800423277
2020-06-03,20,27.665195800423277
2020-06-04,20,27.665195800423277
2020-06-05,21,29.04845559044444
2020-06-06,21,29.04845559044444
2020-06-07,21,29.04845559044444
2020-06-08,21,29.04845559044444
2020-06-09,21,29.04845559044444
2020-06-10,21,29.04845559044444
2020-06-11,21,29.04845559044444
2020-06-12,21,29.04845559044444
2020-06-13,21,29.04845559044444
2020-06-14,21,29.04845559044444
2020-06-15,21,29.04845559044444
2020-06-16,21,29.04845559044444
2020-06-17,21,29.04845559044444
2020-06-18,21,29.04845559044444
2020-06-19,22,30.431715380465604
2020-06-20,22,30.431715380465604
2020-06-21,29,40.11453391061375
2020-06-22,29,40.11453391061375
2020-06-23,29,40.11453391061375
2020-06-24,29,40.11453391061375
2020-06-25,34,47.03083286071957
2020-06-26,34,47.03083286071957
2020-06-27,35,48.414092650740734
2020-06-28,37,51.18061223078306
2020-06-29,37,51.18061223078306
2020-06-30,38,52.563872020804226
2020-07-01,38,52.563872020804226
2020-07-02,38,52.563872020804226
2020-07-03,38,52.563872020804226
2020-07-04,40,55.33039160084655
2020-07-05,40,55.33039160084655
2020-07-06,40,55.33039160084655
2020-07-07,42,58.09691118088888
2020-07-08,42,58.09691118088888
2020-07-09,43,59.480170970910045
2020-07-10,43,59.480170970910045
2020-07-11,43,59.480170970910045
2020-07-12,43,59.480170970910045
2020-07-13,43,59.480170970910045
2020-07-14,43,59.480170970910045
2020-07-15,43,59.480170970910045
2020-07-16,43,59.480170970910045
2020-07-17,43,59.480170970910045
2020-07-18,43,59.480170970910045
2020-07-19,43,59.480170970910045
2020-07-20,43,59.480170970910045
2020-07-21,43,59.480170970910045
2020-07-22,43,59.480170970910045
2020-07-23,43,59.480170970910045
2020-07-24,43,59.480170970910045
2020-07-25,43,59.480170970910045
2020-07-26,45,62.24669055095237
2020-07-27,45,62.24669055095237
2020-07-28,45,62.24669055095237
2020-07-29,47,65.01321013099471
2020-07-30,47,65.01321013099471
2020-07-31,47,65.01321013099471
2020-08-01,47,65.01321013099471
2020-08-02,47,65.01321013099471
2020-08-03,47,65.01321013099471
2020-08-04,47,65.01321013099471
2020-08-05,47,65.01321013099471
2020-08-06,47,65.01321013099471
2020-08-07,47,65.01321013099471
2020-08-08,47,65.01321013099471
2020-08-09,48,66.39646992101586
2020-08-10,49,67.77972971103704
2020-08-11,49,67.77972971103704
2020-08-12,51,70.54624929107936
2020-08-13,52,71.92950908110052
2020-08-14,53,73.31276887112169
2020-08-15,54,74.69602866114285
2020-08-16,54,74.69602866114285
2020-08-17,54,74.69602866114285
2020-08-18,54,74.69602866114285
2020-08-19,54,74.69602866114285
2020-08-20,54,74.69602866114285
2020-08-21,56,77.46254824118517
2020-08-22,56,77.46254824118517
2020-08-23,56,77.46254824118517
2020-08-24,56,77.46254824118517
2020-08-25,56,77.46254824118517
2020-08-26,56,77.46254824118517
2020-08-27,56,77.46254824118517
2020-08-28,56,77.46254824118517
2020-08-29,57,78.84580803120635
2020-08-30,57,78.84580803120635
2020-08-31,57,78.84580803120635
2020-09-01,57,78.84580803120635
2020-09-02,57,78.84580803120635
2020-09-03,57,78.84580803120635
2020-09-04,57,78.84580803120635
2020-09-05,57,78.84580803120635
2020-09-06,58,80.2290678212275
2020-09-07,58,80.2290678212275
2020-09-08,58,80.2290678212275
2020-09-09,58,80.2290678212275
2020-09-10,58,80.2290678212275
2020-09-11,58,80.2290678212275
2020-09-12,58,80.2290678212275
2020-09-13,58,80.2290678212275
2020-09-14,58,80.2290678212275
2020-09-15,58,80.2290678212275
2020-09-16,58,80.2290678212275
2020-09-17,58,80.2290678212275
2020-09-18,57,78.84580803120635
2020-09-19,57,78.84580803120635
2020-09-20,57,78.84580803120635
2020-09-21,57,78.84580803120635
2020-09-22,57,78.84580803120635
2020-09-23,57,78.84580803120635
2020-09-24,57,78.84580803120635
2020-09-25,58,80.2290678212275
2020-09-26,59,81.61232761124867
2020-09-27,59,81.61232761124867
2020-09-28,59,81.61232761124867
2020-09-29,59,81.61232761124867
2020-09-30,59,81.61232761124867
2020-10-01,59,81.61232761124867
2020-10-02,59,81.61232761124867
2020-10-03,59,81.61232761124867
2020-10-04,59,81.61232761124867
2020-10-05,59,81.61232761124867
2020-10-06,59,81.61232761124867
2020-10-07,59,81.61232761124867
2020-10-08,59,81.61232761124867
2020-10-09,59,81.61232761124867
2020-10-10,59,81.61232761124867
2020-10-11,59,81.61232761124867
2020-10-12,59,81.61232761124867
2020-10-13,59,81.61232761124867
2020-10-14,59,81.61232761124867
2020-10-15,59,81.61232761124867
2020-10-16,59,81.61232761124867
2020-10-17,60,82.99558740126983
2020-10-18,61,84.378847191291
2020-10-19,60,82.99558740126983
2020-10-20,60,82.99558740126983
2020-10-21,60,82.99558740126983
2020-10-22,60,82.99558740126983
2020-10-23,60,82.99558740126983
2020-10-24,60,82.99558740126983
2020-10-25,61,84.378847191291
2020-10-26,62,85.76210698131216
2020-10-27,62,85.76210698131216
2020-10-28,63,87.14536677133333
2020-10-29,64,88.52862656135449
2020-10-30,64,88.52862656135449
2020-10-31,64,88.52862656135449
2020-11-01,65,89.91188635137566
2020-11-02,66,91.29514614139681
2020-11-03,67,92.67840593141798
2020-11-04,67,92.67840593141798
2020-11-05,68,94.06166572143914
2020-11-06,70,96.82818530148147
2020-11-07,72,99.5947048815238
2020-11-08,72,99.5947048815238
2020-11-09,74,102.36122446156612
2020-11-10,72,99.5947048815238
2020-11-11,75,103.7444842515873
2020-11-12,76,105.12774404160845
2020-11-13,78,107.89426362165078
2020-11-14,81,112.04404299171428
2020-11-15,81,112.04404299171428
2020-11-16,83,114.8105625717566
2020-11-17,83,114.8105625717566
2020-11-18,83,114.8105625717566
2020-11-19,87,120.34360173184126
2020-11-20,88,121.72686152186242
2020-11-21,92,127.25990068194707
2020-11-22,98,135.55945942207407
2020-11-23,101,139.70923879213754
2020-11-24,102,141.09249858215873
2020-11-25,103,142.47575837217988
2020-11-26,106,146.62553774224338
2020-11-27,111,153.5418366923492
2020-11-28,112,154.92509648237035
2020-11-29,113,156.3083562723915
2020-11-30,114,157.6916160624127
2020-12-01,114,157.6916160624127
2020-12-02,115,159.07487585243385
2020-12-03,117,161.84139543247616
2020-12-04,120,165.99117480253966
2020-12-05,120,165.99117480253966
2020-12-06,120,165.99117480253966
2020-12-07,121,167.37443459256082
2020-12-08,121,167.37443459256082
2020-12-09,122,168.757694382582
2020-12-10,124,171.52421396262432
2020-12-11,126,174.29073354266666
2020-12-12,131,181.20703249277247
2020-12-13,135,186.74007165285713
2020-12-14,135,186.74007165285713
2020-12-15,135,186.74007165285713
2020-12-16,135,186.74007165285713
2020-12-17,136,188.12333144287828
2020-12-18,137,189.50659123289944
2020-12-19,138,190.88985102292062
2020-12-20,138,190.88985102292062
2020-12-21,139,192.27311081294178
2020-12-22,139,192.27311081294178
2020-12-23,139,192.27311081294178
2020-12-24,140,193.65637060296294
2020-12-25,140,193.65637060296294
2020-12-26,143,197.80614997302644
2020-12-27,144,199.1894097630476
2020-12-28,145,200.57266955306875
2020-12-29,145,200.57266955306875
2020-12-30,146,201.95592934308993
2020-12-31,146,201.95592934308993
2021-01-01,147,203.3391891331111
2021-01-02,149,206.1057087131534
2021-01-03,151,208.87222829319575
2021-01-04,151,208.87222829319575
2021-01-05,151,208.87222829319575
2021-01-06,154,213.02200766325925
2021-01-07,155,214.4052674532804
2021-01-08,158,218.5550468233439
2021-01-09,158,218.5550468233439
2021-01-10,167,231.00438493353437
2021-01-11,168,232.38764472355552
2021-01-12,168,232.38764472355552
2021-01-13,170,235.15416430359787
2021-01-14,171,236.53742409361902
2021-01-15,172,237.92068388364018
2021-01-16,173,239.30394367366134
2021-01-17,174,240.68720346368252
2021-01-18,176,243.45372304372484
2021-01-19,176,243.45372304372484
2021-01-20,177,244.836982833746
2021-01-21,177,244.836982833746
2021-01-22,178,246.22024262376718
2021-01-23,178,246.22024262376718
2021-01-24,178,246.22024262376718
2021-01-25,179,247.60350241378833
2021-01-26,179,247.60350241378833
2021-01-27,179,247.60350241378833
2021-01-28,179,247.60350241378833
2021-01-29,180,248.9867622038095
2021-01-30,180,248.9867622038095
2021-01-31,180,248.9867622038095
2021-02-01,181,250.37002199383065
2021-02-02,181,250.37002199383065
2021-02-03,181,250.37002199383065
2021-02-04,180,248.9867622038095
2021-02-05,180,248.9867622038095
2021-02-06,181,250.37002199383065
2021-02-07,181,250.37002199383065
2021-02-08,181,250.37002199383065
2021-02-09,181,250.37002199383065
2021-02-10,181,250.37002199383065
2021-02-11,181,250.37002199383065
2021-02-12,181,250.37002199383065
