dates,I,confirmed_by_pop
UID,84006037,
iso2,US,
iso3,USA,
code3,840,
FIPS,6037.0,
Admin2,Los Angeles,
Province_State,California,
Country_Region,US,
Lat,34.30828379,
Long_,-118.2282411,
Combined_Key,"Los Angeles, California, US",
Population,10039107,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,1,0.009961045339988905
2020-01-27,1,0.009961045339988905
2020-01-28,1,0.009961045339988905
2020-01-29,1,0.009961045339988905
2020-01-30,1,0.009961045339988905
2020-01-31,1,0.009961045339988905
2020-02-01,1,0.009961045339988905
2020-02-02,1,0.009961045339988905
2020-02-03,1,0.009961045339988905
2020-02-04,1,0.009961045339988905
2020-02-05,1,0.009961045339988905
2020-02-06,1,0.009961045339988905
2020-02-07,1,0.009961045339988905
2020-02-08,1,0.009961045339988905
2020-02-09,1,0.009961045339988905
2020-02-10,1,0.009961045339988905
2020-02-11,1,0.009961045339988905
2020-02-12,1,0.009961045339988905
2020-02-13,1,0.009961045339988905
2020-02-14,1,0.009961045339988905
2020-02-15,1,0.009961045339988905
2020-02-16,1,0.009961045339988905
2020-02-17,1,0.009961045339988905
2020-02-18,1,0.009961045339988905
2020-02-19,1,0.009961045339988905
2020-02-20,1,0.009961045339988905
2020-02-21,1,0.009961045339988905
2020-02-22,1,0.009961045339988905
2020-02-23,1,0.009961045339988905
2020-02-24,1,0.009961045339988905
2020-02-25,1,0.009961045339988905
2020-02-26,1,0.009961045339988905
2020-02-27,1,0.009961045339988905
2020-02-28,1,0.009961045339988905
2020-02-29,1,0.009961045339988905
2020-03-01,1,0.009961045339988905
2020-03-02,1,0.009961045339988905
2020-03-03,1,0.009961045339988905
2020-03-04,7,0.06972731737992234
2020-03-05,11,0.10957149873987795
2020-03-06,13,0.12949358941985578
2020-03-07,14,0.13945463475984468
2020-03-08,14,0.13945463475984468
2020-03-09,14,0.13945463475984468
2020-03-10,20,0.1992209067997781
2020-03-11,27,0.26894822417970043
2020-03-12,32,0.31875345087964496
2020-03-13,40,0.3984418135995562
2020-03-14,53,0.527935403019412
2020-03-15,53,0.527935403019412
2020-03-16,94,0.9363382619589571
2020-03-17,144,1.4343905289584025
2020-03-18,190,1.892598614597892
2020-03-19,231,2.301001473537437
2020-03-20,292,2.9086252392767604
2020-03-21,292,2.9086252392767604
2020-03-22,407,4.054145453375485
2020-03-23,536,5.339120302234053
2020-03-24,662,6.594212015072656
2020-03-25,812,8.088368816070991
2020-03-26,1229,12.242124722846365
2020-03-27,1465,14.592931423083746
2020-03-28,1465,14.592931423083746
2020-03-29,1829,18.21875192683971
2020-03-30,2474,24.643626171132553
2020-03-31,3019,30.072395881426505
2020-04-01,3518,35.04295750608097
2020-04-02,4045,40.29242840025512
2020-04-03,4566,45.48213302238934
2020-04-04,4605,45.87061379064891
2020-04-05,5955,59.318024999633934
2020-04-06,6377,63.52158613310925
2020-04-07,6936,69.08981047816305
2020-04-08,7559,75.29554172497613
2020-04-09,7955,79.24011567961175
2020-04-10,8443,84.10110580552633
2020-04-11,8453,84.20071625892622
2020-04-12,8894,88.59353725386133
2020-04-13,9433,93.96254069211534
2020-04-14,10047,100.07862253086853
2020-04-15,10517,104.76031384066331
2020-04-16,10854,108.11718612023958
2020-04-17,11400,113.55591687587352
2020-04-18,12021,119.74172603200662
2020-04-19,12341,122.92926054080309
2020-04-20,13823,137.69152973466663
2020-04-21,15153,150.9397200368519
2020-04-22,16447,163.82931270679754
2020-04-23,17537,174.68685212738544
2020-04-24,18545,184.72758583009426
2020-04-25,19133,190.5846804900077
2020-04-26,19567,194.9077741675629
2020-04-27,20423,203.43442897859342
2020-04-28,20996,209.14210795840705
2020-04-29,22485,223.97410446965054
2020-04-30,23220,231.29547279454238
2020-05-01,24262,241.67488203881084
2020-05-02,24894,247.97026269368382
2020-05-03,25699,255.9889041923749
2020-05-04,26225,261.228414041209
2020-05-05,27836,277.27565808393115
2020-05-06,28665,285.53336467078196
2020-05-07,29511,293.9604090284126
2020-05-08,30319,302.0089336631236
2020-05-09,31241,311.1930174665934
2020-05-10,31703,315.7950204136683
2020-05-11,32263,321.3732058040621
2020-05-12,33211,330.81627678637153
2020-05-13,34538,344.0345839525368
2020-05-14,35392,352.5413166728873
2020-05-15,36316,361.7453225670371
2020-05-16,37360,372.1446539019855
2020-05-17,38011,378.6292944183183
2020-05-18,38458,383.0818816852933
2020-05-19,39573,394.18844723938093
2020-05-20,40895,407.35694917884626
2020-05-21,42037,418.7324629571136
