dates,I,confirmed_by_pop
UID,84004013,
iso2,US,
iso3,USA,
code3,840,
FIPS,4013.0,
Admin2,Maricopa,
Province_State,Arizona,
Country_Region,US,
Lat,33.34835867,
Long_,-112.4918154,
Combined_Key,"Maricopa, Arizona, US",
Population,4485414,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,1,0.022294486083112953
2020-01-27,1,0.022294486083112953
2020-01-28,1,0.022294486083112953
2020-01-29,1,0.022294486083112953
2020-01-30,1,0.022294486083112953
2020-01-31,1,0.022294486083112953
2020-02-01,1,0.022294486083112953
2020-02-02,1,0.022294486083112953
2020-02-03,1,0.022294486083112953
2020-02-04,1,0.022294486083112953
2020-02-05,1,0.022294486083112953
2020-02-06,1,0.022294486083112953
2020-02-07,1,0.022294486083112953
2020-02-08,1,0.022294486083112953
2020-02-09,1,0.022294486083112953
2020-02-10,1,0.022294486083112953
2020-02-11,1,0.022294486083112953
2020-02-12,1,0.022294486083112953
2020-02-13,1,0.022294486083112953
2020-02-14,1,0.022294486083112953
2020-02-15,1,0.022294486083112953
2020-02-16,1,0.022294486083112953
2020-02-17,1,0.022294486083112953
2020-02-18,1,0.022294486083112953
2020-02-19,1,0.022294486083112953
2020-02-20,1,0.022294486083112953
2020-02-21,1,0.022294486083112953
2020-02-22,1,0.022294486083112953
2020-02-23,1,0.022294486083112953
2020-02-24,1,0.022294486083112953
2020-02-25,1,0.022294486083112953
2020-02-26,1,0.022294486083112953
2020-02-27,1,0.022294486083112953
2020-02-28,1,0.022294486083112953
2020-02-29,1,0.022294486083112953
2020-03-01,1,0.022294486083112953
2020-03-02,1,0.022294486083112953
2020-03-03,1,0.022294486083112953
2020-03-04,1,0.022294486083112953
2020-03-05,1,0.022294486083112953
2020-03-06,2,0.044588972166225906
2020-03-07,2,0.044588972166225906
2020-03-08,2,0.044588972166225906
2020-03-09,2,0.044588972166225906
2020-03-10,2,0.044588972166225906
2020-03-11,3,0.06688345824933886
2020-03-12,3,0.06688345824933886
2020-03-13,3,0.06688345824933886
2020-03-14,4,0.08917794433245181
2020-03-15,4,0.08917794433245181
2020-03-16,8,0.17835588866490362
2020-03-17,9,0.20065037474801656
2020-03-18,11,0.24523934691424248
2020-03-19,22,0.49047869382848497
2020-03-20,34,0.7580125268258404
2020-03-21,49,1.0924298180725347
2020-03-22,81,1.805853372732149
2020-03-23,139,3.0989335655527004
2020-03-24,199,4.4366027305394775
2020-03-25,251,5.595916006861351
2020-03-26,299,6.666051338850773
2020-03-27,399,8.895499947162069
2020-03-28,454,10.12169668173328
2020-03-29,545,12.150494915296559
2020-03-30,690,15.383195397347937
2020-03-31,788,17.568055033493007
2020-04-01,871,19.418497378391383
2020-04-02,961,21.425001125871546
2020-04-03,1049,23.386915901185485
2020-04-04,1171,26.106843203325266
2020-04-05,1326,29.562488546207774
2020-04-06,1433,31.94799855710086
2020-04-07,1495,33.33025669425386
2020-04-08,1559,34.757103803573095
2020-04-09,1689,37.65538699437778
2020-04-10,1741,38.81470027069965
2020-04-11,1891,42.15887318316659
2020-04-12,1960,43.697192722901384
2020-04-13,2020,45.03486188788816
2020-04-14,2056,45.83746338688023
2020-04-15,2146,47.8439671343604
2020-04-16,2264,50.47471649216772
2020-04-17,2404,53.59594454380354
2020-04-18,2491,55.535564833034364
2020-04-19,2589,57.720424469179434
2020-04-20,2636,58.76826531508574
2020-04-21,2738,61.04230289556326
2020-04-22,2846,63.450107392539465
2020-04-23,2970,66.21462366684547
2020-04-24,3116,69.46961863497997
2020-04-25,3234,72.10036799278728
2020-04-26,3359,74.8871787531764
2020-04-27,3457,77.07203838932148
2020-04-28,3578,79.76967120537815
2020-04-29,3723,83.00237168742952
