dates,I,confirmed_by_pop
UID,84036109,
iso2,US,
iso3,USA,
code3,840,
FIPS,36109.0,
Admin2,Tompkins,
Province_State,New York,
Country_Region,US,
Lat,42.44945765,
Long_,-76.47229843,
Combined_Key,"Tompkins, New York, US",
Population,102180,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,1,0.9786651008025053
2020-03-15,1,0.9786651008025053
2020-03-16,2,1.9573302016050107
2020-03-17,2,1.9573302016050107
2020-03-18,6,5.871990604815032
2020-03-19,6,5.871990604815032
2020-03-20,11,10.765316108827559
2020-03-21,11,10.765316108827559
2020-03-22,15,14.67997651203758
2020-03-23,15,14.67997651203758
2020-03-24,16,15.658641612840086
2020-03-25,18,17.615971814445096
2020-03-26,23,22.509297318457623
2020-03-27,32,31.31728322568017
2020-03-28,48,46.97592483852026
2020-03-29,56,54.8052456449403
2020-03-30,70,68.50655705617538
2020-03-31,73,71.44255235858289
2020-04-01,76,74.3785476609904
2020-04-02,80,78.29320806420043
2020-04-03,87,85.14386376981797
2020-04-04,93,91.015854374633
2020-04-05,95,92.97318457623801
2020-04-06,102,99.82384028185555
2020-04-07,103,100.80250538265805
2020-04-08,105,102.75983558426306
2020-04-09,107,104.71716578586808
2020-04-10,107,104.71716578586808
2020-04-11,108,105.69583088667058
2020-04-12,113,110.58915639068312
2020-04-13,113,110.58915639068312
2020-04-14,113,110.58915639068312
2020-04-15,118,115.48248189469564
2020-04-16,118,115.48248189469564
2020-04-17,119,116.46114699549814
2020-04-18,119,116.46114699549814
2020-04-19,119,116.46114699549814
2020-04-20,119,116.46114699549814
2020-04-21,123,120.37580739870816
2020-04-22,123,120.37580739870816
2020-04-23,119,116.46114699549814
2020-04-24,121,118.41847719710316
2020-04-25,126,123.31180270111568
2020-04-26,126,123.31180270111568
2020-04-27,126,123.31180270111568
2020-04-28,126,123.31180270111568
2020-04-29,127,124.29046780191818
2020-04-30,128,125.26913290272068
2020-05-01,128,125.26913290272068
2020-05-02,128,125.26913290272068
2020-05-03,129,126.2477980035232
2020-05-04,129,126.2477980035232
2020-05-05,129,126.2477980035232
2020-05-06,129,126.2477980035232
2020-05-07,130,127.2264631043257
2020-05-08,131,128.2051282051282
2020-05-09,132,129.18379330593072
2020-05-10,132,129.18379330593072
2020-05-11,132,129.18379330593072
2020-05-12,132,129.18379330593072
2020-05-13,136,133.09845370914073
2020-05-14,136,133.09845370914073
2020-05-15,136,133.09845370914073
2020-05-16,138,135.05578391074573
2020-05-17,139,136.03444901154825
2020-05-18,141,137.99177921315325
2020-05-19,142,138.97044431395577
2020-05-20,145,141.9064396163633
2020-05-21,145,141.9064396163633
2020-05-22,147,143.8637698179683
2020-05-23,149,145.8211000195733
2020-05-24,151,147.77843022117833
2020-05-25,154,150.71442552358582
2020-05-26,154,150.71442552358582
2020-05-27,155,151.69309062438833
2020-05-28,156,152.67175572519085
2020-05-29,157,153.65042082599334
2020-05-30,161,157.56508122920337
2020-05-31,164,160.5010765316109
2020-06-01,164,160.5010765316109
2020-06-02,164,160.5010765316109
2020-06-03,165,161.47974163241338
2020-06-04,165,161.47974163241338
2020-06-05,167,163.4370718340184
2020-06-06,171,167.35173223722842
2020-06-07,171,167.35173223722842
2020-06-08,171,167.35173223722842
2020-06-09,171,167.35173223722842
