dates,I,confirmed_by_pop
UID,84053033,
iso2,US,
iso3,USA,
code3,840,
FIPS,53033.0,
Admin2,King,
Province_State,Washington,
Country_Region,US,
Lat,47.49137892,
Long_,-121.8346131,
Combined_Key,"King, Washington, US",
Population,2252782,
2020-01-22,1,0.044389559220554854
2020-01-23,1,0.044389559220554854
2020-01-24,1,0.044389559220554854
2020-01-25,1,0.044389559220554854
2020-01-26,1,0.044389559220554854
2020-01-27,1,0.044389559220554854
2020-01-28,1,0.044389559220554854
2020-01-29,1,0.044389559220554854
2020-01-30,1,0.044389559220554854
2020-01-31,1,0.044389559220554854
2020-02-01,1,0.044389559220554854
2020-02-02,1,0.044389559220554854
2020-02-03,1,0.044389559220554854
2020-02-04,1,0.044389559220554854
2020-02-05,1,0.044389559220554854
2020-02-06,1,0.044389559220554854
2020-02-07,1,0.044389559220554854
2020-02-08,1,0.044389559220554854
2020-02-09,1,0.044389559220554854
2020-02-10,1,0.044389559220554854
2020-02-11,1,0.044389559220554854
2020-02-12,1,0.044389559220554854
2020-02-13,1,0.044389559220554854
2020-02-14,1,0.044389559220554854
2020-02-15,1,0.044389559220554854
2020-02-16,1,0.044389559220554854
2020-02-17,1,0.044389559220554854
2020-02-18,1,0.044389559220554854
2020-02-19,1,0.044389559220554854
2020-02-20,1,0.044389559220554854
2020-02-21,1,0.044389559220554854
2020-02-22,1,0.044389559220554854
2020-02-23,1,0.044389559220554854
2020-02-24,1,0.044389559220554854
2020-02-25,1,0.044389559220554854
2020-02-26,1,0.044389559220554854
2020-02-27,1,0.044389559220554854
2020-02-28,1,0.044389559220554854
2020-02-29,6,0.2663373553233291
2020-03-01,9,0.39950603298499365
2020-03-02,14,0.6214538290877679
2020-03-03,21,0.9321807436316519
2020-03-04,31,1.3760763358372003
2020-03-05,51,2.2638675202482976
2020-03-06,58,2.574594434792181
2020-03-07,71,3.1516587046593947
2020-03-08,83,3.6843334153060527
2020-03-09,83,3.6843334153060527
2020-03-10,116,5.149188869584362
2020-03-11,190,8.434016251905422
2020-03-12,270,11.98518098954981
2020-03-13,328,14.559775424341991
2020-03-14,387,17.178759418354726
2020-03-15,387,17.178759418354726
2020-03-16,488,21.66210489963077
2020-03-17,569,25.25765919649571
2020-03-18,562,24.946932281951828
2020-03-19,693,30.761964539844513
2020-03-20,793,35.2009204619
2020-03-21,934,41.45984831199823
2020-03-22,1040,46.16514158937704
2020-03-23,1170,51.93578428804918
2020-03-24,1170,51.93578428804918
2020-03-25,1359,60.32541098073404
2020-03-26,1577,70.002334890815
2020-03-27,1577,70.002334890815
2020-03-28,2077,92.19711450109243
2020-03-29,2159,95.83705835717792
2020-03-30,2161,95.92583747561903
2020-03-31,2330,103.4276729838928
2020-04-01,2330,103.4276729838928
2020-04-02,2656,117.89866928979369
2020-04-03,2787,123.71370154768637
2020-04-04,2898,128.64094262116797
2020-04-05,3167,140.58173405149722
2020-04-06,3331,147.8616217636682
2020-04-07,3486,154.7420034428542
2020-04-08,3688,163.7086944054063
2020-04-09,3886,172.49782713107615
2020-04-10,4117,182.75181531102433
2020-04-11,4262,189.18830139800477
2020-04-12,4426,196.46818911017579
2020-04-13,4426,196.46818911017579
2020-04-14,4549,201.92810489430403
2020-04-15,4620,205.0797635989634
2020-04-16,4697,208.49775965894614
2020-04-17,4902,217.59761929915987
2020-04-18,4902,217.59761929915987
2020-04-19,5174,229.6715794071508
2020-04-20,5174,229.6715794071508
2020-04-21,5293,234.95393695439682
2020-04-22,5379,238.77143904736454
2020-04-23,5532,245.56304160810944
2020-04-24,5637,250.2239453262677
2020-04-25,5739,254.7516803667643
2020-04-26,5863,260.2559857101131
2020-04-27,5945,263.8959295661986
2020-04-28,6001,266.38174488254964
2020-04-29,6103,270.90947992304626
2020-04-30,6207,275.525994081984
2020-05-01,6274,278.5000945497611
2020-05-02,6351,281.91809060974384
2020-05-03,6449,286.2682674133582
2020-05-04,6545,290.5296650985315
2020-05-05,6621,293.90327159929365
2020-05-06,6704,297.5876050145997
2020-05-07,6809,302.248508732758
2020-05-08,6863,304.64554493066794
2020-05-09,6947,308.37426790519453
2020-05-10,7007,311.03764145842786
2020-05-11,7068,313.7454045708817
2020-05-12,7137,316.8082841571
2020-05-13,7212,320.13750109864156
2020-05-14,7290,323.59988671784487
2020-05-15,7325,325.1535212905643
2020-05-16,7426,329.63686677184035
2020-05-17,7472,331.67878649598583
2020-05-18,7515,333.5875375424697
2020-05-19,7565,335.80701550349744
2020-05-20,7602,337.44942919465797
2020-05-21,7630,338.69233685283353
