dates,I,confirmed_by_pop
UID,84006087,
iso2,US,
iso3,USA,
code3,840,
FIPS,6087.0,
Admin2,Santa Cruz,
Province_State,California,
Country_Region,US,
Lat,37.05580291,
Long_,-122.0066524,
Combined_Key,"Santa Cruz, California, US",
Population,273213,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,1,0.36601479431798634
2020-03-08,1,0.36601479431798634
2020-03-09,2,0.7320295886359727
2020-03-10,2,0.7320295886359727
2020-03-11,2,0.7320295886359727
2020-03-12,5,1.8300739715899317
2020-03-13,7,2.5621035602259044
2020-03-14,8,2.9281183545438907
2020-03-15,8,2.9281183545438907
2020-03-16,9,3.294133148861877
2020-03-17,10,3.6601479431798634
2020-03-18,11,4.02616273749785
2020-03-19,13,4.758192326133822
2020-03-20,13,4.758192326133822
2020-03-21,17,6.222251503405768
2020-03-22,19,6.95428109204174
2020-03-23,21,7.686310680677713
2020-03-24,22,8.0523254749957
2020-03-25,26,9.516384652267645
2020-03-26,30,10.98044382953959
2020-03-27,31,11.346458623857576
2020-03-28,62,22.69291724771515
