dates,I,confirmed_by_pop
UID,84051179,
iso2,US,
iso3,USA,
code3,840,
FIPS,51179.0,
Admin2,Stafford,
Province_State,Virginia,
Country_Region,US,
Lat,38.41758738,
Long_,-77.45917053,
Combined_Key,"Stafford, Virginia, US",
Population,152882,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,1,0.6540992399366832
2020-03-18,2,1.3081984798733663
2020-03-19,2,1.3081984798733663
2020-03-20,2,1.3081984798733663
2020-03-21,2,1.3081984798733663
2020-03-22,5,3.270496199683416
2020-03-23,6,3.924595439620099
2020-03-24,6,3.924595439620099
2020-03-25,6,3.924595439620099
2020-03-26,11,7.195091639303515
2020-03-27,11,7.195091639303515
2020-03-28,11,7.195091639303515
2020-03-29,11,7.195091639303515
2020-03-30,20,13.081984798733664
2020-03-31,24,15.698381758480396
2020-04-01,28,18.314778718227128
2020-04-02,27,17.660679478290447
2020-04-03,29,18.968877958163812
2020-04-04,38,24.85577111759396
2020-04-05,41,26.81806883740401
2020-04-06,43,28.126267317277378
2020-04-07,49,32.05086275689747
2020-04-08,48,31.396763516960792
2020-04-09,54,35.321358956580895
2020-04-10,60,39.24595439620099
2020-04-11,67,43.824649075757776
2020-04-12,72,47.09514527544119
2020-04-13,87,56.90663387449144
2020-04-14,95,62.1394277939849
2020-04-15,108,70.64271791316179
2020-04-16,120,78.49190879240199
2020-04-17,128,83.72470271189545
2020-04-18,143,93.5361913109457
2020-04-19,152,99.42308447037584
2020-04-20,161,105.309977629806
2020-04-21,164,107.27227534961604
2020-04-22,170,111.19687078923614
2020-04-23,180,117.73786318860297
2020-04-24,193,126.24115330777985
2020-04-25,198,129.51164950746326
2020-04-26,213,139.3231381065135
2020-04-27,218,142.59363430619695
2020-04-28,221,144.55593202600699
2020-04-29,225,147.17232898575372
2020-04-30,240,156.98381758480397
2020-05-01,251,164.17890922410749
2020-05-02,262,171.374000863411
2020-05-03,271,177.26089402284114
2020-05-04,288,188.38058110176476
2020-05-05,308,201.46256590049842
2020-05-06,321,209.9658560196753
2020-05-07,334,218.46914613885218
2020-05-08,344,225.01013853821902
2020-05-09,354,231.55113093758584
2020-05-10,374,244.63311573631952
2020-05-11,384,251.17410813568634
2020-05-12,396,259.0232990149265
2020-05-13,413,270.14298609385014
2020-05-14,426,278.646276213027
2020-05-15,442,289.11186405201397
2020-05-16,458,299.5774518910009
2020-05-17,467,305.46434505043106
2020-05-18,484,316.5840321293547
2020-05-19,501,327.7037192082783
2020-05-20,514,336.2070093274552
2020-05-21,540,353.21358956580895
2020-05-22,552,361.0627804450491
2020-05-23,569,372.1824675239727
2020-05-24,581,380.03165840321293
2020-05-25,599,391.8054447220732
2020-05-26,642,419.9317120393506
2020-05-27,657,429.7432006384009
2020-05-28,672,439.5546892374511
2020-05-29,681,445.44158239688124
2020-05-30,702,459.1776664355516
2020-05-31,713,466.37275807485514
2020-06-01,722,472.2596512342853
2020-06-02,733,479.45474287358877
2020-06-03,738,482.7252390732722
2020-06-04,742,485.3416360330189
2020-06-05,750,490.5744299525124
2020-06-06,765,500.38591855156267
2020-06-07,803,525.2416896691566
2020-06-08,815,533.0908805483969
2020-06-09,824,538.9777737078269
2020-06-10,831,543.5564683873837
2020-06-11,841,550.0974607867506
2020-06-12,862,563.8335448254209
2020-06-13,877,573.6450334244712
2020-06-14,887,580.186025823838
2020-06-15,893,584.1106212634581
2020-06-16,900,588.6893159430149
2020-06-17,906,592.613911382635
2020-06-18,917,599.8090030219385
2020-06-19,921,602.4253999816852
2020-06-20,920,601.7713007417485
2020-06-21,924,604.3876977014953
2020-06-22,930,608.3122931411153
2020-06-23,936,612.2368885807355
2020-06-24,949,620.7401786999123
2020-06-25,954,624.0106748995958
2020-06-26,965,631.2057665388993
2020-06-27,974,637.0926596983294
2020-06-28,983,642.9795528577596
2020-06-29,985,644.2877513376329
2020-06-30,988,646.250049057443
2020-07-01,990,647.5582475373163
2020-07-02,1000,654.0992399366831
2020-07-03,998,652.7910414568098
2020-07-04,1008,659.3320338561766
2020-07-05,1011,661.2943315759867
2020-07-06,1012,661.9484308159234
2020-07-07,1022,668.4894232152902
2020-07-08,1029,673.068117894847
2020-07-09,1038,678.9550110542772
2020-07-10,1048,685.496003453644
2020-07-11,1056,690.7287973731375
2020-07-12,1060,693.3451943328841
2020-07-13,1065,696.6156905325676
2020-07-14,1075,703.1566829319345
2020-07-15,1085,709.6976753313013
2020-07-16,1096,716.8927669706047
2020-07-17,1101,720.1632631702882
2020-07-18,1112,727.3583548095917
2020-07-19,1119,731.9370494891485
2020-07-20,1128,737.8239426485786
2020-07-21,1140,745.6731335278189
2020-07-22,1151,752.8682251671223
2020-07-23,1163,760.7174160463626
2020-07-24,1169,764.6420114859826
2020-07-25,1176,769.2207061655395
2020-07-26,1185,775.1075993249696
2020-07-27,1202,786.2272864038932
2020-07-28,1214,794.0764772831334
2020-07-29,1227,802.5797674023103
2020-07-30,1237,809.1207598016771
2020-07-31,1243,813.0453552412972
2020-08-01,1258,822.8568438403474
2020-08-02,1266,828.0896377598409
2020-08-03,1283,839.2093248387646
2020-08-04,1294,846.404416478068
2020-08-05,1300,850.3290119176881
2020-08-06,1316,860.7945997566751
2020-08-07,1350,883.0339739145223
2020-08-08,1366,893.4995617535093
2020-08-09,1374,898.7323556730028
2020-08-10,1385,905.9274473123062
2020-08-11,1405,919.0094321110399
2020-08-12,1424,931.4373176698368
2020-08-13,1446,945.8275009484439
2020-08-14,1460,954.9848903075574
2020-08-15,1480,968.0668751062911
2020-08-16,1496,978.5324629452781
2020-08-17,1506,985.0734553446449
2020-08-18,1534,1003.388234062872
2020-08-19,1543,1009.2751272223022
2020-08-20,1556,1017.7784173414791
2020-08-21,1570,1026.9358067005926
2020-08-22,1579,1032.8226998600228
2020-08-23,1589,1039.3636922593896
2020-08-24,1602,1047.8669823785665
2020-08-25,1612,1054.4079747779333
2020-08-26,1625,1062.9112648971102
2020-08-27,1639,1072.0686542562237
2020-08-28,1660,1085.8047382948942
2020-08-29,1681,1099.5408223335644
2020-08-30,1691,1106.0818147329312
2020-08-31,1704,1114.585104852108
2020-09-01,1717,1123.088394971285
2020-09-02,1729,1130.9375858505252
2020-09-03,1737,1136.1703797700186
2020-09-04,1752,1145.981868369069
2020-09-05,1762,1152.5228607684357
2020-09-06,1769,1157.1015554479925
2020-09-07,1779,1163.6425478473593
2020-09-08,1784,1166.9130440470428
2020-09-09,1799,1176.7245326460932
2020-09-10,1813,1185.8819220052067
2020-09-11,1831,1197.6557083240668
2020-09-12,1846,1207.4671969231172
2020-09-13,1858,1215.3163878023574
2020-09-14,1869,1222.5114794416609
2020-09-15,1872,1224.473777161471
2020-09-16,1880,1229.7065710809643
2020-09-17,1904,1245.4049528394448
2020-09-18,1915,1252.6000444787483
2020-09-19,1934,1265.0279300375453
2020-09-20,1941,1269.606624717102
2020-09-21,1951,1276.1476171164688
2020-09-22,1963,1283.996807995709
2020-09-23,1971,1289.2296019152025
2020-09-24,1984,1297.7328920343793
2020-09-25,1998,1306.890281393493
2020-09-26,2005,1311.4689760730498
2020-09-27,2012,1316.0476707526066
2020-09-28,2018,1319.9722661922267
2020-09-29,2024,1323.8968616318468
2020-09-30,2028,1326.5132585915935
2020-10-01,2039,1333.708350230897
2020-10-02,2054,1343.5198388299473
2020-10-03,2058,1346.136235789694
2020-10-04,2065,1350.7149304692507
2020-10-05,2072,1355.2936251488077
2020-10-06,2081,1361.1805183082377
2020-10-07,2082,1361.8346175481745
2020-10-08,2108,1378.8411977865283
2020-10-09,2121,1387.3444879057051
2020-10-10,2138,1398.4641749846287
2020-10-11,2155,1409.5838620635523
2020-10-12,2162,1414.162556743109
2020-10-13,2174,1422.0117476223493
2020-10-14,2187,1430.5150377415262
2020-10-15,2230,1458.6413050588035
2020-10-16,2247,1469.760992137727
2020-10-17,2255,1474.9937860572206
2020-10-18,2260,1478.264282256904
2020-10-19,2267,1482.842976936461
2020-10-20,2279,1490.692167815701
2020-10-21,2287,1495.9249617351945
2020-10-22,2307,1509.0069465339282
