dates,I,confirmed_by_pop
UID,84015007,
iso2,US,
iso3,USA,
code3,840,
FIPS,15007.0,
Admin2,Kauai,
Province_State,Hawaii,
Country_Region,US,
Lat,22.03935037,
Long_,-159.5966786,
Combined_Key,"Kauai, Hawaii, US",
Population,72293,
1/22/20,0,
1/23/20,0,
1/24/20,0,
1/25/20,0,
1/26/20,0,
1/27/20,0,
1/28/20,0,
1/29/20,0,
1/30/20,0,
1/31/20,0,
02/01/2020,0,
02/02/2020,0,
02/03/2020,0,
02/04/2020,0,
02/05/2020,0,
02/06/2020,0,
02/07/2020,0,
02/08/2020,0,
02/09/2020,0,
02/10/2020,0,
02/11/2020,0,
02/12/2020,0,
2/13/20,0,
2/14/20,0,
2/15/20,0,
2/16/20,0,
2/17/20,0,
2/18/20,0,
2/19/20,0,
2/20/20,0,
2/21/20,0,
2/22/20,0,
2/23/20,0,
2/24/20,0,
2/25/20,0,
2/26/20,0,
2/27/20,0,
2/28/20,0,
2/29/20,0,
03/01/2020,0,
03/02/2020,0,
03/03/2020,0,
03/04/2020,0,
03/05/2020,0,
03/06/2020,0,
03/07/2020,0,
03/08/2020,0,
03/09/2020,0,
03/10/2020,0,
03/11/2020,0,
03/12/2020,0,
3/13/20,0,
3/14/20,2,
3/15/20,2,
3/16/20,2,
3/17/20,2,
3/18/20,2,
3/19/20,2,
3/20/20,3,
3/21/20,3,
3/22/20,3,
3/23/20,3,
3/24/20,1,
3/25/20,1,
3/26/20,2,
3/27/20,5,
3/28/20,11,
3/29/20,11,
3/30/20,12,
3/31/20,12,
04/01/2020,12,
04/02/2020,12,
04/03/2020,13,
04/04/2020,15,
04/05/2020,16,
04/06/2020,17,
04/07/2020,18,
04/08/2020,18,
04/09/2020,18,
04/10/2020,18,
04/11/2020,19,
04/12/2020,21,
4/13/20,21,
4/14/20,21,
4/15/20,21,
4/16/20,21,
4/17/20,21,
4/18/20,21,
4/19/20,21,
4/20/20,21,
4/21/20,21,
4/22/20,21,
4/23/20,21,
4/24/20,21,
4/25/20,21,
4/26/20,21,
4/27/20,21,
4/28/20,21,
4/29/20,21,
4/30/20,21,
05/01/2020,21,
05/02/2020,21,
05/03/2020,21,
05/04/2020,21,
05/05/2020,21,
05/06/2020,21,
05/07/2020,21,
05/08/2020,21,
05/09/2020,21,
05/10/2020,21,
05/11/2020,21,
05/12/2020,21,
5/13/20,21,
5/14/20,21,
5/15/20,21,
5/16/20,21,
5/17/20,21,
5/18/20,21,
5/19/20,21,
5/20/20,21,
5/21/20,21,
5/22/20,20,
5/23/20,20,
5/24/20,20,
5/25/20,20,
5/26/20,20,
5/27/20,20,
5/28/20,20,
5/29/20,20,
5/30/20,20,
5/31/20,20,
06/01/2020,20,
06/02/2020,20,
06/03/2020,20,
06/04/2020,20,
06/05/2020,21,
06/06/2020,21,
06/07/2020,21,
06/08/2020,21,
06/09/2020,21,
06/10/2020,21,
06/11/2020,21,
06/12/2020,21,
6/13/20,21,
6/14/20,21,
6/15/20,21,
6/16/20,21,
6/17/20,21,
6/18/20,21,
6/19/20,22,
6/20/20,22,
6/21/20,29,
6/22/20,29,
6/23/20,29,
6/24/20,29,
6/25/20,34,
6/26/20,34,
6/27/20,35,
6/28/20,37,
6/29/20,37,
6/30/20,38,
07/01/2020,38,
07/02/2020,38,
07/03/2020,38,
07/04/2020,40,
07/05/2020,40,
07/06/2020,40,
07/07/2020,42,
07/08/2020,42,
07/09/2020,43,
07/10/2020,43,
07/11/2020,43,
07/12/2020,43,
7/13/20,43,
7/14/20,43,
7/15/20,43,
7/16/20,43,
7/17/20,43,
7/18/20,43,
7/19/20,43,
7/20/20,43,
7/21/20,43,
7/22/20,43,
7/23/20,43,
7/24/20,43,
7/25/20,43,
7/26/20,45,
7/27/20,45,
7/28/20,45,
7/29/20,47,
7/30/20,47,
7/31/20,47,
08/01/2020,47,
08/02/2020,47,
08/03/2020,47,
08/04/2020,47,
08/05/2020,47,
08/06/2020,47,
08/07/2020,47,
08/08/2020,47,
08/09/2020,48,
08/10/2020,49,
08/11/2020,49,
08/12/2020,51,
8/13/20,52,
8/14/20,53,
8/15/20,54,
8/16/20,54,
8/17/20,54,
8/18/20,54,
8/19/20,54,
8/20/20,54,
8/21/20,56,
8/22/20,56,
8/23/20,56,
8/24/20,56,
8/25/20,56,
8/26/20,56,
8/27/20,56,
8/28/20,56,
8/29/20,57,
8/30/20,57,
8/31/20,57,
09/01/2020,57,
09/02/2020,57,
09/03/2020,57,
09/04/2020,57,
09/05/2020,57,
09/06/2020,58,
09/07/2020,58,
09/08/2020,58,
09/09/2020,58,
09/10/2020,58,
09/11/2020,58,
09/12/2020,58,
9/13/20,58,
9/14/20,58,
9/15/20,58,
9/16/20,58,
9/17/20,58,
9/18/20,57,
9/19/20,57,
9/20/20,57,
9/21/20,57,
9/22/20,57,
9/23/20,57,
9/24/20,57,
9/25/20,58,
9/26/20,59,
9/27/20,59,
9/28/20,59,
9/29/20,59,
9/30/20,59,
10/01/2020,59,
10/02/2020,59,
10/03/2020,59,
10/04/2020,59,
10/05/2020,59,
10/06/2020,59,
10/07/2020,59,
10/08/2020,59,
10/09/2020,59,
10/10/2020,59,
10/11/2020,59,
10/12/2020,59,
10/13/20,59,
10/14/20,59,
10/15/20,59,
10/16/20,59,
10/17/20,60,
10/18/20,61,
10/19/20,60,
10/20/20,60,
10/21/20,60,
10/22/20,60,
10/23/20,60,
10/24/20,60,
10/25/20,61,
10/26/20,62,
10/27/20,62,
10/28/20,63,
10/29/20,64,
10/30/20,64,
10/31/20,64,
11/01/2020,65,
11/02/2020,66,
11/03/2020,67,
11/04/2020,67,
11/05/2020,68,
11/06/2020,70,
11/07/2020,72,
11/08/2020,72,
11/09/2020,74,
11/10/2020,72,
11/11/2020,75,
11/12/2020,76,
11/13/20,78,
11/14/20,81,
11/15/20,81,
11/16/20,83,
11/17/20,83,
11/18/20,83,
11/19/20,87,
11/20/20,88,
11/21/20,92,
11/22/20,98,
11/23/20,101,
11/24/20,102,
11/25/20,103,
11/26/20,106,
11/27/20,111,
11/28/20,112,
11/29/20,113,
11/30/20,114,
12/01/2020,114,
12/02/2020,115,
12/03/2020,117,
12/04/2020,120,
12/05/2020,120,
12/06/2020,120,
12/07/2020,121,
12/08/2020,121,
12/09/2020,122,
12/10/2020,124,
12/11/2020,126,
12/12/2020,131,
12/13/20,135,
12/14/20,135,
12/15/20,135,
12/16/20,135,
12/17/20,136,
12/18/20,137,
12/19/20,138,
12/20/20,138,
12/21/20,139,
12/22/20,139,
12/23/20,139,
12/24/20,140,
12/25/20,140,
12/26/20,143,
12/27/20,144,
12/28/20,145,
12/29/20,145,
12/30/20,146,
12/31/20,146,
01/01/2021,147,
01/02/2021,149,
01/03/2021,151,
01/04/2021,151,
01/05/2021,151,
01/06/2021,154,
01/07/2021,155,
01/08/2021,158,
01/09/2021,158,
01/10/2021,167,
01/11/2021,168,
01/12/2021,168,
1/13/21,170,
1/14/21,171,
1/15/21,172,
1/16/21,173,
1/17/21,174,
1/18/21,176,
1/19/21,176,
1/20/21,177,
1/21/21,177,
1/22/21,178,
1/23/21,178,
1/24/21,178,
1/25/21,179,
1/26/21,179,
1/27/21,179,
1/28/21,179,
1/29/21,180,
1/30/21,180,
1/31/21,180,
02/01/2021,181,
02/02/2021,181,
02/03/2021,181,
02/04/2021,180,
02/05/2021,180,
02/06/2021,181,
02/07/2021,181,
02/08/2021,181,
02/09/2021,181,
02/10/2021,181,
02/11/2021,181,
02/12/2021,181,
2/13/21,181,
2/14/21,181,
2/15/21,181,
2/16/21,181,
2/17/21,181,
2/18/21,182,
2/19/21,182,
2/20/21,182,
2/21/21,182,
2/22/21,183,
2/23/21,183,
2/24/21,184,
2/25/21,184,
2/26/21,185,
2/27/21,185,
2/28/21,185,
03/01/2021,185,
03/02/2021,184,
03/03/2021,185,
03/04/2021,186,
03/05/2021,186,
03/06/2021,186,
03/07/2021,188,
03/08/2021,188,
03/09/2021,188,
03/10/2021,188,
03/11/2021,188,
03/12/2021,188,
3/13/21,188,
3/14/21,188,
3/15/21,188,
3/16/21,189,
3/17/21,189,
3/18/21,188,
3/19/21,188,
3/20/21,188,
3/21/21,188,
3/22/21,189,
3/23/21,189,
3/24/21,190,
3/25/21,190,
3/26/21,191,
3/27/21,192,
3/28/21,192,
3/29/21,192,
3/30/21,193,
3/31/21,194,
04/01/2021,194,
04/02/2021,198,
04/03/2021,199,
04/04/2021,199,
04/05/2021,199,
04/06/2021,199,
04/07/2021,201,
04/08/2021,202,
04/09/2021,202,
04/10/2021,202,
04/11/2021,202,
04/12/2021,202,
4/13/21,202,
4/14/21,202,
4/15/21,202,
4/16/21,202,
4/17/21,203,
4/18/21,203,
4/19/21,203,
4/20/21,203,
4/21/21,206,
4/22/21,208,
4/23/21,207,
4/24/21,209,
4/25/21,212,
4/26/21,226,
4/27/21,225,
4/28/21,227,
4/29/21,233,
4/30/21,245,
05/01/2021,262,
05/02/2021,271,
05/03/2021,278,
05/04/2021,279,
05/05/2021,285,
05/06/2021,289,
05/07/2021,289,
05/08/2021,299,
05/09/2021,299,
05/10/2021,305,
05/11/2021,306,
05/12/2021,306,
5/13/21,306,
5/14/21,308,
5/15/21,309,
5/16/21,309,
5/17/21,309,
5/18/21,312,
5/19/21,313,
5/20/21,313,
5/21/21,316,
5/22/21,316,
5/23/21,317,
5/24/21,317,
5/25/21,318,
5/26/21,318,
5/27/21,318,
5/28/21,318,
5/29/21,318,
5/30/21,320,
5/31/21,321,
06/01/2021,324,
06/02/2021,323,
06/03/2021,324,
06/04/2021,324,
06/05/2021,325,
06/06/2021,325,
06/07/2021,324,
06/08/2021,325,
06/09/2021,325,
06/10/2021,327,
06/11/2021,327,
06/12/2021,328,
6/13/21,328,
6/14/21,335,
6/15/21,338,
6/16/21,339,
6/17/21,343,
6/18/21,344,
6/19/21,346,
6/20/21,348,
6/21/21,347,
6/22/21,348,
6/23/21,349,
6/24/21,356,
6/25/21,358,
6/26/21,358,
6/27/21,361,
6/28/21,361,
6/29/21,361,
6/30/21,361,
07/01/2021,368,
07/02/2021,377,
07/03/2021,388,
07/04/2021,392,
07/05/2021,393,
07/06/2021,394,
07/07/2021,394,
07/08/2021,400,
07/09/2021,407,
07/10/2021,409,
07/11/2021,417,
07/12/2021,424,
7/13/21,428,
7/14/21,430,
7/15/21,444,
7/16/21,453,
7/17/21,465,
7/18/21,471,
7/19/21,475,
7/20/21,476,
7/21/21,480,
7/22/21,488,
7/23/21,500,
7/24/21,508,
7/25/21,514,
7/26/21,515,
7/27/21,519,
7/28/21,522,
7/29/21,531,
7/30/21,539,
7/31/21,548,
08/01/2021,554,
08/02/2021,568,
08/03/2021,574,
08/04/2021,579,
08/05/2021,586,
08/06/2021,595,
08/07/2021,612,
08/08/2021,634,
08/09/2021,650,
08/10/2021,665,
08/11/2021,682,
08/12/2021,732,
8/13/21,778,
8/14/21,793,
8/15/21,839,
8/16/21,853,
8/17/21,868,
8/18/21,894,
8/19/21,919,
8/20/21,945,
8/21/21,971,
8/22/21,1008,
8/23/21,1031,
8/24/21,1048,
8/25/21,1087,
8/26/21,1119,
8/27/21,1157,
8/28/21,1188,
8/29/21,1243,
8/30/21,1277,
8/31/21,1290,
09/01/2021,1327,
09/02/2021,1366,
09/03/2021,1408,
09/04/2021,1447,
09/05/2021,1476,
09/06/2021,1541,
09/07/2021,1586,
09/08/2021,1605,
09/09/2021,1638,
09/10/2021,1681,
09/11/2021,1713,
09/12/2021,1769,
9/13/21,1796,
9/14/21,1810,
9/15/21,1829,
9/16/21,1867,
9/17/21,1906,
9/18/21,1952,
9/19/21,1997,
9/20/21,2029,
9/21/21,2045,
9/22/21,2074,
9/23/21,2104,
9/24/21,2131,
9/25/21,2150,
9/26/21,2182,
9/27/21,2215,
9/28/21,2223,
9/29/21,2236,
9/30/21,2255,
10/01/2021,2268,
10/02/2021,2284,
10/03/2021,2313,
10/04/2021,2327,
10/05/2021,2334,
10/06/2021,2345,
10/07/2021,2373,
10/08/2021,2380,
10/09/2021,2389,
10/10/2021,2417,
10/11/2021,2427,
10/12/2021,2431,
10/13/21,2436,
10/14/21,2444,
10/15/21,2455,
10/16/21,2465,
10/17/21,2476,
10/18/21,2489,
10/19/21,2491,
10/20/21,2501,
10/21/21,2508,
10/22/21,2514,
10/23/21,2523,
10/24/21,2535,
10/25/21,2542,
10/26/21,2554,
10/27/21,2586,
10/28/21,2595,
10/29/21,2614,
10/30/21,2634,
10/31/21,2648,
11/01/2021,2657,
11/02/2021,2666,
11/03/2021,2691,
11/04/2021,2698,
11/05/2021,2708,
11/06/2021,2716,
11/07/2021,2743,
11/08/2021,2776,
11/09/2021,2792,
11/10/2021,2809,
11/11/2021,2839,
11/12/2021,2860,
11/13/21,2873,
11/14/21,2879,
11/15/21,2898,
11/16/21,2902,
11/17/21,2915,
11/18/21,2936,
11/19/21,2955,
11/20/21,2974,
11/21/21,2985,
11/22/21,2997,
