dates,I,deaths_by_pop
UID,84005007,
iso2,US,
iso3,USA,
code3,840,
FIPS,5007.0,
Admin2,Benton,
Province_State,Arkansas,
Country_Region,US,
Lat,36.33644656,
Long_,-94.25680817,
Combined_Key,"Benton, Arkansas, US",
Population,279141,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,0,0.0
2020-04-04,0,0.0
2020-04-05,0,0.0
2020-04-06,0,0.0
2020-04-07,0,0.0
2020-04-08,0,0.0
2020-04-09,0,0.0
2020-04-10,0,0.0
2020-04-11,0,0.0
2020-04-12,0,0.0
2020-04-13,0,0.0
2020-04-14,0,0.0
2020-04-15,0,0.0
2020-04-16,0,0.0
2020-04-17,0,0.0
2020-04-18,0,0.0
2020-04-19,0,0.0
2020-04-20,0,0.0
2020-04-21,0,0.0
2020-04-22,0,0.0
2020-04-23,0,0.0
2020-04-24,0,0.0
2020-04-25,0,0.0
2020-04-26,0,0.0
2020-04-27,0,0.0
2020-04-28,0,0.0
2020-04-29,0,0.0
2020-04-30,0,0.0
2020-05-01,0,0.0
2020-05-02,0,0.0
2020-05-03,0,0.0
2020-05-04,0,0.0
2020-05-05,0,0.0
2020-05-06,0,0.0
2020-05-07,0,0.0
2020-05-08,0,0.0
2020-05-09,0,0.0
2020-05-10,0,0.0
2020-05-11,0,0.0
2020-05-12,0,0.0
2020-05-13,0,0.0
2020-05-14,0,0.0
2020-05-15,0,0.0
2020-05-16,0,0.0
2020-05-17,0,0.0
2020-05-18,0,0.0
2020-05-19,0,0.0
2020-05-20,0,0.0
2020-05-21,0,0.0
2020-05-22,0,0.0
2020-05-23,0,0.0
2020-05-24,0,0.0
2020-05-25,0,0.0
2020-05-26,0,0.0
2020-05-27,0,0.0
2020-05-28,0,0.0
2020-05-29,1,0.35824189209037727
2020-05-30,2,0.7164837841807545
2020-05-31,2,0.7164837841807545
2020-06-01,2,0.7164837841807545
2020-06-02,2,0.7164837841807545
2020-06-03,3,1.0747256762711317
2020-06-04,3,1.0747256762711317
2020-06-05,3,1.0747256762711317
2020-06-06,3,1.0747256762711317
2020-06-07,3,1.0747256762711317
2020-06-08,4,1.432967568361509
2020-06-09,5,1.7912094604518862
2020-06-10,5,1.7912094604518862
2020-06-11,5,1.7912094604518862
2020-06-12,6,2.1494513525422634
2020-06-13,7,2.507693244632641
2020-06-14,7,2.507693244632641
2020-06-15,8,2.865935136723018
2020-06-16,8,2.865935136723018
2020-06-17,9,3.2241770288133953
2020-06-18,11,3.94066081299415
2020-06-19,11,3.94066081299415
2020-06-20,13,4.657144597174905
2020-06-21,13,4.657144597174905
2020-06-22,13,4.657144597174905
2020-06-23,14,5.015386489265282
2020-06-24,14,5.015386489265282
2020-06-25,14,5.015386489265282
2020-06-26,15,5.373628381355659
2020-06-27,18,6.448354057626791
2020-06-28,18,6.448354057626791
2020-06-29,18,6.448354057626791
2020-06-30,18,6.448354057626791
2020-07-01,19,6.806595949717168
2020-07-02,20,7.164837841807545
2020-07-03,20,7.164837841807545
2020-07-04,20,7.164837841807545
2020-07-05,20,7.164837841807545
2020-07-06,20,7.164837841807545
2020-07-07,21,7.523079733897923
2020-07-08,21,7.523079733897923
2020-07-09,22,7.8813216259883
2020-07-10,22,7.8813216259883
2020-07-11,22,7.8813216259883
2020-07-12,22,7.8813216259883
2020-07-13,22,7.8813216259883
2020-07-14,23,8.239563518078677
2020-07-15,23,8.239563518078677
2020-07-16,23,8.239563518078677
2020-07-17,24,8.597805410169054
2020-07-18,25,8.956047302259432
2020-07-19,25,8.956047302259432
2020-07-20,27,9.672531086440186
2020-07-21,28,10.030772978530564
2020-07-22,29,10.38901487062094
2020-07-23,30,10.747256762711318
2020-07-24,31,11.105498654801695
2020-07-25,31,11.105498654801695
2020-07-26,32,11.463740546892073
2020-07-27,35,12.538466223163205
2020-07-28,35,12.538466223163205
2020-07-29,35,12.538466223163205
2020-07-30,35,12.538466223163205
2020-07-31,38,13.613191899434335
2020-08-01,39,13.971433791524714
2020-08-02,39,13.971433791524714
2020-08-03,39,13.971433791524714
2020-08-04,40,14.32967568361509
2020-08-05,40,14.32967568361509
2020-08-06,40,14.32967568361509
2020-08-07,41,14.687917575705468
2020-08-08,43,15.404401359886222
2020-08-09,43,15.404401359886222
2020-08-10,43,15.404401359886222
2020-08-11,43,15.404401359886222
2020-08-12,43,15.404401359886222
2020-08-13,43,15.404401359886222
2020-08-14,43,15.404401359886222
2020-08-15,43,15.404401359886222
2020-08-16,43,15.404401359886222
2020-08-17,43,15.404401359886222
2020-08-18,43,15.404401359886222
2020-08-19,43,15.404401359886222
2020-08-20,43,15.404401359886222
2020-08-21,44,15.7626432519766
2020-08-22,45,16.12088514406698
2020-08-23,45,16.12088514406698
2020-08-24,45,16.12088514406698
2020-08-25,45,16.12088514406698
2020-08-26,47,16.83736892824773
2020-08-27,47,16.83736892824773
2020-08-28,48,17.195610820338107
2020-08-29,50,17.912094604518863
2020-08-30,51,18.27033649660924
2020-08-31,52,18.62857838869962
2020-09-01,54,19.34506217288037
2020-09-02,57,20.419787849151504
2020-09-03,58,20.77802974124188
2020-09-04,58,20.77802974124188
2020-09-05,59,21.13627163333226
2020-09-06,59,21.13627163333226
2020-09-07,59,21.13627163333226
2020-09-08,60,21.494513525422636
2020-09-09,60,21.494513525422636
2020-09-10,60,21.494513525422636
2020-09-11,61,21.852755417513013
2020-09-12,61,21.852755417513013
2020-09-13,62,22.21099730960339
2020-09-14,62,22.21099730960339
2020-09-15,79,28.301109475139803
2020-09-16,79,28.301109475139803
2020-09-17,79,28.301109475139803
2020-09-18,79,28.301109475139803
2020-09-19,79,28.301109475139803
2020-09-20,79,28.301109475139803
2020-09-21,80,28.65935136723018
2020-09-22,82,29.375835151410936
2020-09-23,82,29.375835151410936
2020-09-24,84,30.092318935591692
2020-09-25,84,30.092318935591692
2020-09-26,86,30.808802719772444
2020-09-27,86,30.808802719772444
2020-09-28,87,31.16704461186282
2020-09-29,92,32.95825407231471
2020-09-30,93,33.316495964405085
2020-10-01,93,33.316495964405085
2020-10-02,93,33.316495964405085
2020-10-03,93,33.316495964405085
2020-10-04,95,34.03297974858584
2020-10-05,95,34.03297974858584
2020-10-06,97,34.7494635327666
2020-10-07,98,35.107705424856974
2020-10-08,98,35.107705424856974
2020-10-09,98,35.107705424856974
2020-10-10,102,36.54067299321848
2020-10-11,103,36.898914885308855
2020-10-12,102,36.54067299321848
2020-10-13,102,36.54067299321848
2020-10-14,102,36.54067299321848
2020-10-15,102,36.54067299321848
2020-10-16,102,36.54067299321848
2020-10-17,103,36.898914885308855
2020-10-18,110,39.406608129941496
