dates,I,deaths_by_pop
UID,84017031,
iso2,US,
iso3,USA,
code3,840,
FIPS,17031.0,
Admin2,Cook,
Province_State,Illinois,
Country_Region,US,
Lat,41.84144849,
Long_,-87.81658794,
Combined_Key,"Cook, Illinois, US",
Population,5150233,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,1,0.01941659726851193
2020-03-18,1,0.01941659726851193
2020-03-19,2,0.03883319453702386
2020-03-20,2,0.03883319453702386
2020-03-21,3,0.058249791805535786
2020-03-22,4,0.07766638907404771
2020-03-23,9,0.17474937541660737
2020-03-24,9,0.17474937541660737
2020-03-25,14,0.27183236175916703
2020-03-26,18,0.34949875083321474
2020-03-27,20,0.3883319453702386
2020-03-28,28,0.5436647235183341
2020-03-29,40,0.7766638907404771
2020-03-30,44,0.8543302798145249
2020-03-31,61,1.1844124333792276
2020-04-01,95,1.8445767405086333
2020-04-02,107,2.0775759077307763
2020-04-03,141,2.737740214860182
2020-04-04,167,3.2425717438414923
2020-04-05,186,3.6114870919432187
2020-04-06,209,4.0580688291189935
2020-04-07,249,4.8347327198594705
2020-04-08,310,6.019145153238698
2020-04-09,352,6.834642238516199
2020-04-10,399,7.74722231013626
2020-04-11,455,8.834551757172928
2020-04-12,485,9.417049675228286
2020-04-13,543,10.543212316801977
2020-04-14,577,11.203376623931383
2020-04-15,630,12.232456279162516
2020-04-16,722,14.018783227865613
2020-04-17,760,14.756613924069066
