dates,I,deaths_by_pop
UID,84039041,
iso2,US,
iso3,USA,
code3,840,
FIPS,39041.0,
Admin2,Delaware,
Province_State,Ohio,
Country_Region,US,
Lat,40.27942393,
Long_,-83.00457058,
Combined_Key,"Delaware, Ohio, US",
Population,209177,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,1,0.4780640318964322
2020-03-30,1,0.4780640318964322
2020-03-31,1,0.4780640318964322
2020-04-01,1,0.4780640318964322
2020-04-02,1,0.4780640318964322
2020-04-03,1,0.4780640318964322
2020-04-04,1,0.4780640318964322
2020-04-05,1,0.4780640318964322
2020-04-06,1,0.4780640318964322
2020-04-07,2,0.9561280637928644
2020-04-08,2,0.9561280637928644
2020-04-09,2,0.9561280637928644
2020-04-10,2,0.9561280637928644
2020-04-11,2,0.9561280637928644
2020-04-12,2,0.9561280637928644
2020-04-13,2,0.9561280637928644
2020-04-14,2,0.9561280637928644
2020-04-15,2,0.9561280637928644
2020-04-16,2,0.9561280637928644
2020-04-17,2,0.9561280637928644
2020-04-18,2,0.9561280637928644
2020-04-19,2,0.9561280637928644
2020-04-20,2,0.9561280637928644
2020-04-21,2,0.9561280637928644
2020-04-22,2,0.9561280637928644
2020-04-23,2,0.9561280637928644
2020-04-24,2,0.9561280637928644
2020-04-25,3,1.4341920956892966
2020-04-26,3,1.4341920956892966
2020-04-27,3,1.4341920956892966
2020-04-28,3,1.4341920956892966
2020-04-29,5,2.3903201594821613
2020-04-30,5,2.3903201594821613
2020-05-01,5,2.3903201594821613
2020-05-02,5,2.3903201594821613
2020-05-03,5,2.3903201594821613
2020-05-04,5,2.3903201594821613
2020-05-05,5,2.3903201594821613
2020-05-06,5,2.3903201594821613
2020-05-07,6,2.8683841913785932
2020-05-08,7,3.3464482232750257
2020-05-09,8,3.8245122551714577
2020-05-10,8,3.8245122551714577
2020-05-11,8,3.8245122551714577
2020-05-12,8,3.8245122551714577
2020-05-13,8,3.8245122551714577
2020-05-14,8,3.8245122551714577
2020-05-15,8,3.8245122551714577
2020-05-16,8,3.8245122551714577
2020-05-17,9,4.30257628706789
2020-05-18,10,4.7806403189643225
2020-05-19,10,4.7806403189643225
2020-05-20,10,4.7806403189643225
2020-05-21,10,4.7806403189643225
2020-05-22,11,5.2587043508607545
2020-05-23,12,5.7367683827571865
2020-05-24,12,5.7367683827571865
2020-05-25,12,5.7367683827571865
2020-05-26,12,5.7367683827571865
2020-05-27,12,5.7367683827571865
2020-05-28,12,5.7367683827571865
2020-05-29,12,5.7367683827571865
2020-05-30,13,6.2148324146536185
2020-05-31,13,6.2148324146536185
2020-06-01,13,6.2148324146536185
2020-06-02,14,6.692896446550051
2020-06-03,14,6.692896446550051
2020-06-04,14,6.692896446550051
2020-06-05,14,6.692896446550051
2020-06-06,14,6.692896446550051
2020-06-07,14,6.692896446550051
2020-06-08,14,6.692896446550051
2020-06-09,14,6.692896446550051
2020-06-10,14,6.692896446550051
2020-06-11,14,6.692896446550051
2020-06-12,14,6.692896446550051
2020-06-13,14,6.692896446550051
2020-06-14,14,6.692896446550051
2020-06-15,14,6.692896446550051
2020-06-16,14,6.692896446550051
2020-06-17,14,6.692896446550051
2020-06-18,14,6.692896446550051
2020-06-19,14,6.692896446550051
2020-06-20,14,6.692896446550051
2020-06-21,14,6.692896446550051
2020-06-22,14,6.692896446550051
2020-06-23,14,6.692896446550051
