dates,I,deaths_by_pop
UID,84048215,
iso2,US,
iso3,USA,
code3,840,
FIPS,48215.0,
Admin2,Hidalgo,
Province_State,Texas,
Country_Region,US,
Lat,26.39418217,
Long_,-98.18299696,
Combined_Key,"Hidalgo, Texas, US",
Population,868707,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,0,0.0
2020-04-04,0,0.0
2020-04-05,0,0.0
2020-04-06,0,0.0
2020-04-07,0,0.0
2020-04-08,1,0.11511361137875026
2020-04-09,1,0.11511361137875026
2020-04-10,1,0.11511361137875026
2020-04-11,1,0.11511361137875026
2020-04-12,1,0.11511361137875026
2020-04-13,1,0.11511361137875026
2020-04-14,1,0.11511361137875026
2020-04-15,1,0.11511361137875026
2020-04-16,2,0.23022722275750052
2020-04-17,3,0.3453408341362508
2020-04-18,3,0.3453408341362508
2020-04-19,3,0.3453408341362508
2020-04-20,3,0.3453408341362508
2020-04-21,3,0.3453408341362508
2020-04-22,3,0.3453408341362508
2020-04-23,4,0.46045444551500103
2020-04-24,4,0.46045444551500103
2020-04-25,4,0.46045444551500103
2020-04-26,4,0.46045444551500103
2020-04-27,4,0.46045444551500103
2020-04-28,5,0.5755680568937512
2020-04-29,6,0.6906816682725015
2020-04-30,6,0.6906816682725015
2020-05-01,6,0.6906816682725015
2020-05-02,6,0.6906816682725015
2020-05-03,6,0.6906816682725015
2020-05-04,6,0.6906816682725015
2020-05-05,7,0.8057952796512518
2020-05-06,7,0.8057952796512518
2020-05-07,7,0.8057952796512518
2020-05-08,7,0.8057952796512518
2020-05-09,7,0.8057952796512518
2020-05-10,8,0.9209088910300021
2020-05-11,8,0.9209088910300021
2020-05-12,8,0.9209088910300021
2020-05-13,8,0.9209088910300021
2020-05-14,10,1.1511361137875025
2020-05-15,10,1.1511361137875025
2020-05-16,10,1.1511361137875025
2020-05-17,10,1.1511361137875025
2020-05-18,10,1.1511361137875025
2020-05-19,10,1.1511361137875025
2020-05-20,10,1.1511361137875025
2020-05-21,10,1.1511361137875025
2020-05-22,10,1.1511361137875025
2020-05-23,10,1.1511361137875025
2020-05-24,10,1.1511361137875025
2020-05-25,10,1.1511361137875025
2020-05-26,10,1.1511361137875025
2020-05-27,10,1.1511361137875025
2020-05-28,10,1.1511361137875025
2020-05-29,10,1.1511361137875025
2020-05-30,10,1.1511361137875025
2020-05-31,10,1.1511361137875025
2020-06-01,10,1.1511361137875025
2020-06-02,11,1.2662497251662528
2020-06-03,11,1.2662497251662528
2020-06-04,11,1.2662497251662528
2020-06-05,11,1.2662497251662528
2020-06-06,11,1.2662497251662528
2020-06-07,12,1.381363336545003
2020-06-08,12,1.381363336545003
2020-06-09,12,1.381363336545003
2020-06-10,12,1.381363336545003
2020-06-11,12,1.381363336545003
2020-06-12,12,1.381363336545003
2020-06-13,12,1.381363336545003
2020-06-14,12,1.381363336545003
2020-06-15,12,1.381363336545003
2020-06-16,15,1.7267041706812538
2020-06-17,17,1.9569313934387544
2020-06-18,19,2.187158616196255
2020-06-19,20,2.302272227575005
2020-06-20,21,2.4173858389537553
2020-06-21,21,2.4173858389537553
2020-06-22,22,2.5324994503325056
2020-06-23,23,2.647613061711256
2020-06-24,25,2.8778402844687565
2020-06-25,29,3.3382947299837573
2020-06-26,29,3.3382947299837573
2020-06-27,31,3.568521952741258
2020-06-28,31,3.568521952741258
2020-06-29,32,3.6836355641200083
2020-06-30,32,3.6836355641200083
2020-07-01,46,5.295226123422512
2020-07-02,49,5.640566957558763
2020-07-03,57,6.561475848588764
2020-07-04,58,6.676589459967515
2020-07-05,58,6.676589459967515
2020-07-06,59,6.791703071346265
2020-07-07,75,8.633520853406269
2020-07-08,90,10.360225024087523
2020-07-09,123,14.158974199586282
2020-07-10,123,14.158974199586282
2020-07-11,123,14.158974199586282
2020-07-12,142,16.346132815782536
2020-07-13,150,17.267041706812538
2020-07-14,150,17.267041706812538
2020-07-15,183,21.065790882311298
2020-07-16,218,25.094767280567556
2020-07-17,240,27.62726673090006
2020-07-18,267,30.73533423812632
2020-07-19,284,32.69226563156507
2020-07-20,318,36.60612841844258
2020-07-21,318,36.60612841844258
2020-07-22,367,42.24669537600134
2020-07-23,400,46.045444551500104
2020-07-24,433,49.84419372699886
2020-07-25,456,52.491806788710115
2020-07-26,456,52.491806788710115
2020-07-27,467,53.75805651387637
2020-07-28,531,61.12532764211639
2020-07-29,576,66.30544015416015
2020-07-30,616,70.90998460931016
2020-07-31,644,74.13316572791517
2020-08-01,644,74.13316572791517
2020-08-02,644,74.13316572791517
2020-08-03,656,75.51452906446016
2020-08-04,656,75.51452906446016
2020-08-05,743,85.52941325441144
2020-08-06,765,88.06191270474395
2020-08-07,790,90.9397529892127
2020-08-08,790,90.9397529892127
2020-08-09,807,92.89668438265146
2020-08-10,829,95.42918383298397
2020-08-11,849,97.73145606055897
2020-08-12,881,101.41509162467898
2020-08-13,881,101.41509162467898
2020-08-14,931,107.17077219361649
2020-08-15,931,107.17077219361649
2020-08-16,955,109.9334988667065
2020-08-17,955,109.9334988667065
2020-08-18,999,114.9984977673715
2020-08-19,1019,117.3007699949465
2020-08-20,1048,120.63906472493026
2020-08-21,1071,123.28667778664152
2020-08-22,1071,123.28667778664152
2020-08-23,1091,125.58895001421654
2020-08-24,1101,126.74008612800404
2020-08-25,1121,129.04235835557904
2020-08-26,1130,130.07838085798778
2020-08-27,1145,131.80508502866905
2020-08-28,1156,133.0713347538353
2020-08-29,1156,133.0713347538353
2020-08-30,1162,133.7620164221078
2020-08-31,1171,134.79803892451656
2020-09-01,1185,136.40962948381906
2020-09-02,1208,139.0572425455303
2020-09-03,1233,141.93508282999906
2020-09-04,1250,143.89201422343783
2020-09-05,1250,143.89201422343783
2020-09-06,1272,146.42451367377032
2020-09-07,1295,149.0721267354816
2020-09-08,1311,150.91394451754158
2020-09-09,1334,153.56155757925285
2020-09-10,1334,153.56155757925285
2020-09-11,1381,158.9718973140541
2020-09-12,1381,158.9718973140541
2020-09-13,1409,162.1950784326591
2020-09-14,1431,164.72757788299162
2020-09-15,1450,166.91473649918788
2020-09-16,1470,169.21700872676288
2020-09-17,1488,171.2890537315804
2020-09-18,1510,173.8215531819129
2020-09-19,1510,173.8215531819129
2020-09-20,1510,173.8215531819129
2020-09-21,1540,177.2749615232754
2020-09-22,1563,179.92257458498665
2020-09-23,1588,182.8004148694554
2020-09-24,1611,185.44802793116668
2020-09-25,1630,187.6351865473629
2020-09-26,1630,187.6351865473629
2020-09-27,1630,187.6351865473629
2020-09-28,1661,191.20370850010417
2020-09-29,1681,193.50598072767917
2020-09-30,1698,195.46291212111794
2020-10-01,1718,197.76518434869294
2020-10-02,1740,200.29768379902544
2020-10-03,1740,200.29768379902544
2020-10-04,1740,200.29768379902544
2020-10-05,1766,203.29063769487294
2020-10-06,1784,205.36268269969045
2020-10-07,1805,207.7800685386442
2020-10-08,1824,209.96722715484046
2020-10-09,1841,211.92415854827922
2020-10-10,1841,211.92415854827922
2020-10-11,1841,211.92415854827922
2020-10-12,1853,213.30552188482423
2020-10-13,1868,215.03222605550548
2020-10-14,1884,216.8740438375655
2020-10-15,1892,217.7949527285955
2020-10-16,1895,218.14029356273173
2020-10-17,1895,218.14029356273173
2020-10-18,1895,218.14029356273173
2020-10-19,1895,218.14029356273173
2020-10-20,1899,218.60074800824674
2020-10-21,1899,218.60074800824674
2020-10-22,1899,218.60074800824674
2020-10-23,1919,220.90302023582174
