dates,I,deaths_by_pop
UID,84053033,
iso2,US,
iso3,USA,
code3,840,
FIPS,53033.0,
Admin2,King,
Province_State,Washington,
Country_Region,US,
Lat,47.49137892,
Long_,-121.8346131,
Combined_Key,"King, Washington, US",
Population,2252782,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,1,0.044389559220554854
2020-03-01,1,0.044389559220554854
2020-03-02,5,0.22194779610277426
2020-03-03,6,0.2663373553233291
2020-03-04,9,0.39950603298499365
2020-03-05,10,0.44389559220554853
2020-03-06,12,0.5326747106466582
2020-03-07,15,0.6658433883083228
2020-03-08,17,0.7546225067494324
2020-03-09,17,0.7546225067494324
2020-03-10,21,0.9321807436316519
2020-03-11,22,0.9765703028522067
2020-03-12,27,1.198518098954981
2020-03-13,32,1.4204658950577553
2020-03-14,34,1.5092450134988649
2020-03-15,35,1.5536345727194198
2020-03-16,43,1.9087510464838586
2020-03-17,46,2.041919724145523
2020-03-18,56,2.4858153163510717
2020-03-19,60,2.663373553233291
2020-03-20,67,2.974100467777175
2020-03-21,74,3.284827382321059
2020-03-22,75,3.3292169415416137
2020-03-23,87,3.8618916521882722
2020-03-24,87,3.8618916521882722
2020-03-25,101,4.48334548127604
2020-03-26,109,4.838461955040479
2020-03-27,109,4.838461955040479
2020-03-28,136,6.0369800539954594
2020-03-29,141,6.258927850098234
2020-03-30,144,6.3920965277598984
2020-03-31,150,6.6584338830832275
2020-04-01,193,8.567184929567086
2020-04-02,204,9.05547008099319
2020-04-03,217,9.632534350860404
2020-04-04,229,10.165209061507062
2020-04-05,245,10.875442009035938
2020-04-06,258,11.45250627890315
2020-04-07,273,12.118349667211474
2020-04-08,283,12.562245259417024
2020-04-09,290,12.872972173960907
2020-04-10,302,13.405646884607565
2020-04-11,313,13.893932036033668
2020-04-12,318,14.115879832136443
2020-04-13,326,14.470996305900881
2020-04-14,331,14.692944102003656
2020-04-15,336,14.914891898106431
2020-04-16,348,15.447566608753089
2020-04-17,355,15.758293523296972
2020-04-18,367,16.29096823394363
2020-04-19,380,16.868032503810845
2020-04-20,386,17.13436985913417
2020-04-21,400,17.75582368822194
2020-04-22,405,17.977771484324716
2020-04-23,410,18.19971928042749
2020-04-24,418,18.554835754191927
2020-04-25,428,18.998731346397477
2020-04-26,437,19.39823737938247
2020-04-27,443,19.6645747347058
2020-04-28,448,19.886522530808573
2020-04-29,454,20.152859886131903
2020-04-30,458,20.330418123014123
2020-05-01,465,20.641145037558005
2020-05-02,469,20.818703274440225
2020-05-03,473,20.996261511322444
2020-05-04,480,21.30698842586633
2020-05-05,484,21.48454666274855
2020-05-06,489,21.706494458851324
2020-05-07,494,21.928442254954096
2020-05-08,500,22.194779610277426
2020-05-09,504,22.372337847159645
2020-05-10,514,22.816233439365195
2020-05-11,516,22.9050125578063
2020-05-12,519,23.038181235467967
2020-05-13,520,23.08257079468852
2020-05-14,523,23.215739472350187
2020-05-15,524,23.26012903157074
2020-05-16,528,23.43768726845296
2020-05-17,532,23.61524550533518
2020-05-18,533,23.659635064555737
2020-05-19,537,23.837193301437956
2020-05-20,540,23.97036197909962
2020-05-21,543,24.103530656761283
2020-05-22,545,24.192309775202393
2020-05-23,549,24.369868012084613
2020-05-24,552,24.503036689746278
2020-05-25,555,24.636205367407943
2020-05-26,556,24.680594926628498
2020-05-27,562,24.946932281951828
2020-05-28,563,24.991321841172383
2020-05-29,566,25.124490518834047
2020-05-30,567,25.168880078054602
2020-05-31,569,25.25765919649571
2020-06-01,571,25.34643831493682
2020-06-02,573,25.43521743337793
2020-06-03,574,25.479606992598484
2020-06-04,577,25.61277567026015
