dates,I,deaths_by_pop
UID,84036047,
iso2,US,
iso3,USA,
code3,840,
FIPS,36047.0,
Admin2,Kings,
Province_State,New York,
Country_Region,US,
Lat,40.6361825,
Long_,-73.94935552,
Combined_Key,"Kings, New York, US",
Population,2559903,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,1,0.039063980158623196
2020-03-15,1,0.039063980158623196
2020-03-16,2,0.07812796031724639
2020-03-17,6,0.23438388095173918
2020-03-18,12,0.46876776190347835
2020-03-19,18,0.7031516428552176
2020-03-20,29,1.1328554246000728
2020-03-21,41,1.601623186503551
2020-03-22,51,1.992262988089783
2020-03-23,78,3.0469904523726092
2020-03-24,101,3.945461996020943
2020-03-25,137,5.351765281731378
2020-03-26,187,7.304964289662538
2020-03-27,262,10.234762801559278
2020-03-28,340,13.281753253931887
2020-03-29,430,16.797511468207976
2020-03-30,536,20.938293365022034
2020-03-31,662,25.860354865008556
2020-04-01,798,31.17305616658131
2020-04-02,966,37.735804833230006
2020-04-03,1107,43.24382603559588
2020-04-04,1270,49.61125480145146
2020-04-05,1437,56.13493948794154
2020-04-06,1606,62.736752134748855
2020-04-07,1785,69.7292045831424
2020-04-08,1958,76.48727315058422
2020-04-09,2148,83.90942938072263
2020-04-10,2326,90.86281784895756
2020-04-11,2486,97.11305467433726
2020-04-12,2686,104.92585070606191
2020-04-13,2845,111.137023551283
2020-04-14,2998,117.11381251555235
2020-04-15,3129,122.23119391633199
2020-04-16,3255,127.15325541631852
2020-04-17,3373,131.76280507503606
2020-04-18,3490,136.33329075359495
2020-04-19,3608,140.9428404123125
2020-04-20,3703,144.6539185273817
2020-04-21,3794,148.2087407218164
2020-04-22,3902,152.42765057894772
