dates,I,deaths_by_pop
UID,84006037,
iso2,US,
iso3,USA,
code3,840,
FIPS,6037.0,
Admin2,Los Angeles,
Province_State,California,
Country_Region,US,
Lat,34.30828379,
Long_,-118.2282411,
Combined_Key,"Los Angeles, California, US",
Population,10039107,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,1,0.009961045339988905
2020-03-12,1,0.009961045339988905
2020-03-13,1,0.009961045339988905
2020-03-14,1,0.009961045339988905
2020-03-15,1,0.009961045339988905
2020-03-16,1,0.009961045339988905
2020-03-17,1,0.009961045339988905
2020-03-18,1,0.009961045339988905
2020-03-19,2,0.01992209067997781
2020-03-20,2,0.01992209067997781
2020-03-21,2,0.01992209067997781
2020-03-22,5,0.04980522669994453
2020-03-23,7,0.06972731737992234
2020-03-24,11,0.10957149873987795
2020-03-25,13,0.12949358941985578
2020-03-26,21,0.209181952139767
2020-03-27,26,0.25898717883971156
2020-03-28,26,0.25898717883971156
2020-03-29,32,0.31875345087964496
2020-03-30,44,0.4382859949595118
2020-03-31,54,0.5378964483594009
2020-04-01,64,0.6375069017592899
2020-04-02,78,0.7769615365191346
2020-04-03,89,0.8865330352590126
2020-04-04,93,0.9263772166189682
2020-04-05,132,1.3148579848785356
2020-04-06,147,1.4642736649783692
2020-04-07,169,1.683416662458125
2020-04-08,198,1.9722869773178033
2020-04-09,223,2.2213131108175257
2020-04-10,242,2.4105729722773153
2020-04-11,244,2.430495062957293
2020-04-12,269,2.6795211964570154
2020-04-13,322,3.2074565994764277
2020-04-14,360,3.585976322396006
2020-04-15,405,4.034223362695506
2020-04-16,457,4.55219772037493
2020-04-17,497,4.950639533974486
2020-04-18,576,5.73756211583361
2020-04-19,600,5.976627203993343
2020-04-20,619,6.165887065453132
2020-04-21,663,6.604173060412644
2020-04-22,732,7.291485188871879
2020-04-23,797,7.938953135971158
2020-04-24,850,8.46688853899057
2020-04-25,895,8.91513557929007
2020-04-26,916,9.124317531429837
2020-04-27,944,9.403226800949527
2020-04-28,1002,9.980967430668883
2020-04-29,1056,10.518863879028284
2020-04-30,1111,11.066721372727674
2020-05-01,1174,11.694267229146975
2020-05-02,1209,12.042903816046586
2020-05-03,1231,12.262046813526343
2020-05-04,1257,12.521033992366053
2020-05-05,1315,13.098774622085411
2020-05-06,1369,13.63667107044481
2020-05-07,1418,14.124762292104268
2020-05-08,1470,14.642736649783691
2020-05-09,1515,15.090983690083192
2020-05-10,1531,15.250360415523014
2020-05-11,1570,15.638841183782581
2020-05-12,1616,16.097049269422072
2020-05-13,1660,16.535335264381583
2020-05-14,1711,17.043348576721016
2020-05-15,1753,17.46171248100055
2020-05-16,1793,17.860154294600108
2020-05-17,1821,18.139063564119798
2020-05-18,1840,18.328323425579587
2020-05-19,1913,19.055479735398777
2020-05-20,1973,19.65314245579811
2020-05-21,2016,20.081467405417634
2020-05-22,2053,20.450026082997223
2020-05-23,2092,20.83850685125679
2020-05-24,2106,20.977961486016635
2020-05-25,2116,21.077571939416522
2020-05-26,2145,21.3664422542762
2020-05-27,2201,21.924260793315582
2020-05-28,2241,22.322702606915136
2020-05-29,2294,22.85063800993455
2020-05-30,2339,23.29888505023405
2020-05-31,2362,23.527989093053794
2020-06-01,2386,23.767054181213528
2020-06-02,2448,24.38463899229284
2020-06-03,2489,24.793041851232385
