dates,I,deaths_by_pop
UID,84004013,
iso2,US,
iso3,USA,
code3,840,
FIPS,4013.0,
Admin2,Maricopa,
Province_State,Arizona,
Country_Region,US,
Lat,33.34835867,
Long_,-112.4918154,
Combined_Key,"Maricopa, Arizona, US",
Population,4485414,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,1,0.022294486083112953
2020-03-22,2,0.044588972166225906
2020-03-23,2,0.044588972166225906
2020-03-24,2,0.044588972166225906
2020-03-25,2,0.044588972166225906
2020-03-26,2,0.044588972166225906
2020-03-27,5,0.11147243041556476
2020-03-28,5,0.11147243041556476
2020-03-29,5,0.11147243041556476
2020-03-30,5,0.11147243041556476
2020-03-31,5,0.11147243041556476
2020-04-01,5,0.11147243041556476
2020-04-02,12,0.26753383299735545
2020-04-03,12,0.26753383299735545
2020-04-04,28,0.6242456103271626
2020-04-05,31,0.6911290685765015
2020-04-06,31,0.6911290685765015
2020-04-07,35,0.7803070129089533
2020-04-08,37,0.8248959850751792
2020-04-09,39,0.8694849572414052
2020-04-10,39,0.8694849572414052
2020-04-11,47,1.0478408459063087
2020-04-12,47,1.0478408459063087
2020-04-13,52,1.1593132763218734
2020-04-14,54,1.2039022484880995
2020-04-15,60,1.3376691649867771
2020-04-16,64,1.426847109319229
2020-04-17,69,1.5383195397347937
2020-04-18,70,1.5606140258179066
2020-04-19,75,1.6720864562334714
2020-04-20,75,1.6720864562334714
2020-04-21,83,1.8504423448983751
2020-04-22,97,2.1625651500619565
2020-04-23,115,2.5638658995579897
2020-04-24,120,2.6753383299735543
2020-04-25,121,2.697632816056667
2020-04-26,122,2.71992730213978
2020-04-27,122,2.71992730213978
2020-04-28,122,2.71992730213978
2020-04-29,140,3.1212280516358133
2020-04-30,145,3.2327004820513783
2020-05-01,147,3.277289454217604
2020-05-02,147,3.277289454217604
2020-05-03,147,3.277289454217604
2020-05-04,147,3.277289454217604
2020-05-05,175,3.901535064544767
2020-05-06,186,4.146774411459009
2020-05-07,204,4.548075160955042
2020-05-08,238,5.306087687780883
2020-05-09,245,5.462149090362673
2020-05-10,247,5.506738062528899
2020-05-11,250,5.5736215207782385
2020-05-12,259,5.774271895526255
2020-05-13,281,6.2647505893547395
2020-05-14,292,6.509989936268982
2020-05-15,302,6.7329347971001114
