dates,I,deaths_by_pop
UID,84036081,
iso2,US,
iso3,USA,
code3,840,
FIPS,36081.0,
Admin2,Queens,
Province_State,New York,
Country_Region,US,
Lat,40.71088124,
Long_,-73.81684712,
Combined_Key,"Queens, New York, US",
Population,2253858,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,1,0.04436836748366579
2020-03-12,1,0.04436836748366579
2020-03-13,1,0.04436836748366579
2020-03-14,2,0.08873673496733157
2020-03-15,3,0.13310510245099735
2020-03-16,7,0.3105785723856605
2020-03-17,10,0.4436836748366579
2020-03-18,20,0.8873673496733158
2020-03-19,26,1.1535775545753104
2020-03-20,35,1.5528928619283024
2020-03-21,49,2.1740500066996233
2020-03-22,63,2.7952071514709447
2020-03-23,91,4.0375214410135865
2020-03-24,126,5.590414302941889
2020-03-25,158,7.010202062419194
2020-03-26,218,9.672304111439141
2020-03-27,276,12.245669425491757
2020-03-28,369,16.371927601472674
2020-03-29,464,20.586922512420923
2020-03-30,563,24.979390893303837
2020-03-31,660,29.28312253921942
2020-04-01,804,35.67216745686729
2020-04-02,944,41.883738904580504
2020-04-03,1104,48.98267770196703
2020-04-04,1261,55.94851139690255
2020-04-05,1443,64.02355427892972
2020-04-06,1645,72.98596451063021
2020-04-07,1828,81.10537576014106
2020-04-08,2010,89.18041864216823
2020-04-09,2182,96.81177784935875
2020-04-10,2337,103.68887480932695
2020-04-11,2500,110.92091870916447
2020-04-12,2674,118.64101465132231
2020-04-13,2867,127.2041095756698
2020-04-14,3030,134.43615347550733
2020-04-15,3181,141.13577696554086
2020-04-16,3313,146.99240147338475
2020-04-17,3435,152.405342306392
2020-04-18,3571,158.43944028417053
2020-04-19,3707,164.47353826194907
2020-04-20,3833,170.06395256489097
2020-04-21,3936,174.63389441570854
2020-04-22,4022,178.44957401930378
2020-04-23,4129,183.19698934005604
2020-04-24,4227,187.54508935345527
2020-04-25,4308,191.1389271196322
2020-04-26,4398,195.13208019316212
2020-04-27,4489,199.1696016341757
2020-04-28,4562,202.4084924604833
2020-04-29,4643,206.00233022666023
2020-04-30,4710,208.97501084806586
2020-05-01,4786,212.34700677682446
2020-05-02,4847,215.05347719332806
2020-05-03,4902,217.49373740492967
2020-05-04,4957,219.9339976165313
2020-05-05,5002,221.93057415329625
2020-05-06,5060,224.50393946734889
2020-05-07,5101,226.32304253417917
2020-05-08,5149,228.45272417339513
2020-05-09,5182,229.9168803003561
2020-05-10,5218,231.51414152976807
2020-05-11,5245,232.71208745182705
2020-05-12,5263,233.51071806653303
2020-05-13,5293,234.841769091043
2020-05-14,5316,235.86224154316733
2020-05-15,5343,237.06018746522628
2020-05-16,5364,237.99192318238326
2020-05-17,5390,239.14550073695858
2020-05-18,6590,292.3875417173575
2020-05-19,6603,292.9643304946452
