dates,I,deaths_by_pop
UID,84036119,
iso2,US,
iso3,USA,
code3,840,
FIPS,36119.0,
Admin2,Westchester,
Province_State,New York,
Country_Region,US,
Lat,41.16278376,
Long_,-73.75741653,
Combined_Key,"Westchester, New York, US",
Population,967506,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,1,0.1033585321434699
2020-03-25,1,0.1033585321434699
2020-03-26,1,0.1033585321434699
2020-03-27,1,0.1033585321434699
2020-03-28,10,1.033585321434699
2020-03-29,10,1.033585321434699
2020-03-30,10,1.033585321434699
2020-03-31,10,1.033585321434699
2020-04-01,25,2.583963303586748
2020-04-02,64,6.614946057182074
2020-04-03,67,6.925021653612484
2020-04-04,67,6.925021653612484
2020-04-05,67,6.925021653612484
2020-04-06,211,21.80865028227215
2020-04-07,211,21.80865028227215
2020-04-08,283,29.250464596601986
2020-04-09,359,37.1057130395057
2020-04-10,389,40.206469003809794
2020-04-11,461,47.648283318139626
2020-04-12,511,52.816209925313125
2020-04-13,557,57.57070240391274
2020-04-14,596,61.601685157508065
2020-04-15,640,66.14946057182074
2020-04-16,668,69.0434994718379
2020-04-17,668,69.0434994718379
2020-04-18,668,69.0434994718379
2020-04-19,668,69.0434994718379
2020-04-20,776,80.20622094333265
2020-04-21,809,83.61705250406716
2020-04-22,838,86.61444993622779
2020-04-23,863,89.19841323981453
2020-04-24,891,92.09245213983169
2020-04-25,920,95.08984957199232
2020-04-26,946,97.77717140772253
2020-04-27,962,99.43090792201805
2020-04-28,983,101.60143709703092
2020-04-29,1006,103.97868333633073
2020-04-30,1031,106.56264663991747
2020-05-01,1049,108.42310021849994
2020-05-02,1067,110.28355379708239
2020-05-03,1086,112.24736590780833
2020-05-04,1101,113.79774388996037
2020-05-05,1116,115.34812187211242
2020-05-06,1167,120.61940701142939
