dates,I,deaths_by_pop
UID,84051179,
iso2,US,
iso3,USA,
code3,840,
FIPS,51179.0,
Admin2,Stafford,
Province_State,Virginia,
Country_Region,US,
Lat,38.41758738,
Long_,-77.45917053,
Combined_Key,"Stafford, Virginia, US",
Population,152882,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,0,0.0
2020-04-02,0,0.0
2020-04-03,0,0.0
2020-04-04,0,0.0
2020-04-05,0,0.0
2020-04-06,0,0.0
2020-04-07,0,0.0
2020-04-08,0,0.0
2020-04-09,0,0.0
2020-04-10,0,0.0
2020-04-11,0,0.0
2020-04-12,0,0.0
2020-04-13,0,0.0
2020-04-14,0,0.0
2020-04-15,0,0.0
2020-04-16,0,0.0
2020-04-17,0,0.0
2020-04-18,0,0.0
2020-04-19,0,0.0
2020-04-20,0,0.0
2020-04-21,0,0.0
2020-04-22,2,1.3081984798733663
2020-04-23,2,1.3081984798733663
2020-04-24,2,1.3081984798733663
2020-04-25,2,1.3081984798733663
2020-04-26,2,1.3081984798733663
2020-04-27,2,1.3081984798733663
2020-04-28,2,1.3081984798733663
2020-04-29,2,1.3081984798733663
2020-04-30,2,1.3081984798733663
2020-05-01,2,1.3081984798733663
2020-05-02,2,1.3081984798733663
2020-05-03,2,1.3081984798733663
2020-05-04,2,1.3081984798733663
2020-05-05,2,1.3081984798733663
2020-05-06,2,1.3081984798733663
2020-05-07,2,1.3081984798733663
2020-05-08,2,1.3081984798733663
2020-05-09,2,1.3081984798733663
2020-05-10,2,1.3081984798733663
2020-05-11,2,1.3081984798733663
2020-05-12,4,2.6163969597467327
2020-05-13,4,2.6163969597467327
2020-05-14,4,2.6163969597467327
2020-05-15,4,2.6163969597467327
2020-05-16,4,2.6163969597467327
2020-05-17,4,2.6163969597467327
2020-05-18,4,2.6163969597467327
2020-05-19,4,2.6163969597467327
2020-05-20,4,2.6163969597467327
2020-05-21,4,2.6163969597467327
2020-05-22,4,2.6163969597467327
2020-05-23,4,2.6163969597467327
2020-05-24,4,2.6163969597467327
2020-05-25,4,2.6163969597467327
2020-05-26,4,2.6163969597467327
2020-05-27,4,2.6163969597467327
2020-05-28,4,2.6163969597467327
2020-05-29,4,2.6163969597467327
2020-05-30,4,2.6163969597467327
2020-05-31,4,2.6163969597467327
2020-06-01,5,3.270496199683416
2020-06-02,5,3.270496199683416
2020-06-03,5,3.270496199683416
2020-06-04,5,3.270496199683416
2020-06-05,5,3.270496199683416
2020-06-06,5,3.270496199683416
2020-06-07,5,3.270496199683416
2020-06-08,5,3.270496199683416
2020-06-09,5,3.270496199683416
2020-06-10,5,3.270496199683416
2020-06-11,5,3.270496199683416
2020-06-12,5,3.270496199683416
2020-06-13,5,3.270496199683416
2020-06-14,5,3.270496199683416
2020-06-15,5,3.270496199683416
2020-06-16,5,3.270496199683416
2020-06-17,5,3.270496199683416
2020-06-18,5,3.270496199683416
2020-06-19,5,3.270496199683416
2020-06-20,5,3.270496199683416
2020-06-21,5,3.270496199683416
2020-06-22,5,3.270496199683416
2020-06-23,5,3.270496199683416
2020-06-24,5,3.270496199683416
2020-06-25,5,3.270496199683416
2020-06-26,5,3.270496199683416
2020-06-27,5,3.270496199683416
2020-06-28,5,3.270496199683416
2020-06-29,5,3.270496199683416
2020-06-30,5,3.270496199683416
2020-07-01,5,3.270496199683416
2020-07-02,5,3.270496199683416
2020-07-03,5,3.270496199683416
2020-07-04,5,3.270496199683416
2020-07-05,5,3.270496199683416
2020-07-06,5,3.270496199683416
2020-07-07,5,3.270496199683416
2020-07-08,5,3.270496199683416
2020-07-09,6,3.924595439620099
2020-07-10,6,3.924595439620099
2020-07-11,6,3.924595439620099
2020-07-12,6,3.924595439620099
2020-07-13,6,3.924595439620099
2020-07-14,6,3.924595439620099
2020-07-15,6,3.924595439620099
2020-07-16,6,3.924595439620099
2020-07-17,6,3.924595439620099
2020-07-18,6,3.924595439620099
2020-07-19,6,3.924595439620099
2020-07-20,6,3.924595439620099
2020-07-21,6,3.924595439620099
2020-07-22,6,3.924595439620099
2020-07-23,7,4.578694679556782
2020-07-24,7,4.578694679556782
2020-07-25,7,4.578694679556782
2020-07-26,7,4.578694679556782
2020-07-27,7,4.578694679556782
2020-07-28,7,4.578694679556782
2020-07-29,7,4.578694679556782
2020-07-30,7,4.578694679556782
2020-07-31,7,4.578694679556782
2020-08-01,7,4.578694679556782
2020-08-02,7,4.578694679556782
2020-08-03,7,4.578694679556782
2020-08-04,7,4.578694679556782
2020-08-05,8,5.232793919493465
2020-08-06,8,5.232793919493465
2020-08-07,8,5.232793919493465
2020-08-08,8,5.232793919493465
2020-08-09,9,5.886893159430149
2020-08-10,9,5.886893159430149
2020-08-11,9,5.886893159430149
2020-08-12,9,5.886893159430149
2020-08-13,10,6.540992399366832
2020-08-14,10,6.540992399366832
2020-08-15,10,6.540992399366832
2020-08-16,10,6.540992399366832
2020-08-17,10,6.540992399366832
2020-08-18,10,6.540992399366832
2020-08-19,10,6.540992399366832
2020-08-20,10,6.540992399366832
2020-08-21,10,6.540992399366832
2020-08-22,10,6.540992399366832
2020-08-23,10,6.540992399366832
2020-08-24,10,6.540992399366832
2020-08-25,10,6.540992399366832
2020-08-26,10,6.540992399366832
2020-08-27,10,6.540992399366832
2020-08-28,10,6.540992399366832
2020-08-29,10,6.540992399366832
2020-08-30,10,6.540992399366832
2020-08-31,10,6.540992399366832
2020-09-01,10,6.540992399366832
2020-09-02,11,7.195091639303515
2020-09-03,10,6.540992399366832
2020-09-04,12,7.849190879240198
2020-09-05,13,8.503290119176881
2020-09-06,13,8.503290119176881
2020-09-07,13,8.503290119176881
2020-09-08,13,8.503290119176881
2020-09-09,13,8.503290119176881
2020-09-10,13,8.503290119176881
2020-09-11,13,8.503290119176881
2020-09-12,13,8.503290119176881
2020-09-13,13,8.503290119176881
2020-09-14,13,8.503290119176881
2020-09-15,14,9.157389359113564
2020-09-16,13,8.503290119176881
2020-09-17,13,8.503290119176881
2020-09-18,14,9.157389359113564
2020-09-19,14,9.157389359113564
2020-09-20,14,9.157389359113564
2020-09-21,14,9.157389359113564
2020-09-22,14,9.157389359113564
2020-09-23,17,11.119687078923615
2020-09-24,18,11.773786318860298
2020-09-25,17,11.119687078923615
2020-09-26,17,11.119687078923615
2020-09-27,17,11.119687078923615
2020-09-28,17,11.119687078923615
2020-09-29,17,11.119687078923615
2020-09-30,17,11.119687078923615
2020-10-01,17,11.119687078923615
2020-10-02,17,11.119687078923615
2020-10-03,17,11.119687078923615
2020-10-04,17,11.119687078923615
2020-10-05,18,11.773786318860298
2020-10-06,18,11.773786318860298
2020-10-07,18,11.773786318860298
2020-10-08,18,11.773786318860298
2020-10-09,19,12.42788555879698
2020-10-10,19,12.42788555879698
2020-10-11,19,12.42788555879698
2020-10-12,19,12.42788555879698
2020-10-13,19,12.42788555879698
2020-10-14,19,12.42788555879698
2020-10-15,19,12.42788555879698
2020-10-16,19,12.42788555879698
2020-10-17,19,12.42788555879698
2020-10-18,19,12.42788555879698
2020-10-19,19,12.42788555879698
2020-10-20,19,12.42788555879698
2020-10-21,20,13.081984798733664
2020-10-22,20,13.081984798733664
2020-10-23,20,13.081984798733664
2020-10-24,20,13.081984798733664
2020-10-25,20,13.081984798733664
2020-10-26,20,13.081984798733664
2020-10-27,20,13.081984798733664
2020-10-28,21,13.736084038670347
2020-10-29,21,13.736084038670347
2020-10-30,21,13.736084038670347
2020-10-31,21,13.736084038670347
2020-11-01,21,13.736084038670347
2020-11-02,21,13.736084038670347
2020-11-03,22,14.39018327860703
2020-11-04,22,14.39018327860703
2020-11-05,21,13.736084038670347
2020-11-06,21,13.736084038670347
2020-11-07,22,14.39018327860703
