dates,I,deaths_by_pop
UID,84017201,
iso2,US,
iso3,USA,
code3,840,
FIPS,17201.0,
Admin2,Winnebago,
Province_State,Illinois,
Country_Region,US,
Lat,42.33641854,
Long_,-89.16085327,
Combined_Key,"Winnebago, Illinois, US",
Population,282572,
2020-01-22,0,0.0
2020-01-23,0,0.0
2020-01-24,0,0.0
2020-01-25,0,0.0
2020-01-26,0,0.0
2020-01-27,0,0.0
2020-01-28,0,0.0
2020-01-29,0,0.0
2020-01-30,0,0.0
2020-01-31,0,0.0
2020-02-01,0,0.0
2020-02-02,0,0.0
2020-02-03,0,0.0
2020-02-04,0,0.0
2020-02-05,0,0.0
2020-02-06,0,0.0
2020-02-07,0,0.0
2020-02-08,0,0.0
2020-02-09,0,0.0
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.0
2020-02-18,0,0.0
2020-02-19,0,0.0
2020-02-20,0,0.0
2020-02-21,0,0.0
2020-02-22,0,0.0
2020-02-23,0,0.0
2020-02-24,0,0.0
2020-02-25,0,0.0
2020-02-26,0,0.0
2020-02-27,0,0.0
2020-02-28,0,0.0
2020-02-29,0,0.0
2020-03-01,0,0.0
2020-03-02,0,0.0
2020-03-03,0,0.0
2020-03-04,0,0.0
2020-03-05,0,0.0
2020-03-06,0,0.0
2020-03-07,0,0.0
2020-03-08,0,0.0
2020-03-09,0,0.0
2020-03-10,0,0.0
2020-03-11,0,0.0
2020-03-12,0,0.0
2020-03-13,0,0.0
2020-03-14,0,0.0
2020-03-15,0,0.0
2020-03-16,0,0.0
2020-03-17,0,0.0
2020-03-18,0,0.0
2020-03-19,0,0.0
2020-03-20,0,0.0
2020-03-21,0,0.0
2020-03-22,0,0.0
2020-03-23,0,0.0
2020-03-24,0,0.0
2020-03-25,0,0.0
2020-03-26,0,0.0
2020-03-27,0,0.0
2020-03-28,0,0.0
2020-03-29,0,0.0
2020-03-30,0,0.0
2020-03-31,0,0.0
2020-04-01,1,0.3538921053749133
2020-04-02,1,0.3538921053749133
2020-04-03,1,0.3538921053749133
2020-04-04,1,0.3538921053749133
2020-04-05,1,0.3538921053749133
2020-04-06,1,0.3538921053749133
2020-04-07,3,1.0616763161247398
2020-04-08,3,1.0616763161247398
2020-04-09,3,1.0616763161247398
2020-04-10,3,1.0616763161247398
2020-04-11,4,1.4155684214996531
2020-04-12,4,1.4155684214996531
2020-04-13,4,1.4155684214996531
2020-04-14,4,1.4155684214996531
2020-04-15,4,1.4155684214996531
2020-04-16,4,1.4155684214996531
2020-04-17,4,1.4155684214996531
2020-04-18,4,1.4155684214996531
2020-04-19,4,1.4155684214996531
2020-04-20,4,1.4155684214996531
2020-04-21,5,1.7694605268745665
2020-04-22,5,1.7694605268745665
2020-04-23,7,2.477244737624393
2020-04-24,7,2.477244737624393
2020-04-25,8,2.8311368429993062
2020-04-26,8,2.8311368429993062
2020-04-27,8,2.8311368429993062
2020-04-28,10,3.538921053749133
2020-04-29,10,3.538921053749133
2020-04-30,11,3.8928131591240462
2020-05-01,11,3.8928131591240462
2020-05-02,11,3.8928131591240462
2020-05-03,16,5.6622736859986125
2020-05-04,18,6.370057896748439
2020-05-05,19,6.7239500021233525
2020-05-06,20,7.077842107498266
2020-05-07,21,7.431734212873179
2020-05-08,21,7.431734212873179
2020-05-09,24,8.493410528997918
2020-05-10,25,8.847302634372832
2020-05-11,25,8.847302634372832
2020-05-12,28,9.908978950497572
2020-05-13,32,11.324547371997225
2020-05-14,32,11.324547371997225
2020-05-15,33,11.67843947737214
2020-05-16,34,12.032331582747052
2020-05-17,35,12.386223688121966
2020-05-18,37,13.094007898871793
2020-05-19,39,13.80179210962162
2020-05-20,40,14.155684214996532
2020-05-21,44,15.571252636496185
2020-05-22,46,16.27903684724601
2020-05-23,49,17.34071316337075
2020-05-24,50,17.694605268745665
2020-05-25,51,18.04849737412058
2020-05-26,51,18.04849737412058
2020-05-27,52,18.40238947949549
2020-05-28,53,18.756281584870404
2020-05-29,54,19.11017369024532
2020-05-30,55,19.464065795620233
2020-05-31,55,19.464065795620233
2020-06-01,55,19.464065795620233
2020-06-02,56,19.817957900995143
2020-06-03,57,20.171850006370057
2020-06-04,61,21.58741842786971
2020-06-05,66,23.35687895474428
2020-06-06,70,24.77244737624393
2020-06-07,69,24.418555270869017
2020-06-08,70,24.77244737624393
2020-06-09,72,25.480231586993757
2020-06-10,74,26.188015797743585
2020-06-11,77,27.249692113868324
2020-06-12,79,27.95747632461815
2020-06-13,79,27.95747632461815
2020-06-14,79,27.95747632461815
2020-06-15,79,27.95747632461815
2020-06-16,79,27.95747632461815
2020-06-17,81,28.665260535367977
2020-06-18,81,28.665260535367977
2020-06-19,82,29.01915264074289
2020-06-20,82,29.01915264074289
2020-06-21,82,29.01915264074289
2020-06-22,82,29.01915264074289
2020-06-23,83,29.373044746117802
2020-06-24,88,31.14250527299237
2020-06-25,89,31.496397378367284
2020-06-26,90,31.8502894837422
2020-06-27,91,32.20418158911711
2020-06-28,92,32.55807369449202
2020-06-29,92,32.55807369449202
2020-06-30,94,33.26585790524185
2020-07-01,95,33.61975001061676
2020-07-02,96,33.97364211599167
2020-07-03,96,33.97364211599167
2020-07-04,96,33.97364211599167
2020-07-05,96,33.97364211599167
2020-07-06,96,33.97364211599167
2020-07-07,97,34.32753422136659
2020-07-08,101,35.74310264286624
2020-07-09,101,35.74310264286624
2020-07-10,104,36.80477895899098
2020-07-11,105,37.1586710643659
2020-07-12,106,37.51256316974081
2020-07-13,106,37.51256316974081
2020-07-14,106,37.51256316974081
2020-07-15,106,37.51256316974081
2020-07-16,108,38.22034738049064
2020-07-17,108,38.22034738049064
2020-07-18,108,38.22034738049064
2020-07-19,108,38.22034738049064
2020-07-20,108,38.22034738049064
2020-07-21,111,39.282023696615376
2020-07-22,113,39.989807907365204
2020-07-23,113,39.989807907365204
2020-07-24,115,40.69759211811503
2020-07-25,115,40.69759211811503
2020-07-26,115,40.69759211811503
2020-07-27,118,41.75926843423977
2020-07-28,120,42.46705264498959
2020-07-29,121,42.82094475036451
2020-07-30,122,43.17483685573942
2020-07-31,122,43.17483685573942
2020-08-01,122,43.17483685573942
2020-08-02,124,43.88262106648925
2020-08-03,125,44.23651317186416
2020-08-04,127,44.94429738261399
2020-08-05,128,45.2981894879889
2020-08-06,128,45.2981894879889
2020-08-07,129,45.65208159336382
2020-08-08,131,46.35986580411364
2020-08-09,131,46.35986580411364
2020-08-10,131,46.35986580411364
2020-08-11,131,46.35986580411364
2020-08-12,131,46.35986580411364
2020-08-13,134,47.421542120238385
2020-08-14,134,47.421542120238385
2020-08-15,134,47.421542120238385
2020-08-16,134,47.421542120238385
2020-08-17,135,47.775434225613296
2020-08-18,135,47.775434225613296
2020-08-19,135,47.775434225613296
2020-08-20,136,48.12932633098821
2020-08-21,136,48.12932633098821
2020-08-22,137,48.483218436363124
2020-08-23,137,48.483218436363124
2020-08-24,139,49.191002647112946
2020-08-25,144,50.96046317398751
2020-08-26,145,51.31435527936243
2020-08-27,146,51.66824738473734
2020-08-28,146,51.66824738473734
2020-08-29,146,51.66824738473734
2020-08-30,146,51.66824738473734
2020-08-31,146,51.66824738473734
2020-09-01,147,52.02213949011225
2020-09-02,147,52.02213949011225
2020-09-03,147,52.02213949011225
2020-09-04,147,52.02213949011225
2020-09-05,147,52.02213949011225
2020-09-06,147,52.02213949011225
2020-09-07,147,52.02213949011225
2020-09-08,147,52.02213949011225
2020-09-09,147,52.02213949011225
2020-09-10,148,52.37603159548717
2020-09-11,148,52.37603159548717
2020-09-12,148,52.37603159548717
2020-09-13,148,52.37603159548717
2020-09-14,148,52.37603159548717
2020-09-15,148,52.37603159548717
2020-09-16,148,52.37603159548717
2020-09-17,149,52.72992370086208
2020-09-18,149,52.72992370086208
2020-09-19,149,52.72992370086208
2020-09-20,149,52.72992370086208
2020-09-21,149,52.72992370086208
2020-09-22,149,52.72992370086208
2020-09-23,149,52.72992370086208
2020-09-24,149,52.72992370086208
2020-09-25,149,52.72992370086208
2020-09-26,149,52.72992370086208
2020-09-27,149,52.72992370086208
2020-09-28,149,52.72992370086208
2020-09-29,151,53.43770791161191
2020-09-30,151,53.43770791161191
2020-10-01,152,53.79160001698682
2020-10-02,152,53.79160001698682
2020-10-03,152,53.79160001698682
2020-10-04,152,53.79160001698682
2020-10-05,154,54.49938422773665
2020-10-06,155,54.85327633311156
2020-10-07,155,54.85327633311156
2020-10-08,156,55.20716843848648
2020-10-09,156,55.20716843848648
2020-10-10,158,55.9149526492363
2020-10-11,158,55.9149526492363
2020-10-12,158,55.9149526492363
2020-10-13,158,55.9149526492363
2020-10-14,161,56.976628965361044
2020-10-15,163,57.684413176110866
2020-10-16,163,57.684413176110866
2020-10-17,163,57.684413176110866
2020-10-18,165,58.392197386860694
2020-10-19,165,58.392197386860694
2020-10-20,167,59.09998159761052
2020-10-21,172,60.86944212448509
2020-10-22,179,63.34668686210948
2020-10-23,179,63.34668686210948
2020-10-24,180,63.7005789674844
2020-10-25,180,63.7005789674844
2020-10-26,180,63.7005789674844
2020-10-27,180,63.7005789674844
2020-10-28,182,64.40836317823423
2020-10-29,185,65.47003949435896
2020-10-30,186,65.82393159973387
2020-10-31,187,66.17782370510879
2020-11-01,187,66.17782370510879
2020-11-02,187,66.17782370510879
2020-11-03,195,69.00896054810809
2020-11-04,195,69.00896054810809
2020-11-05,195,69.00896054810809
2020-11-06,195,69.00896054810809
2020-11-07,199,70.42452896960775
2020-11-08,200,70.77842107498266
2020-11-09,200,70.77842107498266
2020-11-10,201,71.13231318035757
2020-11-11,204,72.19398949648232
2020-11-12,204,72.19398949648232
2020-11-13,205,72.54788160185723
2020-11-14,206,72.90177370723214
2020-11-15,211,74.6712342341067
2020-11-16,211,74.6712342341067
2020-11-17,214,75.73291055023145
2020-11-18,216,76.44069476098127
2020-11-19,219,77.502371077106
2020-11-20,223,78.91793949860566
2020-11-21,223,78.91793949860566
2020-11-22,224,79.27183160398057
2020-11-23,224,79.27183160398057
2020-11-24,226,79.97961581473041
2020-11-25,230,81.39518423623007
2020-11-26,236,83.51853686847954
2020-11-27,237,83.87242897385445
2020-11-28,237,83.87242897385445
2020-11-29,237,83.87242897385445
2020-11-30,237,83.87242897385445
2020-12-01,239,84.58021318460428
2020-12-02,250,88.47302634372832
2020-12-03,257,90.95027108135271
2020-12-04,264,93.42751581897711
2020-12-05,273,96.61254476735132
2020-12-06,275,97.32032897810116
2020-12-07,275,97.32032897810116
2020-12-08,277,98.02811318885098
2020-12-09,280,99.08978950497573
2020-12-10,285,100.8592500318503
2020-12-11,287,101.56703424260012
2020-12-12,290,102.62871055872486
2020-12-13,291,102.98260266409977
2020-12-14,291,102.98260266409977
2020-12-15,293,103.6903868748496
2020-12-16,297,105.10595529634925
2020-12-17,301,106.52152371784891
2020-12-18,304,107.58320003397364
2020-12-19,308,108.9987684554733
2020-12-20,308,108.9987684554733
2020-12-21,308,108.9987684554733
2020-12-22,314,111.12212108772277
2020-12-23,318,112.53768950922243
2020-12-24,320,113.24547371997225
2020-12-25,324,114.66104214147191
2020-12-26,324,114.66104214147191
2020-12-27,326,115.36882635222173
2020-12-28,329,116.43050266834648
2020-12-29,335,118.55385530059596
2020-12-30,341,120.67720793284543
2020-12-31,344,121.73888424897018
2021-01-01,344,121.73888424897018
2021-01-02,347,122.80056056509491
2021-01-03,347,122.80056056509491
2021-01-04,347,122.80056056509491
2021-01-05,352,124.57002109196948
2021-01-06,354,125.2778053027193
2021-01-07,357,126.33948161884405
2021-01-08,359,127.04726582959387
2021-01-09,361,127.7550500403437
2021-01-10,361,127.7550500403437
2021-01-11,362,128.1089421457186
2021-01-12,365,129.17061846184336
2021-01-13,367,129.87840267259318
2021-01-14,369,130.586186883343
2021-01-15,370,130.94007898871791
2021-01-16,373,132.00175530484265
2021-01-17,373,132.00175530484265
2021-01-18,373,132.00175530484265
2021-01-19,373,132.00175530484265
2021-01-20,377,133.41732372634232
2021-01-21,380,134.47900004246705
2021-01-22,382,135.18678425321687
2021-01-23,384,135.8945684639667
2021-01-24,385,136.24846056934163
2021-01-25,386,136.60235267471654
2021-01-26,389,137.66402899084127
2021-01-27,391,138.3718132015911
2021-01-28,396,140.14127372846568
2021-01-29,399,141.2029500445904
2021-01-30,400,141.55684214996532
2021-01-31,401,141.91073425534023
2021-02-01,401,141.91073425534023
2021-02-02,401,141.91073425534023
2021-02-03,403,142.61851846609005
2021-02-04,405,143.32630267683987
2021-02-05,405,143.32630267683987
2021-02-06,406,143.6801947822148
2021-02-07,410,145.09576320371445
2021-02-08,411,145.44965530908937
2021-02-09,412,145.80354741446428
2021-02-10,416,147.21911583596392
2021-02-11,418,147.92690004671377
2021-02-12,422,149.3424684682134
2021-02-13,424,150.05025267896323
2021-02-14,425,150.40414478433814
2021-02-15,425,150.40414478433814
2021-02-16,425,150.40414478433814
