Dates,pcr_target_flowpop_lin,cumulative_death_JH,pcr_target_flowpop_lin_log10,cumulative_death_JH_log10
0,50199076.21,140,7.700695725,2.146128036
1,43672075.45,142,7.640203832,2.152288344
2,36355072.42,143,7.560565014,2.155336037
3,18318277.09,147,7.262884624,2.167317335
4,14126424.55,148,7.150032254,2.170261715
5,20487637.82,149,7.311491888,2.173186268
6,12328443.6,123,7.090908253,2.089905111
7,18705525.21,123,7.271969907,2.089905111
8,6672096.62,123,6.824262327,2.089905111
9,10112679.92,123,7.004866261,2.089905111
10,21985847.25,125,7.342143206,2.096910013
11,13869215.43,126,7.142051894,2.100370545
12,9701708.91,126,6.98684824,2.100370545
13,5806933.87,126,6.76394688,2.100370545
14,2090589.96,126,6.32026886,2.100370545
15,2331853.67,126,6.367701294,2.100370545
16,3812013.12,126,6.581154387,2.100370545
17,3369991.2,126,6.527628766,2.100370545
18,1080105.77,128,6.033466286,2.10720997
19,2638836.13,128,6.421412422,2.10720997
20,4826215.91,128,6.683606747,2.10720997
21,3959061.28,128,6.597592225,2.10720997
22,4729287.29,117,6.674795697,2.068185862
23,6517676.14,120,6.814092777,2.079181246
24,1350900.35,130,6.130623315,2.113943352
25,3587722.78,136,6.554818878,2.133538908
26,56362280.6,137,7.750988558,2.136720567
27,2814207.19,137,6.449356069,2.136720567
28,10210070.62,140,7.009028746,2.146128036
29,5799768.94,142,6.763410692,2.152288344
30,18890746.54,143,7.276249121,2.155336037
31,13278252.36,147,7.123140918,2.167317335
32,15002743.19,148,7.176170675,2.170261715
33,7646608.09,149,6.883468832,2.173186268
34,10580949.99,131,7.024524662,2.117271296
35,27792293.81,131,7.443924392,2.117271296
36,9907525.46,131,6.995965197,2.117271296
37,44862270.46,131,7.651881249,2.117271296
38,45673850.56,133,7.659667627,2.123851641
39,20578414.4,135,7.313411909,2.130333768
40,34422968.98,135,7.536848325,2.130333768
41,30983474.26,135,7.491130115,2.130333768
42,33346511.58,135,7.523050409,2.130333768
43,82162669.06,135,7.914674539,2.130333768
44,83038901.77,135,7.919281597,2.130333768
45,1058358183,135,9.024632672,2.130333768
46,192705008.2,136,8.284893002,2.133538908
47,1100870096,136,9.041736075,2.133538908
48,1046937647,136,9.019920817,2.133538908
49,153878954.4,136,8.187179227,2.133538908
50,104927559,136,8.02088957,2.133538908
51,74030075.94,136,7.869408195,2.133538908
52,846440260.1,136,8.927596312,2.133538908
53,81179941.29,117,7.909448733,2.068185862
54,162000490.4,124,8.209516329,2.093421685
55,992503275.1,130,8.996731949,2.113943352
56,151449862,136,8.180268882,2.133538908
57,1531593173,137,9.185143422,2.136720567
58,86984080.36,137,7.939439776,2.136720567
59,843068459.9,140,8.925862842,2.146128036
60,395497109.3,142,8.597143314,2.152288344
61,866526827.2,143,8.937782013,2.155336037
62,1006094719,147,9.002638869,2.167317335
63,1169141361,148,9.067867025,2.170261715
64,1236789387,149,9.09229575,2.173186268
65,78381420.35,134,7.894213129,2.127104798
66,82605664.01,134,7.917009827,2.127104798
67,1006477342,134,9.002804002,2.127104798
68,111319598.3,134,8.046571631,2.127104798
69,1009038597,134,9.003907779,2.127104798
70,719117448,134,8.856799826,2.127104798
71,136982580.9,134,8.136665344,2.127104798
72,99885993.47,134,7.999504593,2.127104798
73,77543644.79,134,7.88954621,2.127104798
74,107757807.9,134,8.032448748,2.127104798
75,99264783.64,134,7.9967952,2.127104798
76,651183751.3,134,8.813703555,2.127104798
77,2382808688,134,9.377089175,2.127104798
78,24555481.8,135,7.39014846,2.130333768
79,103507480,135,8.014971735,2.130333768
80,38040602.21,135,7.580247383,2.130333768
81,1013578230,137,9.005857274,2.136720567
82,119076648.4,137,8.075826602,2.136720567
83,134241723,117,8.127887518,2.068185862
84,146553782.9,124,8.165997033,2.093421685
85,765675956.4,130,8.88404501,2.113943352
86,57277862.23,136,7.757986801,2.133538908
87,111877390,137,8.048742326,2.136720567
88,142162675.1,137,8.152785587,2.136720567
89,793470289.8,140,8.89953067,2.146128036
90,47998337.18,142,7.681226192,2.152288344
91,229980290.8,143,8.361690619,2.155336037
92,29353251.88,147,7.467656221,2.167317335
