date_cc,cc_data,0,date_ww,ww_data,paper_data,,,ww_data_lowess,cc_data_lowess
05/10/2020,9,1.494354077,06/07/2020,102000000,10,06/10/2020,,24336202.25,1.494354077
06/10/2020,8,3.511605555,13/07/2020,162000000,17,07/10/2020,,26505913.69,3.511605555
07/10/2020,7,5.583218867,20/07/2020,92200000,36,08/10/2020,,28402017.34,5.583218867
08/10/2020,9,7.693166695,27/07/2020,109000000,34,09/10/2020,,30299881.73,7.693166695
09/10/2020,14,9.829310248,03/08/2020,99900000,26,10/10/2020,,32072287.1,9.829310248
10/10/2020,8,11.87097676,10/08/2020,21600000,24,11/10/2020,,33522310.77,11.87097676
11/10/2020,8,13.53898306,17/08/2020,77400000,20,12/10/2020,,34753232.11,13.53898306
12/10/2020,17,14.97854503,24/08/2020,57500000,10,13/10/2020,,36019458.77,14.97854503
13/10/2020,14,16.50390425,31/08/2020,25400000,10,14/10/2020,,37604769.29,16.50390425
14/10/2020,13,18.33755883,07/09/2020,94800000,40,15/10/2020,,39741270.63,18.33755883
15/10/2020,8,20.55061151,14/09/2020,8561003.174,43,16/10/2020,,42553973.53,20.55061151
16/10/2020,9,23.11621636,21/09/2020,3091152.206,28,17/10/2020,,46037391.86,23.11621636
17/10/2020,10,25.97250221,01/10/2020,33100000,40,18/10/2020,,50083635.56,25.97250221
18/10/2020,8,29.05994144,05/10/2020,37300000,29,19/10/2020,,54522113.85,29.05994144
19/10/2020,19,32.35161338,12/10/2020,17600000,10,20/10/2020,,59179229.7,32.35161338
20/10/2020,22,35.91120353,20/10/2020,50600000,7,21/10/2020,,63965909.48,35.91120353
21/10/2020,29,39.83388,02/11/2020,161000000,63,22/10/2020,,69006882.07,39.83388
22/10/2020,65,44.17857173,09/11/2020,140000000,36,23/10/2020,,74577435.86,44.17857173
23/10/2020,68,48.95019005,16/11/2020,48900000,32,24/10/2020,,80814160.37,48.95019005
24/10/2020,40,54.09629203,23/11/2020,239000000,52,25/10/2020,,87716546.2,54.09629203
25/10/2020,51,59.53408696,30/11/2020,263000000,29,26/10/2020,,95189145.87,59.53408696
26/10/2020,92,65.15859592,07/12/2020,143000000,18,27/10/2020,,103071637.1,65.15859592
27/10/2020,69,70.83071258,14/12/2020,168000000,9,28/10/2020,,111155509.7,70.83071258
28/10/2020,84,76.50901814,21/12/2020,75700000,28,29/10/2020,,119197670.6,76.50901814
29/10/2020,77,82.39188749,28/12/2020,19200000,32,30/10/2020,,126946808.4,82.39188749
30/10/2020,58,88.3291646,04/01/2021,225000000,42,31/10/2020,,134178415.7,88.3291646
31/10/2020,58,94.17066678,11/01/2021,150000000,33,01/11/2020,,140751636.9,94.17066678
01/11/2020,88,99.59600273,18/01/2021,202000000,34,02/11/2020,,146693152.3,99.59600273
02/11/2020,114,104.3843689,25/01/2021,156000000,22,03/11/2020,,152280932.2,104.3843689
03/11/2020,103,108.5469728,01/02/2021,21100000,4,04/11/2020,,157960281.7,108.5469728
04/11/2020,126,112.250585,08/02/2021,21500000,27,05/11/2020,,164338504.8,112.250585
05/11/2020,127,115.669729,15/02/2021,17900000,19,06/11/2020,,171507185.6,115.669729
06/11/2020,120,119.0591026,22/02/2021,22200000,21,07/11/2020,,179160575.2,119.0591026
07/11/2020,83,122.8965461,01/03/2021,11800000,31,08/11/2020,,186822085.1,122.8965461
08/11/2020,66,126.8168207,08/03/2021,9411550.694,25,09/11/2020,,194011402.4,126.8168207
09/11/2020,160,130.0753495,15/03/2021,133000000,12,10/11/2020,,200367753.5,130.0753495
10/11/2020,189,132.128711,22/03/2021,15100000,11,11/11/2020,,205739211.2,132.128711
11/11/2020,144,132.9521668,29/03/2021,23900000,27,12/11/2020,,210160924.7,132.9521668
12/11/2020,140,132.9481723,05/04/2021,73400000,24,13/11/2020,,213805688.4,132.9481723
13/11/2020,159,132.5676707,12/04/2021,8656599.038,29,14/11/2020,,216909892.5,132.5676707
14/11/2020,77,131.8312611,19/04/2021,28100000,29,15/11/2020,,219666868.6,131.8312611
15/11/2020,70,130.4763991,26/04/2021,10400000,34,16/11/2020,,222240773.5,130.4763991
16/11/2020,157,127.9144334,03/05/2021,5480441.767,12,17/11/2020,,225069553.7,127.9144334
17/11/2020,158,124.0032002,10/05/2021,26900000,8,18/11/2020,,228204803.2,124.0032002
18/11/2020,148,119.0884271,17/05/2021,29700000,36,19/11/2020,,231349552.9,119.0884271
19/11/2020,133,113.8467031,24/05/2021,9021913,53,20/11/2020,,234076839.1,113.8467031
20/11/2020,127,109.1000567,31/05/2021,36600000,58,21/11/2020,,235977806.3,109.1000567
21/11/2020,63,105.5236613,07/06/2021,3595351.989,80,22/11/2020,,236755662.6,105.5236613
22/11/2020,62,103.2689458,14/06/2021,29900000,92,23/11/2020,,236293594.3,103.2689458
23/11/2020,146,101.6643438,21/06/2021,1095264.637,47,24/11/2020,,234675550.8,101.6643438
24/11/2020,138,100.4764233,28/06/2021,27900000,19,25/11/2020,,232146915.8,100.4764233
25/11/2020,109,100.1409498,05/07/2021,53200000,78,26/11/2020,,229044783,100.1409498
26/11/2020,47,100.7943708,12/07/2021,28500000,85,27/11/2020,,225681973.8,100.7943708
27/11/2020,82,102.2217951,19/07/2021,20400000,96,28/11/2020,,222170810.4,102.2217951
28/11/2020,72,103.9569254,26/07/2021,38500000,117,29/11/2020,,218410282.2,103.9569254
29/11/2020,72,105.4145676,02/08/2021,24000000,153,30/11/2020,,214365609.4,105.4145676
30/11/2020,145,106.0995972,09/08/2021,18100000,60,01/12/2020,,209893507.1,106.0995972
01/12/2020,158,105.8752513,16/08/2021,20900000,54,02/12/2020,,204803660.4,105.8752513
02/12/2020,121,105.2034722,23/08/2021,55200000,163,03/12/2020,,198946904.5,105.2034722
03/12/2020,118,104.3963733,30/08/2021,30500000,173,04/12/2020,,192275854,104.3963733
04/12/2020,111,103.4819079,06/09/2021,48100000,177,05/12/2020,,184884772.8,103.4819079
05/12/2020,60,102.358784,13/09/2021,45400000,215,06/12/2020,,177022330.9,102.358784
06/12/2020,68,100.9088771,20/09/2021,15200000,221,07/12/2020,,169035328.4,100.9088771
07/12/2020,127,99.10330171,27/09/2021,8970613.711,113,08/12/2020,,161282418.6,99.10330171
08/12/2020,116,97.05397001,04/10/2021,3972943.73,68,09/12/2020,,154007182.5,97.05397001
09/12/2020,113,94.96507472,11/10/2021,3746522.488,239,10/12/2020,,147162868.2,94.96507472
10/12/2020,106,92.99616334,18/10/2021,4871786.618,203,11/12/2020,,140296819.8,92.99616334
11/12/2020,91,91.08491781,25/10/2021,932163.098,352,12/12/2020,,132487864.6,91.08491781
12/12/2020,54,89.0696005,01/11/2021,909480.1025,216,13/12/2020,,123146138.7,89.0696005
13/12/2020,56,86.73069591,08/11/2021,6735101.132,336,14/12/2020,,112484110.5,86.73069591
14/12/2020,101,84.11386859,15/11/2021,6697456.591,525,15/12/2020,,101135720.3,84.11386859
15/12/2020,100,81.43678378,22/11/2021,4494384.522,139,16/12/2020,,89866263.75,81.43678378
16/12/2020,89,78.93403197,29/11/2021,16500000,342,17/12/2020,,79385240.17,78.93403197
17/12/2020,89,76.75491708,06/12/2021,10500000,359,18/12/2020,,70222680.57,76.75491708
18/12/2020,92,74.9360342,13/12/2021,10700000,486,19/12/2020,,62668182.78,74.9360342
19/12/2020,57,73.41975227,20/12/2021,56600000,459,20/12/2020,,56800416.84,73.41975227
20/12/2020,61,72.09890961,27/12/2021,72700000,360,21/12/2020,,52518752.31,72.09890961
21/12/2020,96,70.90907129,03/01/2022,34200000,227,22/12/2020,,49579587.93,70.90907129
22/12/2020,96,69.8684454,10/01/2022,181000000,161,23/12/2020,,47651493.34,69.8684454
23/12/2020,82,69.14402724,17/01/2022,226000000,264,24/12/2020,,46511306.7,69.14402724
24/12/2020,42,68.89394808,24/01/2022,100000000,304,25/12/2020,,46449043.41,68.89394808
25/12/2020,22,69.13679245,31/01/2022,25000000,443,26/12/2020,,47877276.07,69.13679245
26/12/2020,49,69.70576735,07/02/2022,10900000,385,27/12/2020,,51105238.31,69.70576735
27/12/2020,59,70.3272732,14/02/2022,984009.9447,278,28/12/2020,,56258744.26,70.3272732
28/12/2020,74,70.79535641,21/02/2022,2741561.721,132,29/12/2020,,63229977.1,70.79535641
29/12/2020,92,71.20499556,28/02/2022,1087703.638,188,30/12/2020,,71643588.85,71.20499556
30/12/2020,68,71.87562241,07/03/2022,1999344.026,262,31/12/2020,,80855697.49,71.87562241
31/12/2020,82,73.28186875,14/03/2022,3363166.926,322,01/01/2021,,90054924.62,73.28186875
01/01/2021,57,75.35385849,21/03/2022,982929.802,280,02/01/2021,,98421888.61,75.35385849
02/01/2021,66,77.64825011,28/03/2022,1168714.336,216,03/01/2021,,105373472.1,77.64825011
03/01/2021,64,79.6406056,04/04/2022,3712306.708,247,04/01/2021,,110913855.6,79.6406056
04/01/2021,143,80.92105347,11/04/2022,3684119.396,126,05/01/2021,,115933003.5,80.92105347
05/01/2021,125,81.30063111,18/04/2022,6446852.547,86,06/01/2021,,121450155.8,81.30063111
06/01/2021,89,80.85076538,25/04/2022,4483346.855,216,07/01/2021,,128293793.5,80.85076538
07/01/2021,68,79.8986773,02/05/2022,5744791.959,285,08/01/2021,,136423992.3,79.8986773
08/01/2021,84,78.58817588,09/05/2022,6871728.565,234,09/01/2021,,145244821.4,78.58817588
09/01/2021,56,76.68035512,16/05/2022,8261107.7,200,10/01/2021,,153949498.7,76.68035512
10/01/2021,44,74.01493108,23/05/2022,3390573.828,167,11/01/2021,,161758363.8,74.01493108
11/01/2021,76,70.62257159,30/05/2022,30800000,162,12/01/2021,,168072352.6,70.62257159
12/01/2021,83,66.74721927,06/06/2022,4087559.464,80,13/01/2021,,172565311,66.74721927
13/01/2021,59,62.82502712,13/06/2022,20500000,234,14/01/2021,,175175839,62.82502712
14/01/2021,66,59.33740409,20/06/2022,20400000,226,15/01/2021,,176066074.4,59.33740409
15/01/2021,57,56.555662,27/06/2022,14200000,242,16/01/2021,,175560651.7,56.555662
16/01/2021,41,54.20504209,04/07/2022,29600000,205,17/01/2021,,174051320.3,54.20504209
17/01/2021,48,51.89603252,11/07/2022,20800000,231,18/01/2021,,171710631.2,51.89603252
18/01/2021,64,49.52453059,18/07/2022,8647600.856,154,19/01/2021,,168088470.8,49.52453059
19/01/2021,55,47.17574314,25/07/2022,7646915.367,105,20/01/2021,,162787356.5,47.17574314
20/01/2021,66,45.00667175,01/08/2022,4208999.757,272,21/01/2021,,155635306.7,45.00667175
21/01/2021,44,43.12421169,08/08/2022,34900000,218,22/01/2021,,146671854,43.12421169
22/01/2021,42,41.51755841,15/08/2022,12700000,268,23/01/2021,,136136175.5,41.51755841
23/01/2021,26,40.07622603,22/08/2022,5489790.201,217,24/01/2021,,124468309.2,40.07622603
24/01/2021,25,38.67438907,29/08/2022,1031536.221,242,25/01/2021,,112313284.3,38.67438907
25/01/2021,38,37.29955421,05/09/2022,7540391.038,141,26/01/2021,,100445980.7,37.29955421
26/01/2021,40,36.01572676,12/09/2022,3564248.927,135,27/01/2021,,89648178.24,36.01572676
27/01/2021,36,34.86449608,19/09/2022,936483.6685,263,28/01/2021,,80521142.07,34.86449608
28/01/2021,36,33.90238081,26/09/2022,5701045.537,275,29/01/2021,,73197587.3,33.90238081
29/01/2021,54,33.15686389,03/10/2022,918121.2436,221,30/01/2021,,66973238.46,33.15686389
30/01/2021,31,32.59598836,10/10/2022,933243.2406,279,31/01/2021,,60921640.27,32.59598836
31/01/2021,22,32.11739543,17/10/2022,865194.2543,245,01/02/2021,,54766283.74,32.11739543
01/02/2021,38,31.58225495,24/10/2022,1780549.027,136,02/02/2021,,48569881.49,31.58225495
02/02/2021,32,30.8899868,31/10/2022,1107146.206,132,03/02/2021,,42590810.44,30.8899868
03/02/2021,36,30.08806087,07/11/2022,991570.9431,253,04/02/2021,,37130374.01,30.08806087
04/02/2021,31,29.26121816,14/11/2022,3606885.138,285,05/02/2021,,32425620.96,29.26121816
05/02/2021,39,28.36976907,21/11/2022,1901647.853,315,06/02/2021,,28579627.97,28.36976907
06/02/2021,14,27.43457934,28/11/2022,6082993.289,240,07/02/2021,,25527484.31,27.43457934
07/02/2021,17,26.5127489,05/12/2022,4758611.469,265,08/02/2021,,23068240.61,26.5127489
08/02/2021,30,25.65767054,12/12/2022,921361.6716,154,09/02/2021,,20928686.32,25.65767054
09/02/2021,28,24.89655075,19/12/2022,894358.1056,150,10/02/2021,,18860989.21,24.89655075
10/02/2021,27,24.22719615,02/01/2023,2729217.725,302,11/02/2021,,16782208.98,24.22719615
11/02/2021,25,23.62807126,09/01/2023,1106066.063,269,12/02/2021,,14867042.96,23.62807126
12/02/2021,38,23.07626477,16/01/2023,9845024.265,265,13/02/2021,,13280047.65,23.07626477
