date,wtp_name,concentration,pcr,target,county_name,,cc_data,,ww,,,ww_data,,Rt_cc,,Rt_ww
06/07/2020,119,41100000,sars-cov-2,n2 and n1,29019,,5,,41100000,,,41100000,,1.509758161,,1.467455104
14/09/2020,119,222000000,sars-cov-2,n2 and n1,29019,,7,,83500000,,,83500000,,1.364437697,,1.327537948
19/10/2020,119,98200000,sars-cov-2,n2 and n1,29019,,8,,102000000,,,102000000,,1.297993267,,1.267565103
26/10/2020,119,89200000,sars-cov-2,n2 and n1,29019,,5,,79100000,,,79100000,,1.262759205,,1.23718352
28/12/2020,119,297000000,sars-cov-2,n2 and n1,29019,,5,,43900000,,,43900000,,1.23955961,,1.216872119
25/01/2021,119,70000000,sars-cov-2,n2 and n1,29019,,6,,142000000,,,142000000,,1.22060462,,1.199249491
09/02/2021,119,32500000,sars-cov-2,n2 and n1,29019,,7,,219000000,,,219000000,,1.202584687,,1.182518012
18/02/2021,119,96900000,sars-cov-2,n2 and n1,29019,,5,,266000000,,,266000000,,1.183425923,,1.167322134
25/03/2021,119,88300000,sars-cov-2,n2 and n1,29019,,8,,345000000,,,345000000,,1.162855235,,1.154434961
03/05/2021,119,11900000,sars-cov-2,n2 and n1,29019,,6,,145000000,,,145000000,,1.142333419,,1.143984418
05/07/2021,119,137000000,sars-cov-2,n2 and n1,29019,,9,,222000000,,,222000000,,1.123467443,,1.135554739
19/07/2021,119,181000000,sars-cov-2,n2 and n1,29019,,11,,71900000,,,71900000,,1.106735369,,1.128421548
26/07/2021,119,161000000,sars-cov-2,n2 and n1,29019,,12,,54900000,,,54900000,,1.091551984,,1.121645439
20/09/2021,119,25400000,sars-cov-2,n2 and n1,29019,,17,,82700000,,,82700000,,1.076875053,,1.113999207
04/10/2021,119,14400000,sars-cov-2,n2 and n1,29019,,18,,83500000,,,83500000,,1.061750008,,1.104324172
18/10/2021,119,22100000,sars-cov-2,n2 and n1,29019,,7,,98200000,,,98200000,,1.045538413,,1.092290073
29/11/2021,119,49600000,sars-cov-2,n2 and n1,29019,,13,,89200000,,,89200000,,1.027722663,,1.07846731
13/12/2021,119,160000000,sars-cov-2,n2 and n1,29019,,25,,305000000,,,305000000,,1.008129924,,1.063909436
27/12/2021,119,94800000,sars-cov-2,n2 and n1,29019,,14,,168000000,,,168000000,,0.987109673,,1.049640953
03/01/2022,119,185000000,sars-cov-2,n2 and n1,29019,,12,,213000000,,,213000000,,0.965042346,,1.036366443
24/01/2022,119,233000000,sars-cov-2,n2 and n1,29019,,9,,413000000,,,413000000,,0.942772255,,1.024422199
07/02/2022,119,37700000,sars-cov-2,n2 and n1,29019,,8,,296000000,,,296000000,,0.921400601,,1.013635174
21/02/2022,119,19900000,sars-cov-2,n2 and n1,29019,,7,,193000000,,,193000000,,0.901382576,,1.00337533
18/04/2022,119,10900000,sars-cov-2,n2 and n1,29019,,8,,516000000,,,516000000,,0.88315904,,0.992773519
02/05/2022,119,21600000,sars-cov-2,n2 and n1,29019,,9,,273000000,,,273000000,,0.867548391,,0.98100772
09/05/2022,119,32200000,sars-cov-2,n2 and n1,29019,,5,,297000000,,,297000000,,0.855774257,,0.967632683
06/06/2022,119,26700000,sars-cov-2,n2 and n1,29019,,7,,502000000,,,502000000,,0.849524723,,0.952772352
18/07/2022,119,29900000,sars-cov-2,n2 and n1,29019,,6,,227000000,,,227000000,,0.849321308,,0.937050636
08/08/2022,119,36300000,sars-cov-2,n2 and n1,29019,,5,,211000000,,,211000000,,0.853721446,,0.921597661
22/08/2022,119,21200000,sars-cov-2,n2 and n1,29019,,6,,70000000,,,70000000,,0.859978549,,0.907830527
29/08/2022,119,13900000,sars-cov-2,n2 and n1,29019,,5,,65200000,,,65200000,,0.865992914,,0.896898538
