,date,cc_data,,dates,I
sc_884,2020-11-24,7,,2020-11-24,2.404948134
sc_884,2020-11-25,10,,2020-11-25,7.07877814
sc_884,2020-11-26,6,,2020-11-26,11.73292628
sc_884,2020-11-27,14,,2020-11-27,16.37183714
sc_884,2020-11-28,13,,2020-11-28,20.9992469
sc_884,2020-11-29,26,,2020-11-29,25.61817021
sc_884,2020-11-30,34,,2020-11-30,30.26876304
sc_884,2020-12-01,50,,2020-12-01,35.30740332
sc_884,2020-12-02,34,,2020-12-02,40.86933266
sc_884,2020-12-03,50,,2020-12-03,46.71501611
sc_884,2020-12-04,77,,2020-12-04,52.50983836
sc_884,2020-12-05,111,,2020-12-05,57.99237567
sc_884,2020-12-06,58,,2020-12-06,63.02788741
sc_884,2020-12-07,56,,2020-12-07,67.59290603
sc_884,2020-12-08,72,,2020-12-08,71.7275755
sc_884,2020-12-09,56,,2020-12-09,75.49663211
sc_884,2020-12-10,106,,2020-12-10,78.96522787
sc_884,2020-12-11,182,,2020-12-11,82.14785066
sc_884,2020-12-12,113,,2020-12-12,84.91524549
sc_884,2020-12-13,52,,2020-12-13,87.18267996
sc_884,2020-12-14,71,,2020-12-14,88.94501164
sc_884,2020-12-15,130,,2020-12-15,90.24453291
sc_884,2020-12-16,86,,2020-12-16,91.13975223
sc_884,2020-12-17,105,,2020-12-17,91.69145248
sc_884,2020-12-18,109,,2020-12-18,91.96105783
sc_884,2020-12-19,107,,2020-12-19,92.00580183
sc_884,2020-12-20,30,,2020-12-20,91.88944868
sc_884,2020-12-21,25,,2020-12-21,91.69991144
sc_884,2020-12-22,205,,2020-12-22,91.54982805
sc_884,2020-12-23,38,,2020-12-23,91.60390842
sc_884,2020-12-24,186,,2020-12-24,92.16418449
sc_884,2020-12-25,41,,2020-12-25,93.48920187
sc_884,2020-12-26,188,,2020-12-26,95.56705288
sc_884,2020-12-27,120,,2020-12-27,98.08407302
sc_884,2020-12-28,89,,2020-12-28,100.8934382
sc_884,2020-12-29,151,,2020-12-29,103.8768801
sc_884,2020-12-30,164,,2020-12-30,106.8793336
sc_884,2020-12-31,171,,2020-12-31,109.762926
sc_884,2021-01-01,92,,2021-01-01,112.4979814
sc_884,2021-01-02,145,,2021-01-02,115.3406094
sc_884,2021-01-03,170,,2021-01-03,118.7077481
sc_884,2021-01-04,65,,2021-01-04,122.5937185
sc_884,2021-01-05,180,,2021-01-05,126.7160746
sc_884,2021-01-06,179,,2021-01-06,130.7183089
sc_884,2021-01-07,139,,2021-01-07,134.2915141
sc_884,2021-01-08,143,,2021-01-08,137.2393529
sc_884,2021-01-09,37,,2021-01-09,139.488806
sc_884,2021-01-10,52,,2021-01-10,141.0674664
sc_884,2021-01-11,204,,2021-01-11,142.0791233
sc_884,2021-01-12,35,,2021-01-12,142.6683565
sc_884,2021-01-13,414,,2021-01-13,142.9316388
sc_884,2021-01-14,70,,2021-01-14,142.7711545
sc_884,2021-01-15,243,,2021-01-15,142.0189258
sc_884,2021-01-16,126,,2021-01-16,140.5525058
sc_884,2021-01-17,115,,2021-01-17,138.352751
