dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
24/11/2020,2.123822789,,0.966749255,,,1.007356313,,3.537104307,,1.233031545,,1.070240395,,0.957275633,,0.936756576
25/11/2020,1.94055512,,0.98570047,,,0.995543332,,2.995283635,,1.239245801,,1.03643987,,0.947837104,,0.935529553
26/11/2020,1.793146034,,0.999866166,,,0.984472029,,2.605004262,,1.245859975,,1.00522285,,0.941939459,,0.935268661
27/11/2020,1.672479141,,1.008196372,,,0.97455084,,2.32308161,,1.251782303,,0.976720377,,0.938960281,,0.93593701
28/11/2020,1.573419589,,1.01041817,,,0.966178274,,2.11362143,,1.255959997,,0.9516473,,0.93808444,,0.937414264
29/11/2020,1.492971774,,1.007038483,,,0.959481219,,1.952175438,,1.257488137,,0.930616075,,0.938480655,,0.939495879
30/11/2020,1.428260689,,0.999274269,,,0.954320157,,1.823191062,,1.255580346,,0.913690535,,0.939385136,,0.941907718
01/12/2020,1.375988012,,0.988840149,,,0.950505219,,1.715607236,,1.249389691,,0.90034499,,0.940224379,,0.944351884
02/12/2020,1.33272823,,0.977487222,,,0.947851348,,1.622365715,,1.238596262,,0.889619755,,0.940907472,,0.94658981
03/12/2020,1.295366624,,0.966235534,,,0.94614075,,1.54013756,,1.223787282,,0.880304856,,0.942215613,,0.948529626
04/12/2020,1.261433518,,0.955560211,,,0.945091914,,1.467677113,,1.205987255,,0.871112541,,0.945232369,,0.950119517
05/12/2020,1.22906899,,0.945606104,,,0.94445165,,1.40410043,,1.185425312,,0.860969621,,0.950729048,,0.951278016
06/12/2020,1.196781665,,0.936334158,,,0.944276298,,1.348424466,,1.16224924,,0.849569242,,0.958896765,,0.951915248
07/12/2020,1.163873563,,0.927527598,,,0.944857896,,1.299578399,,1.137099305,,0.837616023,,0.969488074,,0.951962263
08/12/2020,1.130540886,,0.919079134,,,0.946421966,,1.256493202,,1.111131364,,0.82655718,,0.982294706,,0.951399784
09/12/2020,1.097527215,,0.911065144,,,0.948996119,,1.218167962,,1.085783363,,0.818070406,,0.997068252,,0.950229575
10/12/2020,1.065532017,,0.903630747,,,0.952439329,,1.183713378,,1.062482538,,0.813583366,,1.013389081,,0.948322318
