dates,,R_gallax,,R_McMullen,,R_Robertson,,R_King,,R_SantaCruz,,R_Kauai
02/01/2020,0,1.903950011,,4.970846701,,4.985546333,,1.942527726,,2.434337571,,3.005045651
03/01/2020,1,1.5384592,,4.959897721,,4.980095926,,1.577350321,,2.038342419,,2.61067942
04/01/2020,2,1.326317556,,4.950883235,,4.975599405,,1.365198186,,1.796736048,,2.355181133
05/01/2020,3,1.198779174,,4.944004946,,4.972162895,,1.237762829,,1.647274187,,2.191039796
06/01/2020,4,1.118935428,,4.938952732,,4.96963566,,1.158162846,,1.552204068,,2.084094855
07/01/2020,5,1.067443655,,4.935328101,,4.967820933,,1.106998497,,1.490385133,,2.01346333
08/01/2020,6,1.033566982,,4.932769282,,4.966539014,,1.073477964,,1.449578166,,1.966358678
09/01/2020,7,1.010990465,,4.930984093,,4.965644273,,1.051250134,,1.422383752,,1.934752454
10/01/2020,8,0.995821468,,4.92974987,,4.965025488,,1.036404176,,1.404160331,,1.913475575
11/01/2020,9,0.985574727,,4.928902681,,4.964600654,,1.026449896,,1.391914295,,1.899133633
12/01/2020,10,0.97862372,,4.928324554,,4.964310703,,1.019764152,,1.383677033,,1.889466591
13/01/2020,11,0.973886521,,4.92793195,,4.964113778,,1.015272452,,1.378137425,,1.88295639
14/01/2020,12,0.97063675,,4.927666428,,4.963980588,,1.012256636,,1.374415516,,1.878578269
15/01/2020,13,0.968384445,,4.927487485,,4.963890822,,1.010234082,,1.371918294,,1.87563891
16/01/2020,14,0.966798714,,4.927367256,,4.963830509,,1.008879617,,1.370245446,,1.873669051
17/01/2020,15,0.965656501,,4.927286691,,4.963790092,,1.007973993,,1.369126718,,1.872351322
18/01/2020,16,0.964808178,,4.927232832,,4.963763072,,1.242231254,,1.632575725,,1.871471404
19/01/2020,17,0.964154256,,4.927196901,,4.963745047,,1.691665935,,2.131591612,,2.012321944
20/01/2020,18,0.963629553,,4.927172976,,4.963733044,,2.242921077,,2.714963672,,2.278449615
21/01/2020,19,0.963192386,,4.927157071,,4.963725065,,2.706067745,,3.153827937,,2.598329059
22/01/2020,20,0.962817033,,4.927146514,,4.963719768,,2.947883268,,3.319787873,,2.871184901
23/01/2020,21,0.962488314,,4.927139517,,4.963716258,,2.976713419,,3.258756057,,3.019404706
24/01/2020,22,0.962197609,,4.927134884,,4.963713934,,2.876475571,,3.081838694,,3.029749855
25/01/2020,23,0.961939847,,4.927131821,,4.963712397,,2.657119944,,2.803684066,,2.939803637
26/01/2020,24,0.961711159,,4.927129798,,4.963711382,,2.415134225,,2.52093068,,2.742666451
27/01/2020,25,0.961506885,,4.927128463,,4.963710712,,2.200115599,,2.278892327,,2.514309279
28/01/2020,26,0.961319923,,4.927127582,,4.96371027,,2.023711881,,2.084506305,,2.302759009
29/01/2020,27,0.961140305,,4.927127003,,4.96370998,,1.882684418,,1.931192764,,2.123693092
30/01/2020,28,0.960955475,,4.927126621,,4.963709788,,1.770303803,,1.810137559,,1.977218011
31/01/2020,29,0.960750849,,4.92712637,,4.963709662,,1.680166588,,1.713671601,,1.858486741
01/02/2020,30,0.960510502,,4.927126205,,4.963709579,,1.607099428,,1.635845617,,1.762002321
02/02/2020,31,0.960217937,,4.927126096,,4.963709525,,1.547147469,,1.572217696,,1.682976769
03/02/2020,32,0.959856973,,4.927126025,,4.963709489,,1.497342138,,1.519504878,,1.617586546
04/02/2020,33,0.95941268,,4.927125979,,4.963709466,,1.455461769,,1.475276758,,1.562878279
05/02/2020,34,0.958871529,,4.927125948,,4.96370945,,1.419837762,,1.437722358,,1.516597258
06/02/2020,35,0.958221358,,4.927125928,,4.96370944,,1.389210046,,1.405482053,,1.477026415
07/02/2020,36,0.957451683,,4.927125915,,4.963709434,,1.362623427,,1.377529461,,1.442857872
08/02/2020,37,0.956554719,,4.927125906,,4.963709429,,1.339355452,,1.353090221,,1.413097801
09/02/2020,38,0.955527689,,4.9271259,,4.963709427,,1.318868212,,1.331587974,,1.386999721
10/02/2020,39,0.954377335,,4.927125897,,4.963709425,,1.300778295,,1.312610508,,1.364020516
11/02/2020,40,0.95312804,,4.927125894,,4.963709424,,1.284839343,,1.29588977,,1.343792867
12/02/2020,41,0.951835299,,4.927125893,,4.963709423,,1.270929105,,1.28128715,,1.326104733
