Dates,Galax,McMullen,Robertson,King,SantaCruz,Kauai
0,0.032689916,0.165977099,-0.218183343,0.226252342,-1.043850543,-0.046429326
1,0.031236851,0.14090262,-0.277779999,0.183815151,23.66346756,-0.049369338
2,0.029876102,0.122184071,-0.382722451,0.1546634,0.953416041,-0.052678717
3,0.028599903,0.107664485,-0.616757176,0.133396925,0.484819791,-0.056427147
4,0.027401574,0.096063805,-1.600294961,0.11719348,0.324209411,-0.060703371
5,0.026275364,0.086574465,2.649938951,0.104434534,0.243000422,-0.065622156
6,0.025216319,0.078661895,0.721412676,0.094125281,0.193948413,-0.071334535
7,0.024220166,0.071958232,0.416253877,0.085620263,0.161085838,-0.078043184
8,0.023283232,0.066202111,0.29180755,0.078481913,0.137514933,-0.086026321
9,0.022402334,0.061202795,0.224177731,0.072402521,0.119768827,-0.095676939
10,0.02157467,0.056817895,0.181656773,0.067159421,0.105914416,-0.107565336
11,0.020797932,0.052939025,0.15242983,0.062587436,0.094788688,-0.122559044
12,0.020070205,0.04948229,0.131089686,0.058562547,0.085650154,-0.142045537
13,0.019389832,0.046381798,0.114811679,0.05498987,0.078003907,-0.168387535
14,0.018754624,0.043585138,0.101976474,0.051795418,0.071506997,-0.20595834
15,0.018160313,0.04105017,0.091589241,0.04892078,0.065914412,-0.263856805
16,0.017602307,0.03874269,0.083005189,0.04631929,0.061046495,-0.364651827
17,0.017077477,0.036634716,0.07578816,0.04395332,0.056768411,-0.583953622
18,0.016582794,0.034703218,0.069632671,0.041792192,0.052977036,-1.428197112
19,0.01611533,0.032929149,0.064318485,0.039810432,0.049592458,3.394184161
20,0.015671917,0.031296715,0.059682926,0.037987017,0.046551753,0.786115603
21,0.015247711,0.029792816,0.055603336,0.036304224,0.043804727,0.447963016
22,0.014839739,0.028406615,0.051985466,0.034746838,0.04131071,0.31490197
23,0.014445809,0.027129212,0.048755504,0.033301595,0.039036518,0.24377289
24,0.014063913,0.025953127,0.045855604,0.03195716,0.036954665,0.199504684
25,0.013693211,0.024871049,0.043239687,0.030703635,0.035042148,0.169301992
26,0.013332843,0.023875456,0.040870268,0.029532415,0.033279583,0.147382309
27,0.012981391,0.022958999,0.038717029,0.028436187,0.031650987,0.130749319
28,0.01263793,0.022116164,0.036755839,0.027408851,0.030143319,0.117695927
29,0.012301631,0.021342902,0.034967313,0.026445258,0.028745615,0.107177007
30,0.01197021,0.02063579,0.033335814,0.025540966,0.027448916,0.098517022
31,0.011643169,0.019987207,0.031848209,0.024692517,0.026246114,0.091259916
32,0.011320806,0.019390055,0.030492982,0.02389744,0.025131981,0.085086445
33,0.011003526,0.018842729,0.029261642,0.023154117,0.024102863,0.079766114
34,0.010691894,0.018342463,0.028148386,0.022461677,0.023156359,0.075128261
35,0.010386258,0.017890041,0.02715043,0.021819942,0.022291088,0.071043587
36,0.010086993,0.017487924,0.026267221,0.021229236,0.021507337,0.067411821
37,0.009794562,0.017139165,0.02549996,0.020690345,0.020806914,0.0641546
38,0.00950865,0.016847219,0.024851927,0.020204672,0.020192964,0.061210228
39,0.009227519,0.016615228,0.02432552,0.019774102,0.01966964,0.058530358
40,0.008946466,0.016444481,0.02391842,0.019400469,0.019241608,0.056078549
41,0.008656247,0.016334482,0.023629049,0.019084288,0.018912683,0.053830722
42,0.008341651,0.01627777,0.023454744,0.01882366,0.018683616,0.051777306
43,0.007977794,0.016254251,0.023386781,0.018612715,0.018548415,0.049928048
44,0.007525703,0.016232573,0.023408097,0.018439464,0.018489067,0.048318024
45,0.006929369,0.016157269,0.023485537,0.018286652,0.018470443,0.047018375
46,0.006115166,0.015937049,0.023564094,0.018128457,0.018432702,0.046138857
47,0.005011288,0.015440271,0.023568703,0.017936467,0.018290731,0.045807229
48,0.003595473,0.014548943,0.023415041,0.017691975,0.017959651,0.046095538
49,0.001997917,0.013265093,0.023061609,0.017421577,0.017431495,0.046840664
50,-0.000230877,0.004381589,0.016134328,0.013942838,0.005489183,0.093121319
51,-2.09784E-06,0.003681318,0.016509519,0.013767278,0.00517241,0.088823138
52,0.000281686,0.002875836,0.016868158,0.013676528,0.004848694,0.084819126
53,0.00065562,0.002034968,0.017209038,0.013833063,0.00462715,0.081678163
54,0.001210271,0.001218527,0.017523086,0.014474758,0.004714063,0.08006503
55,0.002039897,0.000474837,0.017840895,0.015741577,0.005312402,0.08038761
56,0.003196166,-0.000173443,0.018219405,0.017675036,0.006578243,0.082508373
57,0.004670999,-0.000681624,0.018667189,0.020188438,0.00852421,0.085810058
58,0.00642824,-0.001025407,0.019147905,0.023054522,0.011020164,0.089519566
59,0.008387174,-0.001229838,0.019622827,0.026023843,0.013866853,0.092944751
60,0.010439707,-0.001327677,0.020070137,0.0288813,0.016858093,0.095519794
61,0.012471797,-0.001354978,0.020437123,0.031459766,0.019801785,0.096924449
62,0.014356953,-0.001342515,0.020672612,0.033639029,0.022537086,0.097078496
63,0.015988503,-0.001321351,0.020739843,0.035346543,0.024939706,0.096079887
64,0.017306642,-0.001315977,0.020635203,0.036555324,0.026920218,0.094091936
65,0.018280673,-0.001343285,0.020354518,0.037274492,0.028424047,0.091307921
66,0.018892749,-0.001414096,0.019896756,0.0375456,0.029437448,0.087912646
67,0.019143058,-0.001534688,0.019277572,0.037416533,0.029982924,0.0840809
68,0.019043632,-0.001705981,0.01853642,0.036943771,0.030098902,0.079976438
69,0.018623357,-0.001922056,0.017720923,0.036193702,0.029844744,0.07574938
70,0.017940074,-0.0021873,0.01685398,0.03523097,0.029290516,0.071524342
71,0.017044958,-0.002508204,0.015940215,0.034115793,0.028507021,0.067412324
72,0.015988495,-0.002893463,0.014985612,0.032906045,0.027560637,0.063494344
73,0.01482738,-0.003354133,0.014000497,0.031650425,0.02649819,0.059815857
74,0.013604034,-0.003892182,0.01299879,0.030382917,0.025356654,0.05640181
75,0.012353483,-0.004488558,0.012005191,0.029131626,0.024176673,0.053251492
76,0.011112112,-0.00512096,0.011056546,0.027920169,0.023002561,0.050347474
77,0.009911596,-0.005772988,0.010203637,0.026763046,0.02186782,0.047663601
78,0.00878,-0.006427989,0.009448914,0.025670664,0.020802475,0.045169056
79,0.007777215,-0.007077363,0.008787804,0.024651209,0.019830489,0.042835009
80,0.006946389,-0.007654624,0.008224401,0.023706673,0.0189675,0.04063924
81,0.00630435,-0.008085816,0.007754149,0.022832523,0.018223759,0.038561429
82,0.005854469,-0.008342488,0.007396126,0.022019771,0.017604398,0.036582934
83,0.005593578,-0.008378538,0.007174425,0.021256424,0.017107663,0.034687815
84,0.005511887,-0.008159571,0.007077451,0.020529412,0.016726346,0.03286357
85,0.005593958,-0.0076866,0.007079298,0.019825636,0.01644639,0.031097397
86,0.005824032,-0.006991761,0.007142438,0.019132476,0.016250909,0.029379386
87,0.006193266,-0.006115376,0.00722094,0.018438,0.016120051,0.027703169
88,0.006681733,-0.005094549,0.007284318,0.01772922,0.016030469,0.026063768
89,0.007242509,-0.003998561,0.007327426,0.016995445,0.015955946,0.024457164
90,0.007819835,-0.002907065,0.007349441,0.016233351,0.015869387,0.022890934
91,0.008365615,-0.001892667,0.007331795,0.015442941,0.015745309,0.021393923
92,0.008810171,-0.001007163,0.007270654,0.014627378,0.015563948,0.01996536
93,0.009020878,-0.000340937,0.007167883,0.013793594,0.015311079,0.018597943
94,0.008961822,2.37067E-05,0.007019828,0.012946862,0.014975465,0.017285688
95,0.008673205,5.53081E-05,0.006826876,0.012095968,0.014551766,0.016025064
96,0.008206086,-0.000165313,0.006587976,0.011246716,0.014042041,0.014813468
97,0.007609107,-0.000560062,0.006303525,0.010404518,0.013454698,0.013649178
98,0.006911841,-0.001085358,0.005972454,0.009572941,0.01280607,0.012531518
99,0.006145129,-0.0017013,0.005592671,0.008762215,0.012118687,0.011461383
100,0.005340308,-0.002387756,0.005185647,0.007982576,0.011423818,0.010439357
101,0.00452731,-0.003145636,0.004743734,0.007234066,0.0107503,0.009462948
102,0.003718714,-0.003979748,0.004266739,0.006508171,0.010105799,0.008522963
103,0.002911223,-0.004913368,0.003760537,0.005785001,0.009476392,0.007601834
104,0.002094498,-0.005944115,0.003229361,0.005043581,0.00883665,0.006676953
105,0.001258129,-0.007049062,0.002667031,0.0042649,0.008158013,0.005728692
106,0.000406122,-0.008209086,0.002057432,0.003435649,0.007419873,0.0047441
107,-0.000468276,-0.009414086,0.001394561,0.002551383,0.006612519,0.003716316
108,-0.001377503,-0.010658915,0.000668372,0.001610639,0.005732862,0.002642917
109,-0.002335168,-0.01194718,-0.000135953,0.00061257,0.00478208,0.001525759
110,-0.003358749,-0.013268685,-0.001022987,-0.000436579,0.003765052,0.000369478
111,-0.004454448,-0.014610368,-0.001998461,-0.001532821,0.002686818,-0.000822747
112,-0.016119559,-0.022812,-0.010907104,-0.01493734,-0.011026473,-0.01437024
113,-0.016019662,-0.022889247,-0.011432759,-0.015578656,-0.011781475,-0.015120455
114,-0.01588867,-0.023025756,-0.011987909,-0.016085485,-0.012401104,-0.015726805
115,-0.015790541,-0.02328073,-0.012528121,-0.016473737,-0.012880459,-0.016196619
116,-0.015760937,-0.023667463,-0.013043977,-0.016793587,-0.013264625,-0.016579247
