dates,R_ca506,,R_va1828
05/01/2021,1.081973053,,4.482849345
06/01/2021,1.029427636,,3.731668889
07/01/2021,0.994022876,,3.231689836
08/01/2021,0.969127535,,2.815144791
09/01/2021,0.950556733,,2.486427579
10/01/2021,0.935726185,,2.239934131
11/01/2021,0.92305672,,2.059206398
12/01/2021,0.911444377,,1.928996337
13/01/2021,0.900121791,,1.835321082
14/01/2021,0.888613414,,1.767006248
15/01/2021,0.876676501,,1.715487715
16/01/2021,0.864225796,,1.674569874
17/01/2021,0.851263319,,1.640075327
18/01/2021,0.837892766,,1.609314472
19/01/2021,0.824465041,,1.580624021
20/01/2021,0.811430979,,1.552722748
21/01/2021,0.799197376,,1.52411048
22/01/2021,0.787991208,,1.493681966
23/01/2021,0.778024474,,1.461016349
24/01/2021,0.769739945,,1.426183435
25/01/2021,0.763783177,,1.390056371
26/01/2021,0.760784042,,1.353707875
27/01/2021,0.761295689,,1.318299883
28/01/2021,0.765573987,,1.285108571
29/01/2021,0.773462355,,1.255215747
30/01/2021,0.784110028,,1.229108557
31/01/2021,0.795970683,,1.207475152
01/02/2021,0.80752435,,1.191317875
02/02/2021,0.817460382,,1.18060845
03/02/2021,0.824831757,,1.173796881
04/02/2021,0.829452501,,1.168352548
05/02/2021,0.832119456,,1.16192133
06/02/2021,0.834435121,,1.153306365
07/02/2021,0.838049275,,1.14200222
08/02/2021,0.843601027,,1.127337889
09/02/2021,0.850985787,,1.109132171
10/02/2021,0.859529561,,1.087729926
11/02/2021,0.86839932,,1.063915653
12/02/2021,0.87664276,,1.038632714
13/02/2021,0.883165068,,1.012831241
14/02/2021,0.887304955,,0.987551198
15/02/2021,0.889235343,,0.964083876
16/02/2021,0.889992235,,0.943748857
17/02/2021,0.891043465,,0.927401744
18/02/2021,0.893392692,,0.915704921
19/02/2021,0.89746951,,0.909153169
20/02/2021,0.903420473,,0.907816939
21/02/2021,0.910992178,,0.911031274
22/02/2021,0.919722985,,0.917329711
23/02/2021,0.92898025,,0.924944433
24/02/2021,0.938133514,,0.93280951
25/02/2021,0.946809454,,0.940298853
26/02/2021,0.955031546,,0.947120218
27/02/2021,0.963169841,,0.953311681
28/02/2021,0.971630568,,0.95935402
01/03/2021,0.98038984,,0.965599636
02/03/2021,0.989024192,,0.972014038
03/03/2021,0.996881328,,0.97822727
04/03/2021,1.003388185,,0.983663559
05/03/2021,1.008154105,,0.987562163
06/03/2021,1.01075918,,0.989098022
07/03/2021,1.011010221,,0.987382123
08/03/2021,1.009141141,,0.981825523
09/03/2021,1.005822537,,0.972236535
10/03/2021,1.001977993,,0.958989591
11/03/2021,0.998416209,,0.942929882
12/03/2021,0.995719588,,0.925166229
13/03/2021,0.994483906,,0.906857935
14/03/2021,0.995099265,,0.88904596
15/03/2021,0.997625491,,0.872722663
16/03/2021,1.001950725,,0.858681584
17/03/2021,1.007809292,,0.847612654
18/03/2021,1.014797066,,0.840125905
19/03/2021,1.022427558,,0.836533067
20/03/2021,1.03020443,,0.836600435
21/03/2021,1.037689378,,0.83943256
22/03/2021,1.04449687,,0.84372177
23/03/2021,1.050132173,,0.848409809
24/03/2021,1.054100044,,0.852613089
25/03/2021,1.056122847,,0.855697126
26/03/2021,1.056289716,,0.856890854
27/03/2021,1.054930416,,0.855145936
28/03/2021,1.052390323,,0.849814887
29/03/2021,1.048928425,,0.841134529
30/03/2021,1.044730848,,0.830241806
31/03/2021,1.039959557,,0.818662
01/04/2021,1.034753078,,0.807507715
02/04/2021,1.029188459,,0.797724078
03/04/2021,1.023376953,,0.790361762
04/04/2021,1.017530398,,0.786172416
05/04/2021,1.011831043,,0.785439432
06/04/2021,1.006351049,,0.788134452
07/04/2021,1.001077764,,0.794077676
08/04/2021,0.995928783,,0.802948588
09/04/2021,0.990756482,,0.81418009
10/04/2021,0.98539002,,0.826897748
11/04/2021,0.979766091,,0.840023986
12/04/2021,0.974124757,,0.852840354
13/04/2021,0.969019516,,0.864666384
14/04/2021,0.965118281,,0.874807662
15/04/2021,0.962936295,,0.882719307
16/04/2021,0.962668078,,0.888362529
17/04/2021,0.964421466,,0.892345336
18/04/2021,0.968184413,,0.895459407
19/04/2021,0.973720712,,0.897685757
20/04/2021,0.980536093,,0.898491268
21/04/2021,0.987934812,,0.897282017
22/04/2021,0.995189562,,0.893344481
23/04/2021,1.001707368,,0.885867219
24/04/2021,1.006840034,,0.874530076
25/04/2021,1.010046326,,0.859777792
26/04/2021,1.011139437,,0.842734281
27/04/2021,1.01009296,,0.824827977
28/04/2021,1.006970441,,0.807310449
29/04/2021,1.002035345,,0.791454999
30/04/2021,0.995770832,,0.778525675
01/05/2021,0.988806504,,0.76940777
02/05/2021,0.981769482,,0.764516669
03/05/2021,0.975124115,,0.764019027
04/05/2021,0.969393122,,0.767898982
05/05/2021,0.965179254,,0.775834491
06/05/2021,0.962922249,,0.787113655
07/05/2021,0.962714363,,0.800857336
08/05/2021,0.96442295,,0.816095005
09/05/2021,0.967816589,,0.832327638
10/05/2021,0.972612743,,0.848746545
11/05/2021,0.978486743,,0.864112718
12/05/2021,0.985076667,,0.877508811
13/05/2021,0.992023476,,0.889084886
14/05/2021,0.999036888,,0.900133135
15/05/2021,1.005753926,,0.912121044
16/05/2021,1.011728653,,0.925080566
17/05/2021,1.016635294,,0.938248573
18/05/2021,1.020302668,,0.951069414
19/05/2021,1.02265328,,0.962914898
20/05/2021,1.023767218,,0.973106133
21/05/2021,1.023914839,,0.981295093
22/05/2021,1.023518773,,0.987783792
23/05/2021,1.023022309,,0.993451847
24/05/2021,1.02266581,,0.999150756
25/05/2021,1.022499999,,1.004846577
26/05/2021,1.022524263,,1.010072857
27/05/2021,1.022707875,,1.014501552
28/05/2021,1.022624364,,1.017995905
29/05/2021,1.020698375,,1.020584342
30/05/2021,1.015488495,,1.022346468
31/05/2021,1.006693815,,1.02342354
01/06/2021,0.995322947,,1.024030897
02/06/2021,0.983324184,,1.024344422
03/06/2021,0.972975105,,1.02426649
04/06/2021,0.966717761,,1.023530317
05/06/2021,0.967624651,,1.021849732
06/06/2021,0.977993196,,1.018975715
07/06/2021,0.998333447,,1.014771693
08/06/2021,1.026938192,,1.009391844
09/06/2021,1.060079668,,1.003267207
10/06/2021,1.094137169,,0.996988776
11/06/2021,1.127103705,,0.991170023
12/06/2021,1.158826934,,0.986347973
13/06/2021,1.190210266,,0.983043368
14/06/2021,1.22190419,,0.981649011
15/06/2021,1.253636149,,0.98247128
16/06/2021,1.284324082,,0.985730477
17/06/2021,1.3119084,,0.991375043
18/06/2021,1.334755897,,0.998978868
19/06/2021,1.352380169,,1.007746325
20/06/2021,1.364885993,,1.016669788
21/06/2021,1.372782144,,1.024815953
22/06/2021,1.376917813,,1.031346097
23/06/2021,1.37824091,,1.035741903
24/06/2021,1.377248694,,1.03770384
25/06/2021,1.373278066,,1.037134025
26/06/2021,1.364880336,,1.034275943
27/06/2021,1.351074052,,1.029759374
28/06/2021,1.332114687,,1.024490098
29/06/2021,1.309506811,,1.019356196
30/06/2021,1.285155597,,1.014856976
01/07/2021,1.260652663,,1.011294485
02/07/2021,1.2370555,,1.00881321
03/07/2021,1.214975656,,1.007142123
04/07/2021,1.194720195,,1.005746004
05/07/2021,1.176324772,,1.004324887
06/07/2021,1.159572394,,1.002966475
07/07/2021,1.144306549,,1.002025042
08/07/2021,1.130562194,,1.001914979
09/07/2021,1.118473438,,1.00301028
10/07/2021,1.108704719,,1.005783786
11/07/2021,1.101906557,,1.010734008
12/07/2021,1.098085068,,1.018231647
13/07/2021,1.096468178,,1.028380149
14/07/2021,1.095744077,,1.04078853
15/07/2021,1.094544046,,1.054636431
16/07/2021,1.091886451,,1.068852919
17/07/2021,1.086878287,,1.082288716
18/07/2021,1.079040409,,1.093812746
19/07/2021,1.068574868,,1.102319435
20/07/2021,1.056165012,,1.107104998
21/07/2021,1.042653955,,1.107495173
22/07/2021,1.028705673,,1.102974318
23/07/2021,1.014626887,,1.093838663
24/07/2021,1.000389925,,1.081337007
25/07/2021,0.985794207,,1.067368306
26/07/2021,0.970728077,,1.053880403
27/07/2021,0.955435567,,1.042266674
28/07/2021,0.940560685,,1.033740935
29/07/2021,0.926944447,,1.029156644
30/07/2021,0.915141737,,1.028560262
31/07/2021,0.905374911,,1.031382802
01/08/2021,0.897629969,,1.036904091
02/08/2021,0.89166316,,1.044472021
03/08/2021,0.886975198,,1.053508832
04/08/2021,0.882866419,,1.063500984
05/08/2021,0.878713506,,1.074103297
06/08/2021,0.874470051,,1.085140986
07/08/2021,0.870576569,,1.096455987
08/08/2021,0.867612193,,1.106509798
09/08/2021,0.866001662,,1.11331527
10/08/2021,0.865876923,,1.11641935
11/08/2021,0.867185576,,1.117326782
12/08/2021,0.869814916,,1.118657383
13/08/2021,0.873655677,,1.122792889
14/08/2021,0.878611638,,1.130890302
15/08/2021,0.884570102,,1.143800429
16/08/2021,0.89135514,,1.162131018
17/08/2021,0.898677704,,1.186388779
18/08/2021,0.905989405,,1.216306818
