,date,cc_data,,dates,I
ca_354,2020-11-01,7,,2020-11-01,6.576038996
ca_354,2020-11-02,0,,2020-11-02,7.387843111
ca_354,2020-11-03,10,,2020-11-03,8.195635675
ca_354,2020-11-04,9,,2020-11-04,9.000274576
ca_354,2020-11-05,9,,2020-11-05,9.802492659
ca_354,2020-11-06,11,,2020-11-06,10.60289299
ca_354,2020-11-07,16,,2020-11-07,11.40148049
ca_354,2020-11-08,9,,2020-11-08,12.17332253
ca_354,2020-11-09,15,,2020-11-09,12.88792455
ca_354,2020-11-10,20,,2020-11-10,13.55820881
ca_354,2020-11-11,17,,2020-11-11,14.21642769
ca_354,2020-11-12,13,,2020-11-12,14.89325437
ca_354,2020-11-13,19,,2020-11-13,15.60828629
ca_354,2020-11-14,10,,2020-11-14,16.3689156
ca_354,2020-11-15,16,,2020-11-15,17.17407242
ca_354,2020-11-16,26,,2020-11-16,18.01850026
ca_354,2020-11-17,23,,2020-11-17,18.89570823
ca_354,2020-11-18,16,,2020-11-18,19.79972024
ca_354,2020-11-19,19,,2020-11-19,20.71546093
ca_354,2020-11-20,25,,2020-11-20,21.61120674
ca_354,2020-11-21,22,,2020-11-21,22.49407971
ca_354,2020-11-22,19,,2020-11-22,23.39675578
ca_354,2020-11-23,24,,2020-11-23,24.35627528
ca_354,2020-11-24,17,,2020-11-24,25.40208523
ca_354,2020-11-25,41,,2020-11-25,26.54982383
ca_354,2020-11-26,17,,2020-11-26,27.80247005
ca_354,2020-11-27,24,,2020-11-27,29.15544335
ca_354,2020-11-28,25,,2020-11-28,30.59989174
ca_354,2020-11-29,31,,2020-11-29,32.12414261
ca_354,2020-11-30,44,,2020-11-30,33.74879654
ca_354,2020-12-01,38,,2020-12-01,35.57447003
ca_354,2020-12-02,43,,2020-12-02,37.60054391
ca_354,2020-12-03,42,,2020-12-03,39.7336111
ca_354,2020-12-04,44,,2020-12-04,41.86598552
ca_354,2020-12-05,37,,2020-12-05,43.93372878
ca_354,2020-12-06,30,,2020-12-06,45.86589881
ca_354,2020-12-07,84,,2020-12-07,47.60572513
ca_354,2020-12-08,50,,2020-12-08,49.12591345
ca_354,2020-12-09,38,,2020-12-09,50.43244528
ca_354,2020-12-10,55,,2020-12-10,51.57048385
ca_354,2020-12-11,40,,2020-12-11,52.52942861
ca_354,2020-12-12,50,,2020-12-12,53.06033736
ca_354,2020-12-13,38,,2020-12-13,53.10215951
ca_354,2020-12-14,82,,2020-12-14,52.77472211
ca_354,2020-12-15,72,,2020-12-15,52.27848489
ca_354,2020-12-16,59,,2020-12-16,51.83146436
ca_354,2020-12-17,84,,2020-12-17,51.63023496
ca_354,2020-12-18,46,,2020-12-18,51.82165583
ca_354,2020-12-19,42,,2020-12-19,52.49205248
ca_354,2020-12-20,44,,2020-12-20,53.64953499
ca_354,2020-12-21,98,,2020-12-21,55.19887987
ca_354,2020-12-22,49,,2020-12-22,57.02992662
ca_354,2020-12-23,48,,2020-12-23,59.36750908
ca_354,2020-12-24,56,,2020-12-24,62.33261436
ca_354,2020-12-25,19,,2020-12-25,65.87006781
ca_354,2020-12-26,54,,2020-12-26,69.8268876
ca_354,2020-12-27,55,,2020-12-27,74.00101542
ca_354,2020-12-28,100,,2020-12-28,78.16579022
ca_354,2020-12-29,63,,2020-12-29,82.09318206
ca_354,2020-12-30,72,,2020-12-30,85.57807171
ca_354,2020-12-31,55,,2020-12-31,88.48291317
ca_354,2021-01-01,84,,2021-01-01,90.81592633
ca_354,2021-01-02,131,,2021-01-02,92.84137954
ca_354,2021-01-03,114,,2021-01-03,95.02429973
ca_354,2021-01-04,138,,2021-01-04,97.47060848
ca_354,2021-01-05,142,,2021-01-05,99.9316876
ca_354,2021-01-06,186,,2021-01-06,102.0448077
ca_354,2021-01-07,154,,2021-01-07,103.4924524
ca_354,2021-01-08,88,,2021-01-08,104.0965398
ca_354,2021-01-09,108,,2021-01-09,103.8691896
ca_354,2021-01-10,101,,2021-01-10,102.9818233
ca_354,2021-01-11,102,,2021-01-11,101.6977141
ca_354,2021-01-12,128,,2021-01-12,100.2633539
ca_354,2021-01-13,145,,2021-01-13,98.7374185
ca_354,2021-01-14,72,,2021-01-14,96.87354537
ca_354,2021-01-15,100,,2021-01-15,94.41315766
ca_354,2021-01-16,72,,2021-01-16,91.24066374
ca_354,2021-01-17,56,,2021-01-17,87.36568509
ca_354,2021-01-18,90,,2021-01-18,82.89992602
ca_354,2021-01-19,84,,2021-01-19,78.04328635
ca_354,2021-01-20,65,,2021-01-20,73.0764204
ca_354,2021-01-21,65,,2021-01-21,68.32116469
ca_354,2021-01-22,60,,2021-01-22,64.0835656
ca_354,2021-01-23,32,,2021-01-23,60.55498203
ca_354,2021-01-24,44,,2021-01-24,57.6521038
ca_354,2021-01-25,53,,2021-01-25,54.95604918
ca_354,2021-01-26,62,,2021-01-26,52.31999828
ca_354,2021-01-27,52,,2021-01-27,49.79864283
ca_354,2021-01-28,46,,2021-01-28,47.48061958
ca_354,2021-01-29,41,,2021-01-29,45.43741714
ca_354,2021-01-30,36,,2021-01-30,43.69127855
ca_354,2021-01-31,32,,2021-01-31,42.19536364
ca_354,2021-02-01,88,,2021-02-01,40.84325097
ca_354,2021-02-02,48,,2021-02-02,39.50061125
ca_354,2021-02-03,50,,2021-02-03,38.05400874
ca_354,2021-02-04,30,,2021-02-04,36.487107
ca_354,2021-02-05,30,,2021-02-05,34.90454537
ca_354,2021-02-06,24,,2021-02-06,33.30517097
ca_354,2021-02-07,22,,2021-02-07,31.71446504
ca_354,2021-02-08,34,,2021-02-08,30.19845141
ca_354,2021-02-09,36,,2021-02-09,28.82289825
ca_354,2021-02-10,41,,2021-02-10,27.62728669
ca_354,2021-02-11,24,,2021-02-11,26.60801695
ca_354,2021-02-12,21,,2021-02-12,25.71892567
ca_354,2021-02-13,17,,2021-02-13,24.88984697
ca_354,2021-02-14,22,,2021-02-14,24.05446693
ca_354,2021-02-15,8,,2021-02-15,23.1934046
ca_354,2021-02-16,20,,2021-02-16,22.36467
ca_354,2021-02-17,20,,2021-02-17,21.60880528
ca_354,2021-02-18,16,,2021-02-18,20.95227789
ca_354,2021-02-19,33,,2021-02-19,20.41479109
ca_354,2021-02-20,20,,2021-02-20,20.00187014
ca_354,2021-02-21,14,,2021-02-21,19.69960042
ca_354,2021-02-22,32,,2021-02-22,19.46999899
