,date,cc_data,,
ca_506,22/01/2020,0,,
ca_506,23/01/2020,0,,
ca_506,24/01/2020,0,,
ca_506,25/01/2020,1,,
ca_506,26/01/2020,0,,
ca_506,27/01/2020,0,,
ca_506,28/01/2020,0,,
ca_506,29/01/2020,0,,
ca_506,30/01/2020,0,,
ca_506,31/01/2020,0,,
ca_506,01/02/2020,0,,
ca_506,02/02/2020,0,,
ca_506,03/02/2020,0,,
ca_506,04/02/2020,0,,
ca_506,05/02/2020,0,,
ca_506,06/02/2020,0,,
ca_506,07/02/2020,0,,
ca_506,08/02/2020,0,,
ca_506,09/02/2020,0,,
ca_506,10/02/2020,0,,
ca_506,11/02/2020,0,,
ca_506,12/02/2020,0,,
ca_506,13/02/2020,0,,
ca_506,14/02/2020,0,,
ca_506,15/02/2020,0,,
ca_506,16/02/2020,0,,
ca_506,17/02/2020,0,,
ca_506,18/02/2020,0,,
ca_506,19/02/2020,0,,
ca_506,20/02/2020,0,,
ca_506,21/02/2020,0,,
ca_506,22/02/2020,0,,
ca_506,23/02/2020,0,,
ca_506,24/02/2020,0,,
ca_506,25/02/2020,0,,
ca_506,26/02/2020,0,,
ca_506,27/02/2020,0,,
ca_506,28/02/2020,0,,
ca_506,29/02/2020,0,,
ca_506,01/03/2020,0,,
ca_506,02/03/2020,0,,
ca_506,03/03/2020,6,,
ca_506,04/03/2020,4,,
ca_506,05/03/2020,2,,
ca_506,06/03/2020,1,,
ca_506,07/03/2020,0,,
ca_506,08/03/2020,0,,
ca_506,09/03/2020,6,,
ca_506,10/03/2020,7,,
ca_506,11/03/2020,5,,
ca_506,12/03/2020,8,,
ca_506,13/03/2020,13,,
ca_506,14/03/2020,0,,
ca_506,15/03/2020,41,,
ca_506,16/03/2020,50,,
ca_506,17/03/2020,46,,
ca_506,18/03/2020,41,,
ca_506,19/03/2020,61,,
ca_506,20/03/2020,0,,
ca_506,21/03/2020,115,,
ca_506,22/03/2020,129,,
ca_506,23/03/2020,126,,
ca_506,24/03/2020,150,,
ca_506,25/03/2020,417,,
ca_506,26/03/2020,236,,
ca_506,27/03/2020,0,,
ca_506,28/03/2020,364,,
ca_506,29/03/2020,645,,
ca_506,30/03/2020,545,,
ca_506,31/03/2020,499,,
ca_506,01/04/2020,527,,
ca_506,02/04/2020,521,,
ca_506,03/04/2020,39,,
ca_506,04/04/2020,1350,,
ca_506,05/04/2020,422,,
ca_506,06/04/2020,559,,
ca_506,07/04/2020,623,,
ca_506,08/04/2020,396,,
ca_506,09/04/2020,488,,
ca_506,10/04/2020,10,,
ca_506,11/04/2020,441,,
ca_506,12/04/2020,539,,
ca_506,13/04/2020,614,,
ca_506,14/04/2020,470,,
ca_506,15/04/2020,337,,
ca_506,16/04/2020,546,,
ca_506,17/04/2020,621,,
ca_506,18/04/2020,320,,
ca_506,19/04/2020,1482,,
ca_506,20/04/2020,1330,,
ca_506,21/04/2020,1294,,
ca_506,22/04/2020,1090,,
ca_506,23/04/2020,1008,,
ca_506,24/04/2020,588,,
ca_506,25/04/2020,434,,
ca_506,26/04/2020,856,,
ca_506,27/04/2020,573,,
ca_506,28/04/2020,1489,,
ca_506,29/04/2020,735,,
ca_506,30/04/2020,1042,,
ca_506,01/05/2020,632,,
ca_506,02/05/2020,805,,
ca_506,03/05/2020,526,,
ca_506,04/05/2020,1611,,
ca_506,05/05/2020,829,,
ca_506,06/05/2020,846,,
ca_506,07/05/2020,808,,
ca_506,08/05/2020,922,,
ca_506,09/05/2020,462,,
ca_506,10/05/2020,560,,
ca_506,11/05/2020,948,,
ca_506,12/05/2020,1327,,
ca_506,13/05/2020,854,,
ca_506,14/05/2020,924,,
ca_506,15/05/2020,1044,,
ca_506,16/05/2020,651,,
ca_506,17/05/2020,447,,
ca_506,18/05/2020,1115,,
ca_506,19/05/2020,1322,,
ca_506,20/05/2020,1142,,
ca_506,21/05/2020,1033,,
ca_506,22/05/2020,1051,,
ca_506,23/05/2020,896,,
ca_506,24/05/2020,1006,,
ca_506,25/05/2020,1822,,
ca_506,26/05/2020,916,,
ca_506,27/05/2020,1099,,
ca_506,28/05/2020,1818,,
ca_506,29/05/2020,2068,,
ca_506,30/05/2020,1255,,
ca_506,31/05/2020,1010,,
ca_506,01/06/2020,1208,,
ca_506,02/06/2020,1042,,
ca_506,03/06/2020,1431,,
ca_506,04/06/2020,1376,,
ca_506,05/06/2020,1314,,
ca_506,06/06/2020,1462,,
ca_506,07/06/2020,846,,
ca_506,08/06/2020,1255,,
ca_506,09/06/2020,1166,,
ca_506,10/06/2020,1848,,
ca_506,11/06/2020,1570,,
ca_506,12/06/2020,1528,,
ca_506,13/06/2020,961,,
ca_506,14/06/2020,814,,
ca_506,15/06/2020,1330,,
ca_506,16/06/2020,2098,,
ca_506,17/06/2020,1088,,
ca_506,18/06/2020,1307,,
ca_506,19/06/2020,2054,,
ca_506,20/06/2020,1705,,
ca_506,21/06/2020,2603,,
ca_506,22/06/2020,2495,,
ca_506,23/06/2020,1121,,
ca_506,24/06/2020,1944,,
ca_506,25/06/2020,1814,,
ca_506,26/06/2020,1994,,
ca_506,27/06/2020,2533,,
ca_506,28/06/2020,3040,,
ca_506,29/06/2020,2892,,
ca_506,30/06/2020,1815,,
ca_506,01/07/2020,2127,,
ca_506,02/07/2020,14,,
ca_506,03/07/2020,20,,
ca_506,04/07/2020,7198,,
ca_506,05/07/2020,1546,,
ca_506,06/07/2020,4194,,
ca_506,07/07/2020,2492,,
ca_506,08/07/2020,1736,,
ca_506,09/07/2020,2447,,
ca_506,10/07/2020,2955,,
ca_506,11/07/2020,3155,,
ca_506,12/07/2020,2808,,
ca_506,13/07/2020,4219,,
ca_506,14/07/2020,2631,,
ca_506,15/07/2020,4471,,
ca_506,16/07/2020,2746,,
ca_506,17/07/2020,2728,,
ca_506,18/07/2020,2765,,
ca_506,19/07/2020,3128,,
ca_506,20/07/2020,2980,,
ca_506,21/07/2020,3109,,
ca_506,22/07/2020,1734,,
ca_506,23/07/2020,2067,,
ca_506,24/07/2020,3390,,
ca_506,25/07/2020,1692,,
ca_506,26/07/2020,2011,,
ca_506,27/07/2020,2614,,
