county,county_population,covid_cases_per_100k
Abbeville County,1569728.0,5259.53
Acadia Parish,3970880.0,5497.62
Accomack County,2068224.0,7247.16
Ada County,30821568.0,9262.96
Adair County,4729024.0,29523.92
Adams County,55147288.0,71497.01
Addison County,2353728.0,8820.73
Adjuntas Muni,1111232.0,28756.52
Aguada Muni,2348416.0,19717.1
Aguadilla Muni,3216960.0,20123.36
Aguas Buenas Muni,1588096.0,19174.74
Aibonito Muni,1414912.0,23878.21
Aiken County,10935808.0,6944.98
Aitkin County,1016704.0,5998.9800000000005
Alachua County,17218752.0,8704.2
Alamance County,10848576.0,9417.23
Alameda County,106965056.0,8965.09
Alamosa County,1038912.0,9529.92
Albany County,22040704.0,12310.08
Albemarle County,6997120.0,9770.36
Alcona County,665920.0,3056.12
Alcorn County,2364992.0,7826.17
Aleutians East Borough,213568.0,8750.4
Aleutians West CA,236628.0,2804.4300000000003
Aleutians West Census Area,123948.0,2946.41
Alexander County,2768512.0,12744.67
Alexandria City,10203392.0,10422.87
Alfalfa County,364928.0,3665.46
Alger County,582912.0,5544.62
Allamakee County,875968.0,5187.38
Allegan County,7557184.0,4988.96
Allegany County,7456448.0,12519.75
Alleghany County,1663808.0,17581.36
Allegheny County,77826880.0,6998.95
Allen County,32981376.0,30136.81
Allen Parish,1640128.0,5423.95
Allendale County,556032.0,4350.78
Alpena County,1817920.0,4837.16
Alpine County,72256.0,1771.45
Amador County,2544128.0,7275.11
Amelia County,841280.0,8170.37
American Samoa,1907837.0,16061.76
Amherst County,2022720.0,9631.369999999999
Amite County,787008.0,5456.6
Anchorage Municipality,6336000.0,5175.7
Anchorage Muny,12096000.0,3304.5299999999997
Anderson County,23544064.0,32935.73
Andrew County,1133568.0,6108.86
Andrews County,1197120.0,7142.5
Androscoggin County,6929728.0,7761.57
Angelina County,5549760.0,2268.32
Anne Arundel County,37070976.0,5814.25
Anoka County,22842944.0,6610.72
Anson County,1564544.0,8704.89
Antelope County,403072.0,5541.47
Antrim County,1492736.0,4844.75
Apache County,4600768.0,22845.59
Appanoose County,795264.0,5037.84
Appling County,1176704.0,3606.0
Appomattox County,1018304.0,9446.19
Aransas County,1504640.0,7056.57
Arapahoe County,42021760.0,6347.79
Archer County,547392.0,6828.01
Archuleta County,897856.0,4939.75
Arecibo Muni,5245824.0,22913.09
Arenac County,952512.0,5637.3
Arkansas County,1119104.0,8332.41
Arlington County,15157888.0,11664.31
Armstrong County,4263808.0,16406.9
Aroostook County,4291520.0,13193.68
Arroyo Muni,1103232.0,24074.69
Arthur County,29632.0,1295.9
Ascension Parish,8102656.0,8963.37
