,date,cc_data,,dates,I
co_116,2020-01-27,0,,2020-01-27,5.187730136
co_116,2020-02-26,0,,2020-01-28,5.392844813
co_116,2020-03-05,25,,2020-01-29,5.589226642
co_116,2020-03-06,0,,2020-01-30,5.778580357
co_116,2020-03-07,0,,2020-01-31,5.962394157
co_116,2020-03-08,5,,2020-02-01,6.141922654
co_116,2020-03-09,6,,2020-02-02,6.318192587
co_116,2020-03-11,9,,2020-02-03,6.501443791
co_116,2020-03-12,0,,2020-02-04,6.749191167
co_116,2020-03-13,11,,2020-02-05,7.080082478
co_116,2020-03-14,9,,2020-02-06,7.463266484
co_116,2020-03-15,8,,2020-02-07,7.851422128
co_116,2020-03-16,7,,2020-02-08,8.202607929
co_116,2020-03-17,0,,2020-02-09,8.489741104
co_116,2020-03-18,7,,2020-02-10,8.701687142
co_116,2020-03-19,0,,2020-02-11,8.839056193
co_116,2020-03-20,9,,2020-02-12,8.90877366
co_116,2020-03-21,6,,2020-02-13,8.920141236
co_116,2020-03-22,5,,2020-02-14,8.882326249
co_116,2020-03-24,69,,2020-02-15,8.802839706
co_116,2020-03-25,18,,2020-02-16,8.667496675
co_116,2020-03-26,0,,2020-02-17,8.433124637
co_116,2020-03-27,7,,2020-02-18,8.083026186
co_116,2020-03-28,0,,2020-02-19,7.624244437
co_116,2020-03-29,0,,2020-02-20,7.07667315
co_116,2020-03-30,0,,2020-02-21,6.464002843
co_116,2020-03-31,0,,2020-02-22,5.808487983
co_116,2020-04-01,0,,2020-02-23,5.128457399
co_116,2020-04-02,5,,2020-02-24,4.437725287
co_116,2020-04-03,0,,2020-02-25,3.747732416
co_116,2020-04-04,0,,2020-02-26,3.070563115
co_116,2020-04-05,5,,2020-02-27,2.421904197
co_116,2020-04-06,0,,2020-02-28,1.820302874
co_116,2020-04-07,0,,2020-02-29,1.289501546
co_116,2020-04-09,0,,2020-03-01,0.870358751
co_116,2020-04-10,0,,2020-03-02,0.595007846
co_116,2020-04-11,0,,2020-03-03,0.457522224
co_116,2020-04-12,0,,2020-03-04,0.413271721
co_116,2020-04-13,0,,2020-03-05,0.443026591
co_116,2020-04-15,0,,2020-03-06,0.527335057
co_116,2020-04-16,0,,2020-03-07,0.636395835
co_116,2020-04-17,0,,2020-03-08,0.736818014
co_116,2020-04-18,0,,2020-03-09,0.802686072
co_116,2020-04-20,0,,2020-03-10,0.832080843
co_116,2020-04-21,0,,2020-03-11,0.856569102
co_116,2020-04-22,6,,2020-03-12,0.893437944
co_116,2020-04-23,6,,2020-03-13,0.944733201
co_116,2020-04-24,0,,2020-03-14,1.007336644
co_116,2020-04-25,0,,2020-03-15,1.075619149
co_116,2020-04-26,0,,2020-03-16,1.1432147
co_116,2020-04-27,7,,2020-03-17,1.204068359
co_116,2020-04-28,0,,2020-03-18,1.253134274
co_116,2020-05-01,0,,2020-03-19,1.286870667
co_116,2020-05-02,0,,2020-03-20,1.303593338
co_116,2020-05-04,0,,2020-03-21,1.303964636
co_116,2020-05-05,0,,2020-03-22,1.291539005
co_116,2020-05-06,6,,2020-03-23,1.271450893
co_116,2020-05-07,0,,2020-03-24,1.238810472
co_116,2020-05-08,0,,2020-03-25,1.184860742
co_116,2020-05-10,0,,2020-03-26,1.108215943
co_116,2020-05-11,0,,2020-03-27,1.012794521
co_116,2020-05-12,0,,2020-03-28,0.905622616
co_116,2020-05-13,0,,2020-03-29,0.795340954
co_116,2020-05-14,0,,2020-03-30,0.691284294
co_116,2020-05-15,0,,2020-03-31,0.602313168
co_116,2020-05-16,0,,2020-04-01,0.535510277
co_116,2020-05-17,0,,2020-04-02,0.4945626
co_116,2020-05-18,0,,2020-04-03,0.477476454
co_116,2020-05-19,0,,2020-04-04,0.47438563
co_116,2020-05-20,0,,2020-04-05,0.47803609
co_116,2020-05-21,0,,2020-04-06,0.489438271
co_116,2020-05-22,0,,2020-04-07,0.512290669
co_116,2020-05-23,12,,2020-04-08,0.55072086
co_116,2020-05-24,0,,2020-04-09,0.607443176
co_116,2020-05-26,0,,2020-04-10,0.682571001
co_116,2020-05-27,0,,2020-04-11,0.772793504
co_116,2020-05-28,6,,2020-04-12,0.871398386
co_116,2020-05-29,0,,2020-04-13,0.969870103
co_116,2020-05-30,0,,2020-04-14,1.059826909
co_116,2020-05-31,0,,2020-04-15,1.135954093
co_116,2020-06-01,0,,2020-04-16,1.200210341
co_116,2020-06-02,0,,2020-04-17,1.253581165
co_116,2020-06-05,0,,2020-04-18,1.26912659
co_116,2020-06-06,0,,2020-04-19,1.242645695
co_116,2020-06-09,0,,2020-04-20,1.191802657
co_116,2020-06-10,0,,2020-04-21,1.143009483
co_116,2020-06-11,0,,2020-04-22,1.122401826
co_116,2020-06-12,7,,2020-04-23,1.150045891
co_116,2020-06-15,6,,2020-04-24,1.23574415
co_116,2020-06-16,5,,2020-04-25,1.379409969
co_116,2020-06-17,0,,2020-04-26,1.573420105
co_116,2020-06-18,0,,2020-04-27,1.805940081
co_116,2020-06-19,7,,2020-04-28,2.066012737
co_116,2020-06-20,5,,2020-04-29,2.349422944
co_116,2020-06-21,0,,2020-04-30,2.655615354
co_116,2020-06-22,0,,2020-05-01,2.991051879
co_116,2020-06-23,5,,2020-05-02,3.367892088
co_116,2020-06-24,6,,2020-05-03,3.797297484
co_116,2020-06-25,11,,2020-05-04,4.284586734
co_116,2020-06-26,9,,2020-05-05,4.825904988
co_116,2020-06-27,8,,2020-05-06,5.405874308
co_116,2020-06-28,6,,2020-05-07,5.99977178
co_116,2020-06-29,10,,2020-05-08,6.579632207
co_116,2020-06-30,11,,2020-05-09,7.123126064
co_116,2020-07-01,21,,2020-05-10,7.626395476
co_116,2020-07-02,8,,2020-05-11,8.115490526
co_116,2020-07-03,13,,2020-05-12,8.589862462
co_116,2020-07-04,5,,2020-05-13,8.996833829
co_116,2020-07-05,18,,2020-05-14,9.330739305
co_116,2020-07-06,13,,2020-05-15,9.625567359
co_116,2020-07-07,9,,2020-05-16,9.930477762
co_116,2020-07-08,8,,2020-05-17,10.29251337
co_116,2020-07-09,10,,2020-05-18,10.74516348
co_116,2020-07-10,12,,2020-05-19,11.3026698
co_116,2020-07-11,15,,2020-05-20,11.96245658
co_116,2020-07-12,15,,2020-05-21,12.70959199
co_116,2020-07-13,29,,2020-05-22,13.5230263
co_116,2020-07-14,12,,2020-05-23,14.38449881
co_116,2020-07-15,30,,2020-05-24,15.33420313
co_116,2020-07-16,19,,2020-05-25,16.53112928
co_116,2020-07-17,14,,2020-05-26,18.02347934
co_116,2020-07-18,37,,2020-05-27,19.75372856
co_116,2020-07-19,54,,2020-05-28,21.61141616
co_116,2020-07-20,37,,2020-05-29,23.4700055
co_116,2020-07-21,40,,2020-05-30,25.21055081
co_116,2020-07-22,19,,2020-05-31,26.74051396
co_116,2020-07-23,18,,2020-06-01,27.99987598
co_116,2020-07-24,18,,2020-06-02,28.96365289
co_116,2020-07-25,72,,2020-06-03,29.64726309
co_116,2020-07-26,18,,2020-06-04,30.11335335
co_116,2020-07-27,36,,2020-06-05,30.45310863
co_116,2020-07-28,23,,2020-06-06,30.67963165
co_116,2020-07-29,28,,2020-06-07,30.74989894
co_116,2020-07-30,20,,2020-06-08,30.60763982
co_116,2020-07-31,47,,2020-06-09,30.20901445
co_116,2020-08-01,20,,2020-06-10,29.54051233
co_116,2020-08-02,12,,2020-06-11,28.63134503
co_116,2020-08-03,18,,2020-06-12,27.56041927
co_116,2020-08-04,8,,2020-06-13,26.44359134
co_116,2020-08-05,14,,2020-06-14,25.40558438
co_116,2020-08-06,20,,2020-06-15,24.53751223
co_116,2020-08-07,23,,2020-06-16,23.83638982
co_116,2020-08-08,8,,2020-06-17,23.17501982
co_116,2020-08-09,13,,2020-06-18,22.49246776
co_116,2020-08-10,22,,2020-06-19,21.75943597
co_116,2020-08-11,20,,2020-06-20,20.97061672
co_116,2020-08-12,14,,2020-06-21,20.13987132
co_116,2020-08-13,10,,2020-06-22,19.29057452
co_116,2020-08-14,6,,2020-06-23,18.44876439
co_116,2020-08-15,18,,2020-06-24,17.63877575
co_116,2020-08-16,16,,2020-06-25,16.87986559
co_116,2020-08-17,12,,2020-06-26,16.18425191
co_116,2020-08-18,27,,2020-06-27,15.55564272
co_116,2020-08-19,14,,2020-06-28,14.98714924
co_116,2020-08-20,13,,2020-06-29,14.4590442
co_116,2020-08-21,0,,2020-06-30,13.94259659
co_116,2020-08-22,6,,2020-07-01,13.40767931
co_116,2020-08-23,7,,2020-07-02,12.85854527
co_116,2020-08-24,16,,2020-07-03,12.32327606
co_116,2020-08-25,12,,2020-07-04,11.83574302
co_116,2020-08-26,14,,2020-07-05,11.42314883
co_116,2020-08-27,0,,2020-07-06,11.09763846
co_116,2020-08-28,10,,2020-07-07,10.85165162
co_116,2020-08-29,18,,2020-07-08,10.66285619
co_116,2020-08-30,0,,2020-07-09,10.50168895
co_116,2020-08-31,6,,2020-07-10,10.34238711
co_116,2020-09-01,10,,2020-07-11,10.17887384
co_116,2020-09-02,12,,2020-07-12,10.03486125
co_116,2020-09-03,16,,2020-07-13,9.928221667
co_116,2020-09-04,16,,2020-07-14,9.872236356
co_116,2020-09-05,6,,2020-07-15,9.877409363
co_116,2020-09-06,8,,2020-07-16,9.948387561
co_116,2020-09-07,14,,2020-07-17,10.0818268
co_116,2020-09-08,14,,2020-07-18,10.26474135
co_116,2020-09-09,12,,2020-07-19,10.47391098
co_116,2020-09-10,8,,2020-07-20,10.67954794
co_116,2020-09-11,18,,2020-07-21,10.85195068
co_116,2020-09-13,14,,2020-07-22,10.97173917
co_116,2020-09-14,14,,2020-07-23,11.04437072
co_116,2020-09-15,6,,2020-07-24,11.10296089
co_116,2020-09-16,8,,2020-07-25,11.10017929
co_116,2020-09-17,14,,2020-07-26,10.95179362
co_116,2020-09-18,12,,2020-07-27,10.6647487
co_116,2020-09-19,10,,2020-07-28,10.30261519
co_116,2020-09-20,10,,2020-07-29,9.949405144
co_116,2020-09-21,8,,2020-07-30,9.68438962
co_116,2020-09-22,10,,2020-07-31,9.564187481
co_116,2020-09-23,12,,2020-08-01,9.614730919
co_116,2020-09-24,22,,2020-08-02,9.835156168
co_116,2020-09-25,14,,2020-08-03,10.20367929
co_116,2020-09-26,0,,2020-08-04,10.68638593
