,date,cc_data,,dates,0
co_1591,15/09/2021,suppressed,,,
co_1591,06/10/2022,suppressed,,,
co_1591,02/07/2022,suppressed,,,
co_1591,11/08/2022,suppressed,,,
co_1591,07/11/2022,suppressed,,,
co_1591,31/08/2022,suppressed,,,
co_1591,10/08/2021,suppressed,,,
co_1591,15/06/2022,suppressed,,,
co_1591,01/10/2021,7,,,
co_1591,06/07/2022,suppressed,,,
co_1591,15/11/2022,5,,,
co_1591,26/04/2021,suppressed,,,
co_1591,27/09/2022,suppressed,,,
co_1591,03/08/2021,suppressed,,,
co_1591,24/06/2022,7,,,
co_1591,24/02/2021,suppressed,,,
co_1591,29/12/2021,suppressed,,,
co_1591,16/12/2022,suppressed,,,
co_1591,18/07/2020,suppressed,,,
co_1591,10/06/2022,6,,,
co_1591,29/12/2022,5,,,
co_1591,21/07/2020,suppressed,,,
co_1591,14/11/2021,suppressed,,,
co_1591,29/11/2022,suppressed,,,
co_1591,20/08/2021,suppressed,,,
co_1591,04/11/2021,8,,,
co_1591,08/12/2021,suppressed,,,
co_1591,06/08/2022,suppressed,,,
co_1591,23/09/2022,suppressed,,,
co_1591,17/03/2023,suppressed,,,
co_1591,23/07/2020,suppressed,,,
co_1591,28/11/2020,22,,,
co_1591,27/05/2022,suppressed,,,
co_1591,23/11/2021,19,,,
co_1591,06/02/2022,suppressed,,,
co_1591,28/06/2022,suppressed,,,
co_1591,21/10/2020,suppressed,,,
co_1591,23/01/2022,8,,,
co_1591,03/09/2022,suppressed,,,
co_1591,24/10/2022,suppressed,,,
co_1591,11/05/2023,suppressed,,,
co_1591,03/01/2023,5,,,
co_1591,05/01/2023,suppressed,,,
co_1591,06/11/2020,suppressed,,,
co_1591,03/09/2021,suppressed,,,
co_1591,15/02/2022,suppressed,,,
co_1591,30/07/2022,suppressed,,,
co_1591,10/01/2021,suppressed,,,
co_1591,27/06/2022,suppressed,,,
co_1591,31/10/2022,suppressed,,,
co_1591,25/12/2020,suppressed,,,
co_1591,25/09/2020,suppressed,,,
co_1591,03/01/2021,41,,,
co_1591,20/07/2020,suppressed,,,
co_1591,21/09/2021,suppressed,,,
co_1591,05/10/2021,9,,,
co_1591,05/05/2022,suppressed,,,
co_1591,25/09/2021,suppressed,,,
co_1591,11/11/2021,11,,,
co_1591,17/01/2022,11,,,
co_1591,12/06/2022,6,,,
co_1591,22/06/2022,suppressed,,,
co_1591,22/07/2020,suppressed,,,
co_1591,21/01/2021,suppressed,,,
co_1591,05/09/2021,suppressed,,,
co_1591,15/10/2021,suppressed,,,
co_1591,20/03/2022,suppressed,,,
co_1591,07/12/2022,suppressed,,,
co_1591,19/05/2023,12,,,
co_1591,17/01/2021,suppressed,,,
co_1591,14/10/2021,40,,,
co_1591,12/12/2021,suppressed,,,
co_1591,03/06/2020,suppressed,,,
co_1591,06/10/2021,5,,,
co_1591,28/10/2021,5,,,
co_1591,13/01/2022,15,,,
co_1591,13/08/2022,suppressed,,,
co_1591,04/01/2023,suppressed,,,
co_1591,21/02/2023,suppressed,,,
co_1591,11/11/2020,14,,,
co_1591,02/09/2021,13,,,
co_1591,28/07/2022,suppressed,,,
co_1591,07/12/2020,19,,,
co_1591,10/01/2022,17,,,
co_1591,12/10/2021,19,,,
co_1591,30/10/2021,suppressed,,,
co_1591,26/05/2020,suppressed,,,
co_1591,07/09/2022,suppressed,,,
co_1591,23/04/2021,suppressed,,,
co_1591,28/01/2022,8,,,
co_1591,01/03/2023,suppressed,,,
co_1591,13/04/2023,suppressed,,,
co_1591,13/09/2021,5,,,
co_1591,25/11/2021,suppressed,,,
co_1591,01/12/2021,9,,,
co_1591,14/02/2022,suppressed,,,
co_1591,03/04/2023,suppressed,,,
co_1591,30/08/2022,suppressed,,,
co_1591,15/04/2023,suppressed,,,
co_1591,02/10/2021,suppressed,,,
co_1591,03/01/2022,8,,,
co_1591,08/07/2020,suppressed,,,
co_1591,22/10/2020,suppressed,,,
co_1591,26/08/2022,suppressed,,,
co_1591,29/09/2022,suppressed,,,
co_1591,12/10/2022,suppressed,,,
co_1591,15/12/2021,suppressed,,,
co_1591,10/02/2021,suppressed,,,
co_1591,28/04/2021,8,,,
co_1591,30/01/2022,suppressed,,,
co_1591,02/12/2020,22,,,
co_1591,16/06/2022,7,,,
co_1591,15/04/2021,suppressed,,,
co_1591,19/06/2021,suppressed,,,
co_1591,10/02/2022,5,,,
co_1591,31/05/2022,suppressed,,,
co_1591,08/11/2022,suppressed,,,
co_1591,25/05/2023,suppressed,,,
co_1591,29/11/2020,20,,,
co_1591,16/02/2021,suppressed,,,
co_1591,16/10/2021,24,,,
co_1591,25/10/2021,10,,,
co_1591,22/12/2021,suppressed,,,
co_1591,03/11/2021,13,,,
co_1591,08/02/2022,suppressed,,,
co_1591,12/07/2022,suppressed,,,
co_1591,03/08/2022,suppressed,,,
co_1591,04/11/2020,suppressed,,,
co_1591,11/02/2021,7,,,
co_1591,04/08/2021,suppressed,,,
co_1591,02/06/2022,suppressed,,,
co_1591,20/09/2022,suppressed,,,
co_1591,16/11/2020,15,,,
co_1591,11/11/2022,suppressed,,,
co_1591,17/11/2022,suppressed,,,
co_1591,06/02/2023,suppressed,,,
co_1591,23/05/2020,suppressed,,,
co_1591,17/11/2020,11,,,
co_1591,01/01/2021,suppressed,,,
co_1591,04/12/2021,suppressed,,,
co_1591,05/11/2022,suppressed,,,
co_1591,09/04/2021,suppressed,,,
co_1591,24/10/2021,suppressed,,,
co_1591,02/05/2021,suppressed,,,
co_1591,27/11/2020,21,,,
co_1591,24/12/2020,suppressed,,,
co_1591,27/10/2021,suppressed,,,
co_1591,07/03/2022,suppressed,,,
co_1591,23/11/2022,5,,,
co_1591,26/10/2020,suppressed,,,
co_1591,19/08/2021,suppressed,,,
co_1591,03/02/2022,12,,,
co_1591,02/05/2022,suppressed,,,
co_1591,14/01/2021,suppressed,,,
co_1591,28/07/2021,suppressed,,,
co_1591,18/10/2021,suppressed,,,
co_1591,13/12/2020,10,,,
co_1591,12/01/2021,suppressed,,,
co_1591,19/04/2021,suppressed,,,
co_1591,10/09/2021,6,,,
co_1591,20/09/2021,5,,,
co_1591,06/11/2021,8,,,
co_1591,16/11/2021,8,,,
co_1591,27/10/2022,suppressed,,,
co_1591,14/12/2021,suppressed,,,
co_1591,06/01/2022,suppressed,,,
