,date,wtp_name,concentration,pcr,target,county_name
0,06/07/2020,119,131642673.7467365,sars-cov-2,n2 and n1,29019
1,14/09/2020,119,128454034.38792312,sars-cov-2,n2 and n1,29019
2,19/10/2020,119,125096646.82253146,sars-cov-2,n2 and n1,29019
3,26/10/2020,119,121336880.41264,sars-cov-2,n2 and n1,29019
4,28/12/2020,119,117006810.03496191,sars-cov-2,n2 and n1,29019
5,25/01/2021,119,112153258.51697312,sars-cov-2,n2 and n1,29019
6,09/02/2021,119,107065442.8725196,sars-cov-2,n2 and n1,29019
7,18/02/2021,119,102152524.0951337,sars-cov-2,n2 and n1,29019
8,25/03/2021,119,97786185.48612729,sars-cov-2,n2 and n1,29019
9,03/05/2021,119,94202576.94768275,sars-cov-2,n2 and n1,29019
10,05/07/2021,119,91485823.32118547,sars-cov-2,n2 and n1,29019
11,19/07/2021,119,89629663.64357387,sars-cov-2,n2 and n1,29019
12,26/07/2021,119,88640139.46786563,sars-cov-2,n2 and n1,29019
13,20/09/2021,119,88603113.6003423,sars-cov-2,n2 and n1,29019
14,04/10/2021,119,89655236.83927153,sars-cov-2,n2 and n1,29019
15,18/10/2021,119,91828313.86199279,sars-cov-2,n2 and n1,29019
16,29/11/2021,119,94764983.94577557,sars-cov-2,n2 and n1,29019
17,13/12/2021,119,97394972.54580289,sars-cov-2,n2 and n1,29019
18,27/12/2021,119,97975716.33503322,sars-cov-2,n2 and n1,29019
19,03/01/2022,119,95144807.88263546,sars-cov-2,n2 and n1,29019
20,24/01/2022,119,89203874.38313226,sars-cov-2,n2 and n1,29019
21,07/02/2022,119,80795519.12923875,sars-cov-2,n2 and n1,29019
22,21/02/2022,119,70782603.57430524,sars-cov-2,n2 and n1,29019
23,18/04/2022,119,60148172.20431894,sars-cov-2,n2 and n1,29019
24,02/05/2022,119,49720725.217302606,sars-cov-2,n2 and n1,29019
25,09/05/2022,119,40086191.12364474,sars-cov-2,n2 and n1,29019
26,06/06/2022,119,31627655.181864116,sars-cov-2,n2 and n1,29019
27,18/07/2022,119,24591927.56017299,sars-cov-2,n2 and n1,29019
28,08/08/2022,119,19120931.559629653,sars-cov-2,n2 and n1,29019
29,22/08/2022,119,15240540.219702741,sars-cov-2,n2 and n1,29019
30,29/08/2022,119,12840968.522461744,sars-cov-2,n2 and n1,29019
31,05/09/2022,119,11766231.218708163,sars-cov-2,n2 and n1,29019
32,03/10/2022,119,11978239.548137007,sars-cov-2,n2 and n1,29019
33,10/10/2022,119,13168706.984986905,sars-cov-2,n2 and n1,29019
34,17/10/2022,119,14856439.955722505,sars-cov-2,n2 and n1,29019
35,28/11/2022,119,16669817.424423167,sars-cov-2,n2 and n1,29019
36,05/12/2022,119,18427627.0466176,sars-cov-2,n2 and n1,29019
37,19/12/2022,119,20082208.402284533,sars-cov-2,n2 and n1,29019
38,06/02/2023,119,21638394.149227794,sars-cov-2,n2 and n1,29019
39,13/02/2023,119,23096466.201598067,sars-cov-2,n2 and n1,29019
40,13/03/2023,119,24433611.247234333,sars-cov-2,n2 and n1,29019
41,27/03/2023,119,25607185.395409994,sars-cov-2,n2 and n1,29019
42,01/05/2023,119,26551852.912533425,sars-cov-2,n2 and n1,29019
43,07/08/2023,119,27178893.917530026,sars-cov-2,n2 and n1,29019
44,21/08/2023,119,27396806.521213762,sars-cov-2,n2 and n1,29019
45,11/09/2023,119,27159675.24512361,sars-cov-2,n2 and n1,29019
46,18/09/2023,119,26519911.080463443,sars-cov-2,n2 and n1,29019
47,25/09/2023,119,25634527.698447116,sars-cov-2,n2 and n1,29019
48,02/10/2023,119,24703969.48565289,sars-cov-2,n2 and n1,29019
49,09/10/2023,119,23868051.185004234,sars-cov-2,n2 and n1,29019
