,0,,,I
0,9.668187801,,,10
1,19.80660465,,,17
2,31.78149418,,,36
3,35.02955648,,,34
4,27.07145046,,,26
5,23.7470344,,,24
6,19.08891545,,,20
7,8.888601446,,,10
8,18.65656661,,,10
9,33.10585602,,,40
10,36.86610045,,,43
11,38.35019068,,,28
12,35.91126233,,,40
13,21.83689973,,,29
14,15.98724734,,,10
15,21.99470454,,,7
16,37.83846935,,,63
17,47.06987159,,,36
18,40.92306216,,,32
19,38.8793113,,,52
20,33.18445968,,,29
21,16.38687745,,,18
22,13.41697422,,,9
23,25.17182368,,,28
24,34.40906161,,,32
25,38.38658454,,,42
26,35.84523345,,,33
27,30.25455912,,,34
28,20.9413609,,,22
29,15.40506331,,,4
30,16.48748456,,,27
31,20.16924005,,,19
32,25.62057896,,,21
33,27.3614359,,,31
34,22.21873228,,,25
35,15.78122851,,,12
36,12.67136662,,,11
37,22.57719642,,,27
38,26.95474683,,,24
39,27.81377896,,,29
40,31.96705438,,,29
41,29.017889,,,34
42,11.97925198,,,12
43,14.73692601,,,8
44,32.33974024,,,36
45,48.78995573,,,53
46,63.9333728,,,58
47,82.44671323,,,80
48,73.67952549,,,92
49,56.98998183,,,47
50,38.73940551,,,19
51,56.47809239,,,78
52,89.64645568,,,85
53,101.8714272,,,96
54,117.7737458,,,117
55,130.8157629,,,153
56,75.02040068,,,60
57,66.86556071,,,54
58,147.9624101,,,163
59,174.4788538,,,173
60,182.3899147,,,177
61,220.1749726,,,215
62,195.9776687,,,221
63,111.7384099,,,113
64,122.805776,,,68
65,180.5483003,,,239
66,256.1324008,,,203
67,277.4103663,,,352
68,276.9790125,,,216
69,309.85345,,,336
70,268.8002307,,,525
71,179.3063973,,,139
72,288.9564629,,,342
73,393.4422699,,,359
74,468.5817534,,,486
75,455.8551988,,,459
76,361.0168115,,,360
77,222.4987263,,,227
78,185.6166577,,,161
79,242.8798223,,,264
80,347.4603738,,,304
81,395.7816065,,,443
82,381.5616494,,,385
83,265.4284175,,,278
84,166.5539218,,,132
85,199.0951486,,,188
86,249.2372609,,,262
87,311.1962596,,,322
88,275.6094651,,,280
89,237.1842718,,,216
90,218.1992772,,,247
91,134.1477345,,,126
92,106.0600349,,,86
93,219.572309,,,216
94,258.5909681,,,285
95,243.4687726,,,234
96,203.2646336,,,200
97,169.9339893,,,167
98,131.4581315,,,162
99,143.6734794,,,80
100,186.7870695,,,234
101,231.9046397,,,226
102,240.8431848,,,242
103,219.6771788,,,205
104,196.4140834,,,231
105,172.9089228,,,154
106,150.5361264,,,105
107,207.6949373,,,272
108,253.6269849,,,218
109,245.5443605,,,268
110,240.2576688,,,217
111,218.3778753,,,242
112,147.7838031,,,141
113,154.4525497,,,135
114,251.0133455,,,263
115,258.3988464,,,275
116,246.1503004,,,221
117,270.3287015,,,279
118,221.3331176,,,245
119,151.9415233,,,136
120,168.5629894,,,132
121,216.2680507,,,253
122,294.8645315,,,285
123,297.6829857,,,315
124,265.7011388,,,240
125,232.3261663,,,265
126,179.0905452,,,154
127,164.3691,,,150
128,266.1797741,,,302
129,289.9736978,,,269
130,263.1508529,,,265
131,197.6909591,,,221
132,150.0702604,,,121
133,141.3355072,,,150
134,167.3974238,,,155
135,217.8986702,,,228
136,255.8973968,,,262
137,245.7219666,,,243
138,186.4503903,,,205
139,136.6389798,,,100
140,136.1153918,,,165
141,183.9737095,,,146
142,225.7298614,,,269
143,230.5449641,,,215
144,169.6276073,,,166
145,147.6008141,,,143
146,145.6294271,,,161
147,103.5229422,,,94
148,94.37611354,,,82
149,142.5469894,,,171
150,132.4834028,,,111
151,104.1264783,,,113
152,97.77929289,,,91
153,89.13009648,,,96
154,80.34415719,,,86
155,94.09485397,,,60
156,103.0222239,,,140
157,100.3541238,,,94
158,95.01716744,,,90
