date,CDC
0,8163.78
1,7129.29
2,8786.35
3,8100.4
4,7398.05
5,7801.2
6,8283.63
7,9390.42
8,7671.25
9,6814.02
10,6061.46
11,2351.24
12,6972.27
13,9074.4
14,6391.68
15,7877.06
16,10215.21
17,6952.83
18,8721.77
19,7284.93
20,7348.23
21,9084.64
22,8889.22
23,7753.51
24,5968.13
25,9061.8
26,7228.47
27,5813.15
28,8526.57
29,8051.17
30,7163.75
31,6485.06
32,8204.23
33,8840.41
34,7836.1
35,7215.37
36,9088.3
37,9170.59
38,7637.31
39,6180.86
40,6529.03
41,8202
42,8492.69
43,8467.97
44,8094.45
45,5858
46,7832.66
47,6484.2
48,6070.26
49,7572.47
50,9115.36
51,9636.64
52,7239.69
53,7451.08
54,5961.3
55,6962.42
56,5583.11
57,9883.59
58,9419.79
59,6091.53
60,8924.94
61,8739.84
62,8778.41
63,9771.57
64,4789.93
65,8647.41
66,9005.91
67,8750.4
68,5750.84
69,8480.23
70,24360.96
71,18467.31
72,7868.4
73,16863.31
74,6680.51
75,11541.58
76,23835.99
77,12926.13
78,9104.39
79,10603.51
80,8909.1
81,17260.03
82,18467.31
83,6963.83
84,26569.39
85,11960.92
86,26269.52
87,7960.84
88,8657.02
89,15813
90,11918.84
91,7282.7
92,8965.42
93,14348.56
94,23835.99
95,9904.31
96,22845.59
97,7283.06
98,7710.69
99,9189.53
100,6442.3
101,6738.28
102,5126.06
103,6938.02
104,5540.08
105,10912.86
106,7346.06
107,6732.9
108,7720.76
109,6013.68
110,4901.63
111,8332.41
112,6486.28
113,5504.16
114,4503.86
115,5642.23
116,6345.83
117,5839.25
118,4809.67
119,3982.99
120,5851.2
121,7827.66
122,7263.57
123,5882.38
124,6991.52
125,6245.82
126,10375.92
127,4974.94
128,6491.51
129,6851.84
130,5550
131,6073.35
132,6010.26
133,7046.41
134,4419.89
135,4191.66
136,4860.86
137,5222.99
138,9789.26
139,5698.53
140,6718.76
141,7521.55
142,6553.9
143,6669.6
144,8397.61
145,6062.22
146,6211.98
147,4030.83
148,9368.58
149,5938.75
150,5013.82
151,5962.96
152,5268.79
153,6408.48
154,6334.47
155,5175.42
156,5670.75
157,8354.14
158,6312.48
159,3193.92
160,7998.06
161,4888.42
162,6564.85
163,5576.21
164,6776.57
165,4282.47
166,10192.12
167,3100.63
168,4549.62
169,6040.7
170,7080.14
171,9082.33
172,6389.55
173,5871.57
174,6118.07
175,7131.04
176,5684.23
177,8355.45
178,7029.02
179,7404.44
180,5974.41
181,5754
182,6050.9
183,7501.96
184,9905.09
185,4278.12
186,8965.09
187,1771.45
188,7275.11
189,6441.1
190,4975.5
191,4627.12
192,9047.34
193,10502.67
194,5429.8
195,8925.92
196,5187.93
197,7671.26
198,15152.7
199,9368.54
200,8877.11
201,9798.55
202,6430
203,6267.02
204,9790.97
205,8747.42
206,8193.58
207,7272
208,7519.42
209,8466.19
210,4863.64
211,4043.24
212,8079.32
213,7800.69
214,5973.64
215,6993.24
216,6091.68
217,7156.92
218,7098.53
219,7721.92
220,9336.4
221,7986.23
222,8916.6
223,9587.21
224,7575.34
225,7376.97
226,9645.79
227,7369.55
228,9849.15
229,9603.85
230,5156.03
231,2362.76
232,5050.62
233,9027.06
234,7683.83
235,7049.01
236,6951.59
237,5780.22
238,4859.58
239,8930.82
240,10250
241,7263.42
242,7815.4
243,7149.04
244,5813.26
245,9529.92
246,6347.79
247,4939.75
248,6115.72
249,8588.84
250,7854.49
251,6599.02
252,4779.96
253,4369.1
254,3350.56
255,7263.89
256,7383.57
257,4553.72
258,3729.22
259,3760.99
260,7067.11
261,3357.63
262,6023.83
263,4493.3
264,3696.39
265,6838.92
266,8359.26
267,5189.65
268,3043.44
269,3063.44
270,3865.55
271,4024.35
272,5640.16
273,2514.39
274,5968.97
275,4125.15
276,3762.14
277,4146.6
278,6006.7
279,8331.23
280,6859.25
281,3736.16
282,6238.48
283,6501.53
284,10013.05
285,5593.68
286,6779.24
287,4677.45
288,4651.13
289,6056.51
290,5209.99
291,3067.18
292,5603.79
293,7592.72
294,5340.13
295,8959.54
296,8538.88
297,7925.8
298,6205.64
299,5539.25
300,17582.4
301,4426.01
302,5160.1
303,5968.89
304,4210.68
305,4543.48
306,6678.46
307,4631.2
308,6569.5
309,6729.21
310,5641.75
311,6975.67
312,7561.65
313,7556
314,4809.54
315,5086.34
316,8760.64
317,7939.99
318,8136.61
319,6146.95
320,8704.2
321,7514.51
322,5958.05
323,6545.9
324,7390.73
325,9205.13
326,6295.68
327,7615.84
328,6924.46
329,6633.97
330,6176.89
331,6787.87
332,5757.75
333,5782.72
334,7245.99
335,5531.32
336,6201.7
337,4065.96
338,9899.25
339,6683.89
340,2606.55
341,5872.83
342,5406.14
343,6808.46
344,5278.2
345,6621.27
346,6961.89
347,7797.45
348,5245.45
349,6884.55
350,8172.09
351,8100.59
352,5153.14
353,7158.47
354,7373.52
355,10151.82
356,6582.68
357,6272.39
358,6764.66
359,7357.89
360,6557.51
361,6608.07
362,13894.62
363,6532.6
364,6676.43
365,5453.74
366,4726.33
367,7675.17
368,8759.02
369,7975.25
370,7315.11
371,7433.32
372,8814.96
373,5287.1
374,6387.18
375,7235.53
376,6282.81
377,7947.85
378,6500.89
379,7084.24
380,7274.23
381,5452.3
382,5788.51
383,6579.4
384,7246.82
385,4637.42
386,4632.36
387,3606
388,5670.51
389,7613.7
390,4345.02
391,4054.38
392,4273.69
393,5336.37
394,6629.97
395,4479.05
396,5284.33
397,6097.57
398,5127.01
399,4034.79
400,4580.48
401,6139.74
402,3675.51
403,4892.14
404,5321.56
405,4815.05
406,5257.41
407,5405.91
408,4249.41
409,4658.18
410,5144.84
411,6642.39
412,10827.93
413,4816.64
414,5325.18
415,4798.53
416,4022.65
417,5324.8
418,7192.48
419,6536.14
420,4499.34
421,4984.59
422,5314.77
423,5095.49
424,5998.27
425,4014.82
426,4510.15
427,5690.12
428,6139.84
429,7233.75
430,6583.09
431,3838.87
432,3868.56
433,6124.64
434,6348.14
435,4455.31
436,3469.86
437,5753.06
438,4454.55
439,4442.25
440,5913.34
441,2963.21
442,7055.47
443,5665.11
444,5630.29
445,3816.05
446,6304.42
447,5425.77
448,4274.7
449,5825.86
450,7867.08
451,5037.96
452,4998.9
453,5811.04
454,4167.43
455,5499.88
456,4883.48
457,3272.72
458,3280.74
459,3304.67
460,3723.91
461,6592.32
462,6943.35
463,4173.67
464,5507.22
465,5232.43
466,3857.1
467,4524.19
468,3699.88
469,4376.17
470,3953.28
471,5676.95
472,4490.07
473,6013.15
474,5298.07
475,6343.29
476,3320.22
477,4059.53
478,5638.59
479,5831.61
480,5475.79
481,3595.89
482,5213.58
483,3945.79
484,4737.46
485,5640.87
486,6470.81
487,5507.03
488,4833.56
489,3957.74
490,5903.73
491,6112.82
492,4568.65
493,6031.61
494,4791.44
495,3899.3
496,5535.72
497,7060.9
498,6363.67
499,6021
500,6565.76
501,5071.17
502,5091.19
503,3942.35
504,6785.58
505,3372.82
506,5724.35
507,5804.91
508,6352.31
509,5668.58
510,4274.61
511,5389.33
512,5641.46
513,4320.17
514,17640.77
515,7085.8
516,4132.36
517,4879.6
518,3594.8
519,6222.02
520,3291.39
521,6376.7
522,5363.26
523,6205.1
524,4640.32
525,6770.81
526,3970.41
527,5114.2
528,8904.17
529,4458.14
530,5911.69
531,7819.13
532,5819.86
533,5283.68
534,5510.16
535,4586.96
536,4270.15
537,4464.14
538,4411.22
539,2546.11
540,5883.47
541,5991.67
542,5188.14
543,4234.46
544,5271.41
545,4780.97
546,8403.4
547,10053.83
548,0
549,10806.03
550,8816.32
551,9262.96
552,3679.55
553,4832.13
554,4408.23
555,9647.34
556,3580.36
557,9860.57
558,4086.37
559,4578.17
560,4554.77
561,3740.3
562,3234.51
563,4340.03
564,5799.88
565,2921.03
566,4556.8
567,1301.75
568,6224.28
569,4379.93
570,11366.35
571,2053.91
572,2328.39
573,4444.49
574,7938.62
575,4457.99
576,3016.36
577,8471.22
578,5573.42
579,2984.44
580,7287.94
581,7999.02
582,7342.57
583,3187.41
584,5561.09
585,4865.34
586,4171.23
587,3975.24
588,6546.7
589,3007.48
590,5193.36
591,2413.13
592,10475.62
593,6390.47
594,4031.83
595,9615.64
596,5693.44
597,6447.14
598,7909.39
599,7813.94
600,7012.36
601,9115.8
602,6710.93
603,9170.94
604,12125.61
605,9992.61
606,7577.25
607,9860.33
608,7049.71
609,8113.2
610,8630.61
611,9958.78
612,6585.6
613,9642.79
614,6234.77
615,8219.87
616,9671.23
617,9719.71
618,6630.23
619,7171.88
620,8300.53
621,9088.82
622,9116.45
623,8715.77
624,10439.17
625,5852.4
626,7926.91
627,6961.54
628,6279.65
629,10782.46
630,6680.74
631,7668.71
632,6977.94
633,9104.82
634,6305.91
635,7539.01
636,8354.36
637,6348
638,10703.04
639,8239.22
640,7798.88
641,9172.07
642,8225.56
643,9545.51
644,8475.28
645,9184.89
646,8968.8
647,8098.62
648,11929.61
649,7398.47
650,8075.09
651,9378.08
652,10401.99
653,8253.52
654,7260.59
655,8227.44
656,7405.15
657,6931.66
658,6585.84
659,9790.08
660,6918.47
661,6484.41
662,9393.25
663,9709.43
664,6496.11
665,7781.92
666,8357
667,9122.19
668,7984.58
669,7814.45
670,8020.06
671,7066.48
672,5471.28
673,8677.86
674,7819.24
675,7601.55
676,7347.35
677,11876.88
678,12207.19
679,8244.72
680,7028.88
681,7192.37
682,8386.47
683,9106.06
684,7985.4
685,10028.16
686,10299.96
687,10217.01
688,7005.43
689,5623.96
690,8738.85
691,8960.63
692,8666.94
693,8631.01
694,10868.34
695,9471.18
696,6737.02
697,4329.62
698,5928.33
699,6986.26
700,6309.98
701,5859.8
702,3746.88
703,2955.2
704,3791.32
705,7009.98
