Dates,JH_S,CDC_S,JH_CASE_S,JH,CDC,CDC_DEATHS,JH_DEATHS
0,232,8163.78,19790,4.296445794,3.911891293,2.28780173,2.365487985
1,727,7129.29,69860,4.844228581,3.853046281,2.812244697,2.861534411
2,103,8786.35,7485,3.874191805,3.943808499,1.903089987,2.012837225
3,109,8100.4,8091,3.908002201,3.908506465,1.672097858,2.037426498
4,261,7398.05,18704,4.271934494,3.869117262,2.008600172,2.416640507
5,54,7801.2,3030,3.481442629,3.892161412,1,1.73239376
6,132,8283.63,6551,3.816307599,3.918220692,1.919078092,2.120573931
7,680,9390.42,41421,4.61722058,3.972685017,2.821513528,2.832508913
8,172,7671.25,10859,4.035789833,3.884866136,1.770852012,2.235528447
9,89,6814.02,6755,3.829625353,3.833403404,1.69019608,1.949390007
10,219,6061.46,13009,4.114243914,3.782577244,1.886490725,2.340444115
11,39,2351.24,2259,3.353916231,3.371296961,1.447158031,1.591064607
12,107,6972.27,8553,3.932118472,3.843374197,1.579783597,2.029383778
13,93,9074.4,5162,3.712818,3.957817919,1.748188027,1.968482949
14,72,6391.68,4428,3.646207612,3.805615024,1.447158031,1.857332496
15,245,7877.06,17185,4.235149536,3.896364154,2.303196057,2.389166084
16,279,10215.21,21291,4.32819606,4.009247299,2.539076099,2.445604203
17,76,6952.83,3604,3.556784782,3.842161611,1.612783857,1.880813592
18,64,8721.77,3776,3.577031986,3.94060463,1.041392685,1.806179974
19,261,7284.93,11804,4.072029201,3.862425383,2.416640507,2.416640507
20,110,7348.23,4738,3.675595056,3.866182741,1.792391689,2.041392685
21,398,9084.64,31520,4.498586209,3.958307722,2.618048097,2.599883072
22,245,8889.22,16507,4.217668151,3.948863655,2.158362492,2.389166084
23,259,7753.51,11031,4.042614885,3.889498351,2.322219295,2.413299764
24,345,5968.13,22522,4.352606954,3.775838275,2.318063335,2.537819095
25,362,9061.8,29837,4.474755154,3.957214473,1.986771734,2.558708571
26,179,7228.47,12367,4.092264361,3.859046383,2.222716471,2.252853031
27,692,5813.15,34229,4.534394211,3.764411529,2.882524538,2.840106094
28,100,8526.57,5887,3.769894036,3.930774362,1.662757832,2
29,154,8051.17,12033,4.080373917,3.905858997,1.857332496,2.187520721
30,172,7163.75,7969,3.901403827,3.855140421,2.008600172,2.235528447
31,54,6485.06,2309,3.363423933,3.811913999,0,1.73239376
32,110,8204.23,5728,3.758003009,3.914037827,1.491361694,2.041392685
33,79,8840.41,5866,3.768342059,3.946472407,1.041392685,1.897627091
34,531,7836.1,32660,4.51401618,3.89409997,3.029789471,2.725094521
35,256,7215.37,18379,4.264321878,3.858258606,2.212187604,2.408239965
36,2535,9088.3,238727,5.37790154,3.958482654,3.59835271,3.403977964
37,73,9170.59,4737,3.675503385,3.962397277,1.380211242,1.86332286
38,420,7637.31,30406,4.482959291,3.882940419,2.710963119,2.62324929
39,181,6180.86,9389,3.972619339,3.791048907,1.913813852,2.257678575
40,372,6529.03,47646,4.678026446,3.814848664,2.767897616,2.57054294
41,320,8202,32150,4.507180977,3.913919765,2.413299764,2.505149978
42,80,8492.69,3370,3.527629901,3.929045272,1.146128036,1.903089987
43,90,8467.97,5293,3.723701894,3.927779311,1.255272505,1.954242509
44,1060,8094.45,116086,5.064779847,3.908187345,3.182699903,3.025305865
45,116,5858,6093,3.784831178,3.767749367,2.100370545,2.064457989
46,160,7832.66,10113,4.004880007,3.893909275,2.10720997,2.204119983
47,410,6484.2,32967,4.518079428,3.811856402,2.598790507,2.612783857
48,1802,6070.26,134986,5.130288728,3.783207293,3.307067951,3.255754787
49,88,7572.47,6742,3.828788748,3.879237561,1.838849091,1.944482672
50,1010,9115.36,73840,4.868291688,3.959773825,3.194514342,3.004321374
51,551,9636.64,46540,4.667826379,3.983925635,2.675778342,2.741151599
52,0,7239.69,0,0,3.85971997,1.230448921,0
53,49,7451.08,2673,3.426998959,3.872219226,1.851258349,1.69019608
54,122,5961.3,6339,3.802020752,3.775340978,2.049218023,2.086359831
55,142,6962.42,9264,3.966798546,3.842760218,1.431363764,2.152288344
56,79,5583.11,6527,3.814713613,3.746876185,2.056904851,1.897627091
57,100,9883.59,13030,4.114944416,3.994914721,2.267171728,2
58,482,9419.79,78112,4.892717758,3.974041221,2.5289167,2.683047038
59,441,6091.53,33302,4.522470316,3.784726387,1.278753601,2.644438589
60,55,8924.94,3176,3.501880494,3.950605305,2.472756449,1.740362689
61,397,8739.84,28602,4.456396402,3.941503482,2.255272505,2.598790507
62,253,8778.41,14611,4.164679941,3.943415861,3.043755127,2.403120521
63,854,9771.57,70976,4.85111152,3.989964348,2.567026366,2.931457871
64,0,4789.93,0,0,3.680329167,1.342422681,0
65,480,8647.41,24154,4.382989062,3.936886051,1.146128036,2.681241237
66,61,9005.91,4397,3.643156466,3.954527603,1.84509804,1.785329835
67,48,8750.4,3659,3.563362409,3.942027906,0,1.681241237
68,141,5750.84,9427,3.974373507,3.759731285,2.889301703,2.149219113
69,5,8480.23,1332,3.124504225,3.928407631,1.602059991,0.698970004
70,3,24360.96,2003,3.301680949,4.386694399,0,0.477121255
71,612,18467.31,124334,5.094589906,4.266403639,0,2.786751422
72,47,7868.4,13021,4.114644339,3.89588643,2.31386722,1.672097858
73,0,16863.31,0,0,4.226942824,0,0
74,1,6680.51,1240,3.093421685,3.824809618,1.255272505,0
75,13,11541.58,2407,3.38147609,4.062265266,1.959041392,1.113943352
76,11,23835.99,1326,3.122543524,4.377233195,1.230448921,1.041392685
77,2,12926.13,1803,3.255995727,4.111468519,0,0.301029996
78,13,9104.39,2271,3.356217134,3.959250853,2.382017043,1.113943352
79,172,10603.51,33699,4.527617014,4.02544965,0,2.235528447
80,1,8909.1,798,2.902002891,3.949833834,0,0
81,0,17260.03,0,0,4.237041546,1,0
82,29,18467.31,11995,4.079000252,4.266403639,0,1.462397998
83,130,6963.83,22694,4.355911051,3.842848161,0,2.113943352
84,27,26569.39,5148,3.711638538,4.424381584,1,1.431363764
85,13,11960.92,5899,3.770778396,4.077764586,0,1.113943352
86,15,26269.52,4952,3.694780636,4.419452137,0,1.176091259
87,277,7960.84,40792,4.610574999,3.900958895,0,2.442479769
88,7,8657.02,7617,3.881783956,3.937368421,0,0.84509804
89,17,15813,5532,3.742882171,4.199014271,0,1.230448921
90,22,11918.84,5794,3.762978491,4.07623399,0,1.342422681
91,0,7282.7,0,0,3.86229242,2.238046103,0
92,8,8965.42,940,2.973127854,3.95257064,2.460897843,0.903089987
93,10,14348.56,1848,3.266701967,4.156808318,2.701567985,1
94,10,23835.99,3521,3.546666025,4.377233195,2.409933123,1
95,0,9904.31,675,2.829303773,3.995824225,2.079181246,0
96,21,22845.59,2482,3.394801777,4.358802378,0,1.322219295
97,0,7283.06,6,0.77815125,3.862313888,1.698970004,0
98,0,7710.69,0,0,3.887093243,4.278181785,0
99,2,9189.53,786,2.895422546,3.9632933,3.131939295,0.301029996
100,5,6442.3,983,2.992553518,3.809040945,2.63748973,0.698970004
101,13,6738.28,1757,3.244771761,3.828549054,3.68538341,1.113943352
102,34,5126.06,8320,3.920123326,3.709783685,2.879669206,1.531478917
103,639,6938.02,36336,4.560337117,3.841235547,1.568201724,2.805500858
104,643,5540.08,39086,4.592021228,3.743516036,3.051923916,2.808210973
105,526,10912.86,52821,4.722806619,4.037938584,3.070407322,2.720985744
106,415,7346.06,21401,4.330434067,3.866054471,1.51851394,2.618048097
107,189,6732.9,14101,4.149249913,3.828202164,1.447158031,2.276461804
108,40,7720.76,2717,3.434089638,3.887660053,2.57863921,1.602059991
109,159,6013.68,5950,3.774516966,3.779140315,3.034628457,2.201397124
110,18846,4901.63,1530296,6.184775443,3.690340525,2.220108088,4.275219187
111,1669,8332.41,67291,4.827956982,3.920770631,1.505149978,3.222456337
112,971,6486.28,48374,4.684612,3.811995692,0,2.98721923
113,0,5504.16,0,0,3.74069105,1.531478917,0
114,4301,4503.86,317052,5.501130497,3.653584882,1.491361694,3.633569443
115,1814,5642.23,156974,5.195827725,3.751450786,1.602059991,3.258637283
116,245,6345.83,19628,4.292876049,3.802488433,1.716003344,2.389166084
117,0,5839.25,0,0,3.766357069,1.806179974,0
118,1388,4809.67,60313,4.780410931,3.68211528,1.176091259,3.142389466
119,1257,3982.99,71174,4.852321374,3.600209216,1.973127854,3.099335278
120,95,5851.2,7009,3.84565606,3.767244943,1.255272505,1.977723605
121,82,7827.66,6249,3.795810525,3.893631954,3.06069784,1.913813852
122,283,7263.57,10722,4.030275803,3.861150126,1.963787827,2.451786436
123,1002,5882.38,77394,4.888707293,3.769553076,1.838849091,3.000867722
124,203,6991.52,11277,4.05219358,3.844571604,1.681241237,2.307496038
125,57,6245.82,3595,3.555698895,3.795589464,1.477121255,1.755874856
126,14,10375.92,1194,3.077004327,4.016026615,1.278753601,1.146128036
127,123,4974.94,7284,3.862369937,3.696787847,1.556302501,2.089905111
