,date,cc_data,,dates,0
mo_119,12/01/2020,0,,12/01/2020,
mo_119,16/01/2020,0,,13/01/2020,
mo_119,24/01/2020,0,,14/01/2020,
mo_119,27/01/2020,0,,15/01/2020,
mo_119,28/01/2020,0,,16/01/2020,
mo_119,30/01/2020,0,,17/01/2020,
mo_119,15/03/2020,0,,18/01/2020,
mo_119,22/03/2020,0,,19/01/2020,
mo_119,27/03/2020,0,,20/01/2020,
mo_119,04/04/2020,0,,21/01/2020,
mo_119,09/05/2020,0,,22/01/2020,
mo_119,20/05/2020,0,,23/01/2020,
mo_119,26/05/2020,0,,24/01/2020,
mo_119,29/05/2020,0,,25/01/2020,
mo_119,06/06/2020,0,,26/01/2020,
mo_119,10/06/2020,0,,27/01/2020,
mo_119,21/06/2020,0,,28/01/2020,
mo_119,22/06/2020,0,,29/01/2020,
mo_119,23/06/2020,0,,30/01/2020,
mo_119,24/06/2020,0,,31/01/2020,
mo_119,26/06/2020,0,,01/02/2020,
mo_119,29/06/2020,0,,02/02/2020,
mo_119,30/06/2020,0,,03/02/2020,
mo_119,01/07/2020,0,,04/02/2020,
mo_119,03/07/2020,0,,05/02/2020,
mo_119,05/07/2020,0,,06/02/2020,
mo_119,06/07/2020,0,,07/02/2020,
mo_119,07/07/2020,0,,08/02/2020,
mo_119,11/07/2020,0,,09/02/2020,
mo_119,14/07/2020,0,,10/02/2020,
mo_119,15/07/2020,0,,11/02/2020,
mo_119,16/07/2020,0,,12/02/2020,
mo_119,17/07/2020,0,,13/02/2020,
mo_119,23/07/2020,0,,14/02/2020,
mo_119,25/07/2020,0,,15/02/2020,
mo_119,26/07/2020,0,,16/02/2020,
mo_119,28/07/2020,0,,17/02/2020,
mo_119,29/07/2020,0,,18/02/2020,
mo_119,30/07/2020,0,,19/02/2020,
mo_119,31/07/2020,0,,20/02/2020,
mo_119,01/08/2020,0,,21/02/2020,
mo_119,03/08/2020,0,,22/02/2020,
mo_119,05/08/2020,0,,23/02/2020,
mo_119,06/08/2020,0,,24/02/2020,
mo_119,07/08/2020,5,,25/02/2020,
mo_119,08/08/2020,7,,26/02/2020,
mo_119,09/08/2020,0,,27/02/2020,
mo_119,10/08/2020,0,,28/02/2020,
mo_119,11/08/2020,0,,29/02/2020,
mo_119,12/08/2020,8,,01/03/2020,
mo_119,13/08/2020,0,,02/03/2020,
mo_119,14/08/2020,0,,03/03/2020,
mo_119,15/08/2020,5,,04/03/2020,
mo_119,16/08/2020,0,,05/03/2020,
mo_119,17/08/2020,5,,06/03/2020,
mo_119,18/08/2020,6,,07/03/2020,
mo_119,19/08/2020,7,,08/03/2020,
mo_119,20/08/2020,5,,09/03/2020,
mo_119,21/08/2020,8,,10/03/2020,
mo_119,22/08/2020,0,,11/03/2020,
mo_119,23/08/2020,6,,12/03/2020,
mo_119,24/08/2020,9,,13/03/2020,
mo_119,25/08/2020,11,,14/03/2020,
mo_119,26/08/2020,12,,15/03/2020,
mo_119,27/08/2020,17,,16/03/2020,
mo_119,28/08/2020,18,,17/03/2020,
mo_119,29/08/2020,7,,18/03/2020,
