,date,cc_data
ut_17,2020-11-13,5
ut_17,2021-03-13,5
ut_17,2021-04-04,5
ut_17,2021-05-09,5
ut_17,2021-05-18,5
ut_17,2021-05-31,5
ut_17,2021-06-12,5
ut_17,2021-06-20,5
ut_17,2021-06-23,5
ut_17,2021-06-26,5
ut_17,2021-07-04,5
ut_17,2022-02-26,5
ut_17,2022-02-27,5
ut_17,2022-03-03,5
ut_17,2022-03-09,5
ut_17,2022-04-08,5
ut_17,2022-04-13,5
ut_17,2022-04-17,5
ut_17,2022-08-07,5
ut_17,2022-09-07,5
ut_17,2022-09-08,5
ut_17,2022-09-16,5
ut_17,2022-09-20,5
ut_17,2022-09-26,5
ut_17,2022-09-28,5
ut_17,2022-10-16,5
ut_17,2022-12-11,5
ut_17,2022-12-19,5
ut_17,2022-12-26,5
ut_17,2023-01-01,5
ut_17,2023-01-07,5
ut_17,2023-01-08,5
ut_17,2023-01-09,5
ut_17,2023-01-10,5
ut_17,2023-01-14,5
ut_17,2023-01-24,5
ut_17,2023-02-05,5
ut_17,2023-02-07,5
ut_17,2023-02-14,5
ut_17,2023-02-15,5
ut_17,2023-02-28,5
ut_17,2023-03-10,5
ut_17,2023-03-11,5
ut_17,2023-03-23,5
ut_17,2023-03-27,5
ut_17,2023-07-07,5
ut_17,2023-07-25,5
ut_17,2023-08-18,5
ut_17,2023-09-07,5
ut_17,2023-09-22,5
ut_17,2023-10-31,5
ut_17,2023-11-16,5
ut_17,2020-11-17,6
ut_17,2020-11-21,6
ut_17,2020-11-22,6
ut_17,2021-05-08,6
ut_17,2021-05-19,6
ut_17,2021-05-26,6
ut_17,2021-05-27,6
ut_17,2021-05-28,6
ut_17,2021-05-30,6
ut_17,2021-06-18,6
ut_17,2021-06-24,6
ut_17,2021-06-27,6
ut_17,2022-03-04,6
ut_17,2022-03-08,6
ut_17,2022-05-22,6
ut_17,2022-07-17,6
ut_17,2022-08-13,6
ut_17,2022-08-22,6
ut_17,2022-08-27,6
ut_17,2022-09-13,6
ut_17,2022-09-23,6
ut_17,2022-09-30,6
ut_17,2022-10-12,6
ut_17,2022-10-13,6
ut_17,2022-10-29,6
ut_17,2022-11-06,6
ut_17,2022-11-24,6
ut_17,2023-01-02,6
ut_17,2023-01-28,6
ut_17,2023-01-30,6
ut_17,2023-01-31,6
ut_17,2023-08-26,6
ut_17,2023-09-05,6
ut_17,2023-09-11,6
ut_17,2023-09-16,6
ut_17,2023-10-18,6
ut_17,2023-10-23,6
ut_17,2020-11-19,7
ut_17,2021-03-06,7
ut_17,2021-03-29,7
ut_17,2021-05-10,7
ut_17,2021-05-22,7
ut_17,2021-05-25,7
ut_17,2021-05-29,7
ut_17,2021-06-22,7
ut_17,2022-03-13,7
ut_17,2022-04-25,7
ut_17,2022-04-29,7
ut_17,2022-08-21,7
ut_17,2022-08-28,7
ut_17,2022-08-30,7
ut_17,2022-09-01,7
ut_17,2022-09-12,7
ut_17,2022-09-27,7
ut_17,2022-10-03,7
ut_17,2022-10-15,7
ut_17,2022-10-18,7
ut_17,2022-10-22,7
ut_17,2022-10-24,7
ut_17,2022-12-06,7
ut_17,2022-12-10,7
ut_17,2022-12-20,7
ut_17,2022-12-22,7
ut_17,2023-01-04,7
ut_17,2023-01-05,7
ut_17,2023-01-06,7
ut_17,2023-01-11,7
ut_17,2023-01-17,7
ut_17,2023-01-20,7
ut_17,2023-02-04,7
ut_17,2023-02-09,7
ut_17,2023-02-10,7
ut_17,2023-02-20,7
ut_17,2023-02-21,7
ut_17,2023-02-24,7
ut_17,2023-02-25,7
ut_17,2023-02-26,7
ut_17,2023-03-04,7
ut_17,2023-03-07,7
ut_17,2023-09-15,7
ut_17,2023-09-17,7
ut_17,2023-11-10,7
ut_17,2021-03-23,8
ut_17,2021-04-18,8
ut_17,2021-04-23,8
ut_17,2021-05-01,8
ut_17,2021-05-21,8
ut_17,2021-06-11,8
ut_17,2021-06-13,8
ut_17,2022-03-07,8
ut_17,2022-04-20,8
ut_17,2022-05-01,8
ut_17,2022-07-31,8
ut_17,2022-08-24,8
ut_17,2022-09-06,8
ut_17,2022-09-22,8
ut_17,2022-09-25,8
ut_17,2022-09-29,8
ut_17,2022-10-10,8
ut_17,2022-10-11,8
ut_17,2022-10-19,8
ut_17,2022-10-28,8
ut_17,2022-11-01,8
ut_17,2022-11-13,8
ut_17,2022-11-19,8
ut_17,2022-11-25,8
ut_17,2023-02-06,8
ut_17,2023-02-12,8
ut_17,2023-03-14,8
ut_17,2023-09-25,8
ut_17,2020-11-23,9
ut_17,2021-02-28,9
ut_17,2021-03-04,9
ut_17,2021-03-14,9
ut_17,2021-03-26,9
ut_17,2021-03-27,9
ut_17,2021-04-17,9
ut_17,2021-04-25,9
ut_17,2021-04-27,9
ut_17,2021-05-04,9
ut_17,2021-05-05,9
ut_17,2021-05-13,9
ut_17,2021-05-24,9
ut_17,2021-06-01,9
ut_17,2022-02-25,9
ut_17,2022-03-01,9
ut_17,2022-03-02,9
ut_17,2022-03-10,9
ut_17,2022-04-24,9
ut_17,2022-05-07,9
ut_17,2022-05-15,9
ut_17,2022-08-25,9
ut_17,2022-08-29,9
ut_17,2022-09-14,9
ut_17,2022-09-19,9
ut_17,2022-10-06,9
ut_17,2022-10-14,9
ut_17,2022-10-20,9
ut_17,2022-11-03,9
ut_17,2022-11-26,9
ut_17,2022-11-27,9
ut_17,2022-12-16,9
ut_17,2022-12-21,9
ut_17,2023-01-18,9
ut_17,2023-11-07,9
ut_17,2021-02-27,10
ut_17,2021-03-07,10
ut_17,2021-03-12,10
ut_17,2021-03-19,10
ut_17,2021-03-20,10
ut_17,2021-03-21,10
ut_17,2021-03-30,10
ut_17,2021-04-07,10
ut_17,2021-04-09,10
ut_17,2021-04-28,10
ut_17,2021-05-07,10
ut_17,2021-06-03,10
ut_17,2021-06-08,10
ut_17,2021-07-05,10
ut_17,2022-02-22,10
ut_17,2022-02-24,10
ut_17,2022-04-27,10
ut_17,2022-05-04,10
ut_17,2022-08-14,10
ut_17,2022-08-23,10
ut_17,2022-08-26,10
ut_17,2022-09-03,10
ut_17,2022-09-15,10
ut_17,2022-09-24,10
ut_17,2022-10-31,10
ut_17,2022-11-08,10
ut_17,2022-11-11,10
ut_17,2022-11-20,10
ut_17,2022-12-04,10
ut_17,2022-12-12,10
ut_17,2022-12-14,10
ut_17,2022-12-15,10
ut_17,2022-12-18,10
ut_17,2022-12-24,10
ut_17,2022-12-31,10
ut_17,2023-02-18,10
ut_17,2021-03-28,11
ut_17,2021-04-11,11
ut_17,2021-04-24,11
ut_17,2021-04-30,11
ut_17,2021-05-11,11
ut_17,2021-05-15,11
ut_17,2021-06-04,11
ut_17,2021-06-06,11
ut_17,2021-06-10,11
ut_17,2021-12-19,11
ut_17,2022-02-19,11
ut_17,2022-05-03,11
ut_17,2022-05-08,11
ut_17,2022-07-24,11
ut_17,2022-08-06,11
ut_17,2022-08-16,11
ut_17,2022-08-18,11
ut_17,2022-10-05,11
ut_17,2022-10-17,11
ut_17,2022-10-21,11
ut_17,2022-10-25,11
ut_17,2022-10-30,11
ut_17,2022-11-02,11
ut_17,2022-12-02,11
ut_17,2022-12-03,11
ut_17,2022-12-17,11
ut_17,2022-12-27,11
ut_17,2022-12-30,11
ut_17,2023-02-23,11
ut_17,2021-03-17,12
ut_17,2021-03-24,12
ut_17,2021-04-06,12
ut_17,2021-04-10,12
ut_17,2021-04-19,12
ut_17,2021-05-12,12
ut_17,2021-05-14,12
ut_17,2021-06-02,12
ut_17,2021-06-05,12
ut_17,2021-06-19,12
ut_17,2021-07-03,12
ut_17,2022-02-13,12
ut_17,2022-04-28,12
ut_17,2022-04-30,12
ut_17,2022-08-09,12
ut_17,2022-08-20,12
ut_17,2022-09-02,12
ut_17,2022-09-21,12
ut_17,2022-12-08,12
ut_17,2022-12-13,12
ut_17,2023-02-16,12
ut_17,2020-11-24,13
ut_17,2021-03-05,13
ut_17,2021-04-08,13
ut_17,2021-04-15,13
ut_17,2021-04-16,13
ut_17,2021-05-02,13
ut_17,2021-05-06,13
ut_17,2021-06-07,13
ut_17,2021-06-16,13
ut_17,2021-06-25,13
ut_17,2021-06-28,13
