,date,cc_data,,dates,I
oh_102,11/10/2020,6,,11/10/2020,
oh_102,12/10/2020,7,,12/10/2020,
oh_102,13/10/2020,8,,13/10/2020,
oh_102,14/10/2020,13,,14/10/2020,
oh_102,15/10/2020,6,,15/10/2020,
oh_102,16/10/2020,7,,16/10/2020,
oh_102,17/10/2020,6,,17/10/2020,
oh_102,18/10/2020,9,,18/10/2020,
oh_102,19/10/2020,7,,19/10/2020,
oh_102,20/10/2020,6,,20/10/2020,
oh_102,21/10/2020,6,,21/10/2020,
oh_102,22/10/2020,5,,22/10/2020,
oh_102,23/10/2020,6,,23/10/2020,
oh_102,24/10/2020,6,,24/10/2020,
oh_102,25/10/2020,7,,25/10/2020,
oh_102,26/10/2020,21,,26/10/2020,
oh_102,27/10/2020,6,,27/10/2020,
oh_102,28/10/2020,8,,28/10/2020,
oh_102,29/10/2020,7,,29/10/2020,
oh_102,30/10/2020,11,,30/10/2020,
oh_102,31/10/2020,15,,31/10/2020,
oh_102,01/11/2020,8,,01/11/2020,
oh_102,02/11/2020,14,,02/11/2020,
oh_102,03/11/2020,32,,03/11/2020,
oh_102,04/11/2020,24,,04/11/2020,
oh_102,05/11/2020,11,,05/11/2020,
oh_102,06/11/2020,17,,06/11/2020,
oh_102,07/11/2020,10,,07/11/2020,
oh_102,08/11/2020,17,,08/11/2020,
oh_102,09/11/2020,21,,09/11/2020,
oh_102,10/11/2020,26,,10/11/2020,
oh_102,11/11/2020,24,,11/11/2020,
oh_102,12/11/2020,18,,12/11/2020,
oh_102,13/11/2020,22,,13/11/2020,
oh_102,14/11/2020,25,,14/11/2020,
oh_102,15/11/2020,17,,15/11/2020,
oh_102,16/11/2020,16,,16/11/2020,
oh_102,17/11/2020,140,,17/11/2020,
oh_102,18/11/2020,28,,18/11/2020,
oh_102,19/11/2020,15,,19/11/2020,
oh_102,20/11/2020,8,,20/11/2020,
oh_102,21/11/2020,17,,21/11/2020,
oh_102,22/11/2020,16,,22/11/2020,
oh_102,23/11/2020,13,,23/11/2020,
oh_102,24/11/2020,105,,24/11/2020,
oh_102,25/11/2020,17,,25/11/2020,
oh_102,26/11/2020,8,,26/11/2020,
oh_102,27/11/2020,21,,27/11/2020,
oh_102,28/11/2020,20,,28/11/2020,
oh_102,29/11/2020,11,,29/11/2020,
oh_102,30/11/2020,23,,30/11/2020,
oh_102,01/12/2020,23,,01/12/2020,
oh_102,02/12/2020,12,,02/12/2020,
oh_102,03/12/2020,14,,03/12/2020,
oh_102,04/12/2020,22,,04/12/2020,
oh_102,05/12/2020,14,,05/12/2020,
oh_102,06/12/2020,20,,06/12/2020,
oh_102,07/12/2020,16,,07/12/2020,
oh_102,08/12/2020,27,,08/12/2020,
oh_102,09/12/2020,38,,09/12/2020,
oh_102,10/12/2020,13,,10/12/2020,
oh_102,11/12/2020,19,,11/12/2020,
oh_102,12/12/2020,17,,12/12/2020,
oh_102,13/12/2020,18,,13/12/2020,
oh_102,14/12/2020,25,,14/12/2020,
oh_102,15/12/2020,17,,15/12/2020,
oh_102,16/12/2020,13,,16/12/2020,
oh_102,17/12/2020,17,,17/12/2020,
oh_102,18/12/2020,10,,18/12/2020,
oh_102,19/12/2020,8,,19/12/2020,
oh_102,20/12/2020,19,,20/12/2020,
oh_102,21/12/2020,21,,21/12/2020,
oh_102,22/12/2020,329,,22/12/2020,
oh_102,23/12/2020,6,,23/12/2020,
oh_102,24/12/2020,14,,24/12/2020,
oh_102,25/12/2020,9,,25/12/2020,
oh_102,26/12/2020,14,,26/12/2020,
oh_102,27/12/2020,15,,27/12/2020,
oh_102,28/12/2020,23,,28/12/2020,
oh_102,29/12/2020,13,,29/12/2020,
oh_102,30/12/2020,15,,30/12/2020,
oh_102,31/12/2020,12,,31/12/2020,
oh_102,01/01/2021,12,,01/01/2021,
oh_102,02/01/2021,0,,02/01/2021,
oh_102,03/01/2021,14,,03/01/2021,
oh_102,04/01/2021,16,,04/01/2021,
oh_102,05/01/2021,105,,05/01/2021,
oh_102,06/01/2021,12,,06/01/2021,
oh_102,07/01/2021,12,,07/01/2021,
oh_102,08/01/2021,9,,08/01/2021,
