Dates,,,,,,,Galax,McMullen,Robertson,King,SantaCruz,Kauai
0,8.621447072,0.230617024,-0.561347066,184.2442249,-7.80489217,-6.734229341,0.935580166,-0.637108637,0,2.265393884,0,0
1,8.903281455,0.268894168,-0.438870486,225.9299122,0.342248757,-6.421563611,0.949550103,-0.570418617,0,2.353973734,-0.46565812,0
2,9.18139193,0.306782061,-0.316961043,267.459253,8.441041113,-6.104535267,0.962908527,-0.513170039,0,2.427257627,0.926396016,0
3,9.455696133,0.344265942,-0.195652936,308.8254105,16.48886512,-5.782956178,0.975693507,-0.46310594,0,2.489713027,1.217190765,0
4,9.726128121,0.381331157,-0.074982584,350.0217705,24.48299326,-5.45664046,0.987939986,-0.418697709,0,2.544095057,1.388864513,0
5,9.992639338,0.417963279,0.045011667,391.0420397,32.4206101,-5.125403989,0.999680213,-0.378861872,-1.346674903,2.59222345,1.510821183,0
6,10.25519958,0.454148227,0.164289837,431.8803328,40.29883202,-4.789063931,1.010944117,-0.342802377,-0.784389301,2.635363427,1.605292459,0
7,10.51379796,0.489872387,0.282810608,472.5311904,48.11472654,-4.447438282,1.021759627,-0.30991704,-0.548504305,2.67443048,1.682278022,0
8,10.7684439,0.525122738,0.40053162,512.9894351,55.86532759,-4.10034604,1.03215295,-0.279739176,-0.397363193,2.710108421,1.74714235,0
9,11.01916807,0.559886972,0.51740977,553.2498272,63.54764437,-3.747608356,1.042148807,-0.251899638,-0.286165375,2.742921287,1.803099456,0
10,11.26602316,0.594153619,0.633401519,593.3065093,71.15867118,-3.389048661,1.05177064,-0.226101253,-0.198320899,2.773279113,1.852227829,0
11,11.5090839,0.627912177,0.748463195,633.1526309,78.6954003,-3.024504503,1.061040756,-0.202101095,-0.125829551,2.801508416,1.895949349,0
12,11.74844904,0.661153236,0.862551312,672.7800305,86.15483405,-2.653824121,1.069980537,-0.179697872,-0.06421506,2.827873092,1.93527965,0
13,11.98424282,0.693868612,0.975622893,712.1797428,93.53400885,-2.276860248,1.0786106,-0.158722758,-0.010718018,2.852589616,1.970969549,0
14,12.21661527,0.726051485,1.087635795,751.342414,100.830027,-1.893465362,1.086950897,-0.139032582,0.036483492,2.875837906,2.003589883,0
15,12.4457333,0.75769654,1.198549058,790.2585086,108.0400794,-1.503490379,1.09502049,-0.120504696,0.078655815,2.897769181,2.033584895,0
16,12.67175171,0.788800112,1.308323257,828.9185708,115.1614778,-1.106784211,1.102836655,-0.103033036,0.116715062,2.91851187,2.061307229,0
