,date,cc_data,,dates,I
wi_203_68,01/04/2020,12,,01/04/2020,10.24619215
wi_203_68,02/04/2020,12,,02/04/2020,10.58163526
wi_203_68,03/04/2020,11,,03/04/2020,10.91779258
wi_203_68,04/04/2020,10,,04/04/2020,11.25453087
wi_203_68,05/04/2020,5,,05/04/2020,11.59173263
wi_203_68,06/04/2020,13,,06/04/2020,11.92929752
wi_203_68,07/04/2020,13,,07/04/2020,12.26714203
wi_203_68,08/04/2020,11,,08/04/2020,12.60587023
wi_203_68,09/04/2020,16,,09/04/2020,12.95178806
wi_203_68,10/04/2020,19,,10/04/2020,13.3081047
wi_203_68,11/04/2020,16,,11/04/2020,13.67161944
wi_203_68,12/04/2020,6,,12/04/2020,14.03666191
wi_203_68,13/04/2020,19,,13/04/2020,14.39789626
wi_203_68,14/04/2020,15,,14/04/2020,14.75167528
wi_203_68,15/04/2020,15,,15/04/2020,15.09629861
wi_203_68,16/04/2020,8,,16/04/2020,15.43161498
wi_203_68,17/04/2020,12,,17/04/2020,15.75836054
wi_203_68,18/04/2020,26,,18/04/2020,16.07764969
wi_203_68,19/04/2020,11,,19/04/2020,16.39063578
wi_203_68,20/04/2020,16,,20/04/2020,16.69830855
wi_203_68,21/04/2020,15,,21/04/2020,17.00340154
wi_203_68,22/04/2020,26,,22/04/2020,17.31255966
wi_203_68,23/04/2020,17,,23/04/2020,17.62605116
wi_203_68,24/04/2020,22,,24/04/2020,17.93908029
wi_203_68,25/04/2020,19,,25/04/2020,18.24504459
wi_203_68,26/04/2020,13,,26/04/2020,18.53766584
wi_203_68,27/04/2020,17,,27/04/2020,18.8121838
wi_203_68,28/04/2020,13,,28/04/2020,19.06626028
wi_203_68,29/04/2020,13,,29/04/2020,19.29954334
wi_203_68,30/04/2020,41,,30/04/2020,19.51292884
wi_203_68,01/05/2020,33,,01/05/2020,19.70814765
wi_203_68,02/05/2020,10,,02/05/2020,19.88756936
wi_203_68,03/05/2020,11,,03/05/2020,20.05465357
wi_203_68,04/05/2020,22,,04/05/2020,20.23988115
wi_203_68,05/05/2020,15,,05/05/2020,20.4878521
wi_203_68,06/05/2020,24,,06/05/2020,20.80011269
wi_203_68,07/05/2020,17,,07/05/2020,21.14564438
wi_203_68,08/05/2020,20,,08/05/2020,21.47818654
wi_203_68,09/05/2020,21,,09/05/2020,21.7526268
wi_203_68,10/05/2020,21,,10/05/2020,21.94153428
wi_203_68,11/05/2020,31,,11/05/2020,22.03609798
wi_203_68,12/05/2020,17,,12/05/2020,22.04187059
wi_203_68,13/05/2020,27,,13/05/2020,21.97466241
wi_203_68,14/05/2020,21,,14/05/2020,21.85461584
wi_203_68,15/05/2020,34,,15/05/2020,21.69756162
wi_203_68,16/05/2020,9,,16/05/2020,21.50695107
wi_203_68,17/05/2020,10,,17/05/2020,21.27882704
wi_203_68,18/05/2020,29,,18/05/2020,20.9987593
wi_203_68,19/05/2020,20,,19/05/2020,20.6487324
wi_203_68,20/05/2020,36,,20/05/2020,20.21459133
wi_203_68,21/05/2020,16,,21/05/2020,19.69111241
wi_203_68,22/05/2020,15,,22/05/2020,19.08562329
wi_203_68,23/05/2020,24,,23/05/2020,18.42087803
wi_203_68,24/05/2020,10,,24/05/2020,17.73202145
wi_203_68,25/05/2020,13,,25/05/2020,17.05946293
wi_203_68,26/05/2020,11,,26/05/2020,16.43814841
wi_203_68,27/05/2020,23,,27/05/2020,15.88116623
wi_203_68,28/05/2020,8,,28/05/2020,15.3590029
wi_203_68,29/05/2020,15,,29/05/2020,14.82167851
wi_203_68,30/05/2020,8,,30/05/2020,14.22101233
wi_203_68,31/05/2020,8,,31/05/2020,13.54646695
wi_203_68,01/06/2020,13,,01/06/2020,12.82010524
wi_203_68,02/06/2020,13,,02/06/2020,12.07901406
wi_203_68,03/06/2020,28,,03/06/2020,11.36243801
wi_203_68,04/06/2020,17,,04/06/2020,10.70299367
wi_203_68,05/06/2020,7,,05/06/2020,10.12066106
wi_203_68,06/06/2020,5,,06/06/2020,9.622640141
wi_203_68,07/06/2020,10,,07/06/2020,9.205033398
wi_203_68,08/06/2020,11,,08/06/2020,8.855294089
wi_203_68,09/06/2020,8,,09/06/2020,8.555915847
wi_203_68,10/06/2020,7,,10/06/2020,8.282441704
wi_203_68,11/06/2020,0,,11/06/2020,7.979843993
wi_203_68,12/06/2020,9,,12/06/2020,7.639989364
wi_203_68,13/06/2020,0,,13/06/2020,7.304325851
wi_203_68,14/06/2020,0,,14/06/2020,7.03186266
wi_203_68,15/06/2020,10,,15/06/2020,6.877135799
wi_203_68,16/06/2020,6,,16/06/2020,6.8763168
wi_203_68,17/06/2020,9,,17/06/2020,7.037362615
wi_203_68,18/06/2020,11,,18/06/2020,7.339438137
wi_203_68,19/06/2020,8,,19/06/2020,7.741701951
wi_203_68,20/06/2020,5,,20/06/2020,8.194792276
wi_203_68,21/06/2020,0,,21/06/2020,8.658596863
wi_203_68,22/06/2020,10,,22/06/2020,9.128354708
wi_203_68,23/06/2020,13,,23/06/2020,9.651550545
wi_203_68,24/06/2020,17,,24/06/2020,10.2855198
wi_203_68,25/06/2020,15,,25/06/2020,11.06352633
wi_203_68,26/06/2020,16,,26/06/2020,11.9932147
wi_203_68,27/06/2020,12,,27/06/2020,13.06055912
wi_203_68,28/06/2020,12,,28/06/2020,14.23304279
wi_203_68,29/06/2020,29,,29/06/2020,15.46174104
wi_203_68,30/06/2020,21,,30/06/2020,16.6849868
wi_203_68,01/07/2020,17,,01/07/2020,17.83817067
wi_203_68,02/07/2020,19,,02/07/2020,18.86633043
wi_203_68,03/07/2020,15,,03/07/2020,19.74235657
wi_203_68,04/07/2020,14,,04/07/2020,20.49150396
wi_203_68,05/07/2020,21,,05/07/2020,21.19587585
wi_203_68,06/07/2020,32,,06/07/2020,21.92195452
wi_203_68,07/07/2020,33,,07/07/2020,22.7044139
wi_203_68,08/07/2020,27,,08/07/2020,23.52115608
wi_203_68,09/07/2020,21,,09/07/2020,24.32229896
wi_203_68,10/07/2020,27,,10/07/2020,25.05364789
wi_203_68,11/07/2020,28,,11/07/2020,25.67221952
wi_203_68,12/07/2020,16,,12/07/2020,26.15670966
wi_203_68,13/07/2020,27,,13/07/2020,26.51142727
wi_203_68,14/07/2020,31,,14/07/2020,26.76031915
wi_203_68,15/07/2020,30,,15/07/2020,26.93872596
wi_203_68,16/07/2020,33,,16/07/2020,27.08101532
wi_203_68,17/07/2020,33,,17/07/2020,27.20251649
wi_203_68,18/07/2020,22,,18/07/2020,27.29290961
wi_203_68,19/07/2020,20,,19/07/2020,27.35694611
wi_203_68,20/07/2020,31,,20/07/2020,27.37751617
wi_203_68,21/07/2020,29,,21/07/2020,27.32115215
wi_203_68,22/07/2020,22,,22/07/2020,27.15506123
wi_203_68,23/07/2020,36,,23/07/2020,26.85883745
wi_203_68,24/07/2020,17,,24/07/2020,26.43231748
wi_203_68,25/07/2020,28,,25/07/2020,25.9009953
wi_203_68,26/07/2020,18,,26/07/2020,25.31103421
wi_203_68,27/07/2020,28,,27/07/2020,24.71808528
wi_203_68,28/07/2020,26,,28/07/2020,24.17075526
wi_203_68,29/07/2020,19,,29/07/2020,23.68608039
wi_203_68,30/07/2020,16,,30/07/2020,23.22180123
wi_203_68,31/07/2020,26,,31/07/2020,22.73176413
wi_203_68,01/08/2020,17,,01/08/2020,22.19309038
wi_203_68,02/08/2020,18,,02/08/2020,21.5922777
wi_203_68,03/08/2020,27,,03/08/2020,20.9267063
wi_203_68,04/08/2020,27,,04/08/2020,20.20307016
