dates,I
UID,84001001
iso2,US
iso3,USA
code3,840
FIPS,1001.0
Admin2,Autauga
Province_State,Alabama
Country_Region,US
Lat,32.53952745
Long_,-86.64408227
Combined_Key,"Autauga, Alabama, US"
Population,55869
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,0
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,0
3/15/20,0
3/16/20,0
3/17/20,0
3/18/20,0
3/19/20,0
3/20/20,0
3/21/20,0
3/22/20,0
3/23/20,0
3/24/20,0
3/25/20,0
3/26/20,0
3/27/20,0
3/28/20,0
3/29/20,0
3/30/20,0
3/31/20,0
4/1/20,0
4/2/20,0
4/3/20,0
4/4/20,0
4/5/20,0
4/6/20,0
4/7/20,1
4/8/20,1
4/9/20,1
4/10/20,1
4/11/20,1
4/12/20,1
4/13/20,1
4/14/20,1
4/15/20,1
4/16/20,1
4/17/20,2
4/18/20,2
4/19/20,2
4/20/20,1
4/21/20,1
4/22/20,2
4/23/20,2
4/24/20,2
4/25/20,2
4/26/20,2
4/27/20,3
4/28/20,4
4/29/20,4
4/30/20,4
5/1/20,3
5/2/20,3
5/3/20,3
5/4/20,3
5/5/20,3
5/6/20,3
5/7/20,3
5/8/20,4
5/9/20,4
5/10/20,4
5/11/20,4
5/12/20,4
5/13/20,4
5/14/20,4
5/15/20,4
5/16/20,4
5/17/20,4
5/18/20,4
5/19/20,4
5/20/20,3
5/21/20,3
5/22/20,3
5/23/20,3
5/24/20,3
5/25/20,3
5/26/20,3
5/27/20,3
5/28/20,3
5/29/20,3
5/30/20,4
5/31/20,4
6/1/20,5
6/2/20,5
6/3/20,5
6/4/20,5
6/5/20,5
6/6/20,5
6/7/20,5
6/8/20,5
6/9/20,5
6/10/20,6
6/11/20,6
6/12/20,6
6/13/20,6
6/14/20,6
6/15/20,6
6/16/20,6
6/17/20,6
6/18/20,7
6/19/20,7
6/20/20,8
6/21/20,8
6/22/20,8
6/23/20,8
6/24/20,10
6/25/20,10
6/26/20,10
6/27/20,11
6/28/20,11
6/29/20,11
6/30/20,11
7/1/20,11
7/2/20,12
7/3/20,12
7/4/20,12
7/5/20,12
7/6/20,12
7/7/20,12
7/8/20,12
7/9/20,13
7/10/20,14
7/11/20,14
7/12/20,15
7/13/20,15
7/14/20,17
7/15/20,18
7/16/20,19
7/17/20,20
7/18/20,20
7/19/20,20
7/20/20,20
7/21/20,20
7/22/20,20
7/23/20,20
7/24/20,20
7/25/20,20
7/26/20,20
7/27/20,20
7/28/20,20
7/29/20,20
7/30/20,20
7/31/20,20
8/1/20,20
8/2/20,20
8/3/20,20
8/4/20,20
8/5/20,21
8/6/20,21
8/7/20,21
8/8/20,21
